0,1,2,3
"127.1636742,36.8314871","128.8014138,35.9015691","126.7327295,37.4360774","128.5606041,35.8590226"
"127.1634068,36.8313466","128.8016758,35.9013264","126.7324209,37.4360772","128.5597867,35.8587666"
"127.1632166,36.8312478","128.8018526,35.9011631","126.7323339,37.4360766","128.5595742,35.8586936"
"127.1632515,36.8312173","128.8019604,35.9010448","126.73217,37.4360729","128.5586875,35.8583913"
"127.163605,36.8309064","128.8019756,35.9010266","126.732172,37.4359909","128.558574,35.8583499"
"127.1636906,36.83083","128.8020092,35.9009838","126.732174,37.4357917","128.5585428,35.8583385"
"127.1639867,36.8305685","128.8020287,35.9009566","126.7321795,37.4357016","128.558426,35.8582989"
"127.1646835,36.8299521","128.8021032,35.9008377","126.7321872,37.4348327","128.557764,35.8580722"
"127.1650269,36.8296474","128.8021694,35.9006801","126.7321914,37.4335384","128.5574826,35.8579836"
"127.1650708,36.8296088","128.8022342,35.9005144","126.7321922,37.4333482","128.557466,35.8579783"
"127.1651225,36.8295711","128.8022874,35.9003786","126.7321958,37.4332175","128.5574459,35.8579722"
"127.1653623,36.8293581","128.802314,35.9003107","126.7322039,37.4329787","128.5573748,35.8579494"
"127.1654129,36.8293177","128.8023566,35.9002075","126.7322061,37.4328778","128.5572045,35.8578905"
"127.1660961,36.8287409","128.8025915,35.9002734","126.7322064,37.4328409","128.5571878,35.8578852"
"127.1661929,36.8286546","128.8026772,35.9002977","126.7322147,37.4326976","128.5570299,35.8578307"
"127.1662965,36.828562","128.8038482,35.9006898","126.7322184,37.4325579","128.5565879,35.8576606"
"127.166346,36.8285198","128.8040053,35.9007422","126.7322358,37.4322885","128.5564321,35.8576033"
"127.1663812,36.8284252","128.8041068,35.9007799","126.7322359,37.4322831","128.556244,35.8575302"
"127.1663892,36.8283946","128.8043954,35.9008768","126.7322383,37.4322723","128.5554959,35.8572383"
"127.1663849,36.8283459","128.8051167,35.9011448","126.7322599,37.4321472","128.5549527,35.857033"
"127.166366,36.8282999","128.8055847,35.9013742","126.7323098,37.4320141","128.5546967,35.856937"
"127.1663437,36.828271","128.8059484,35.9015893","126.7324261,37.4316958","128.5545119,35.8568665"
"127.1663136,36.8282439","128.8063891,35.9019072","126.7324652,37.4316329","128.5544273,35.8568348"
"127.1662129,36.8281778","128.8067306,35.9021893","126.7326813,37.4312819","128.55405,35.8566939"
"127.1659104,36.8281192","128.8074237,35.9028985","126.7327617,37.431158","128.5538864,35.8566331"
"127.1657234,36.8280682","128.8078463,35.9033302","126.7328981,37.4309696","128.553016,35.8563044"
"127.1655465,36.8280001","128.8081533,35.9036667","126.7332248,37.4305166","128.552356,35.8560551"
"127.1653015,36.8278759","128.8084689,35.9040591","126.7335413,37.4300733","128.5520087,35.8559175"
"127.1652545,36.8278442","128.8086007,35.9042578","126.7335998,37.4299908","128.5519084,35.855876"
"127.1650801,36.8277293","128.8091354,35.905167","126.7336767,37.4298777","128.5518661,35.8558583"
"127.1649192,36.8275936","128.8092775,35.9053845","126.7337352,37.4297907","128.5517559,35.8558133"
"127.1648076,36.8274635","128.8094462,35.9056045","126.7338373,37.4296408","128.5504321,35.8552848"
"127.1646517,36.827225","128.8095037,35.9056643","126.7339448,37.4294089","128.5503999,35.8552716"
"127.1645739,36.8270589","128.8096728,35.90584","126.7340487,37.4290851","128.5503242,35.8552416"
"127.1645351,36.8269534","128.8098583,35.9059976","126.7341422,37.4286756","128.5485867,35.8545833"
"127.1644359,36.826817","128.810011,35.9061221","126.7342327,37.4282156","128.5483697,35.8545014"
"127.1644125,36.8267926","128.8104126,35.9064134","126.7344127,37.4273046","128.5482195,35.854445"
"127.1643243,36.826685","128.8105288,35.9064717","126.7344363,37.427202","128.5481872,35.8544335"
