0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
"127.1649945,36.7856034","128.6636192,35.2355085","126.8031594,35.1666462","128.5596122,35.8550573","127.0923246,37.6274577","127.9314373,37.3685827","128.1997239,37.1802871","129.3629572,36.0064236","127.4978832,36.6512408","126.895862,37.5665915","126.9460895,37.5624213","127.4424833,36.6254342","128.1630746,35.1585122","127.6467622,34.777169","127.4424833,36.6254342","127.0923246,37.6274577","128.9767837,35.1688505","128.6186073,34.8826092","127.1227992,35.8330388","127.1317573,35.8445964","128.8977689,37.7750907","126.4086372,34.8242079","128.8977689,37.7750907","127.1548247,35.8090826","127.1591807,35.8516972","128.9767837,35.1688505","126.9150493,37.6119165","127.3432405,36.3687503","127.1530874,35.8257575","126.9258494,35.1687578","127.1497871,35.8358415","127.4950748,36.6551415","126.878316,35.1376615","127.993574,38.0986398","128.8977689,37.7750907","129.0295111,35.3426535","127.1649945,36.7856034","126.9014367,35.8126583","127.0493116,37.6784331","126.895862,37.5665915","126.895862,37.5665915","128.5808702,35.2226942","126.9150493,37.6119165","128.9767837,35.1688505","126.9460895,37.5624213","126.4086372,34.8242079","126.8749992,35.1361711","128.5596122,35.8550573","126.8347094,37.5071787","129.0295111,35.3426535","127.0493116,37.6784331","127.0774228,37.6311341","127.0493116,37.6784331","128.5596122,35.8550573"
"127.1650071,36.7852879","128.6639763,35.2359649","126.8029605,35.1666658","128.5594769,35.8552135","127.0925749,37.6272747","127.931586,37.3685326","128.1998298,37.1801612","129.3621316,36.0060416","127.4981495,36.6515248","126.8953694,37.566735","126.9460698,37.5624789","127.4423872,36.6253999","128.1636042,35.1584182","127.6471443,34.7775626","127.4423872,36.6253999","127.0925749,37.6272747","128.9767734,35.1685864","128.6185197,34.8826028","127.1228178,35.8333327","127.1320066,35.8445683","128.8976041,37.7752026","126.4085874,34.8243328","128.8976041,37.7752026","127.1548247,35.8093368","127.1592198,35.8516198","128.9767734,35.1685864","126.9150817,37.6119735","127.3429595,36.3687761","127.1530451,35.8255536","126.9259296,35.168751","127.1498943,35.8358896","127.4951989,36.6552993","126.8783783,35.1376898","127.9933763,38.0985749","128.8976041,37.7752026","129.0290244,35.3419961","127.1650071,36.7852879","126.901212,35.8128158","127.0495098,37.679036","126.8953694,37.566735","126.8953694,37.566735","128.5809036,35.2227255","126.9150817,37.6119735","128.9767734,35.1685864","126.9460698,37.5624789","126.4085874,34.8243328","126.874845,35.1360945","128.5594769,35.8552135","126.8348221,37.5073623","129.0290244,35.3419961","127.0495098,37.679036","127.0774253,37.6310827","127.0495098,37.679036","128.5594769,35.8552135"
"127.165031,36.7846858","128.6638169,35.2360431","126.8023439,35.1667371","128.5592489,35.8554707","127.0926147,37.6272477","127.9317371,37.3684825","128.1999002,37.1801085","129.362088,36.0060242","127.4982121,36.6516077","126.8951978,37.5668072","126.9460693,37.5625474","127.442149,36.6252916","128.1638958,35.1583661","127.6472374,34.7776581","127.442149,36.6252916","127.0926147,37.6272477","128.9767587,35.168317","128.61829,34.8826103","127.1228787,35.8337882","127.1322171,35.8445446","128.8973406,37.77502","126.4082997,34.8247577","128.8973406,37.77502","127.1548242,35.8094577","127.1592432,35.8515748","128.9767587,35.168317","126.9152381,37.6122591","127.3427867,36.3687912","127.1530245,35.8254661","126.9260513,35.1687795","127.1500314,35.8359513","127.4954249,36.6554498","126.8786617,35.1378166","127.993031,38.0984555","128.8973406,37.77502","129.028959,35.3419085","127.165031,36.7846858","126.9009999,35.8129076","127.0495644,37.6791993","126.8951978,37.5668072","126.8951978,37.5668072","128.5809219,35.2227767","126.9152381,37.6122591","128.9767587,35.168317","126.9460693,37.5625474","126.4082997,34.8247577","126.8745924,35.1359706","128.5592489,35.8554707","126.8349047,37.5074817","129.028959,35.3419085","127.0495644,37.6791993","127.0774539,37.6310423","127.0495644,37.6791993","128.5592489,35.8554707"
"127.1650614,36.7843884","128.6634116,35.2355159","126.8022339,35.1667599","128.5590077,35.8557388","127.0927319,37.6271688","127.9319119,37.3684413","128.1999945,37.1800674","129.3614978,36.00579","127.4982244,36.6516916","126.894683,37.5670425","126.9460684,37.562679","127.4417279,36.6260378","128.1639438,35.1585922","127.6473863,34.7778067","127.4417279,36.6260378","127.0927319,37.6271688","128.9767559,35.1682855","128.618231,34.8826145","127.1229256,35.8339498","127.1324476,35.8445182","128.8973015,37.7749917","126.4082489,34.8248744","128.8973015,37.7749917","127.155122,35.8094378","127.1592957,35.8514685","128.9767559,35.1682855","126.915266,37.6123106","127.3427209,36.3687974","127.1529845,35.8252487","126.9261583,35.1688603","127.1501485,35.8360048","127.4957371,36.6555328","126.8792241,35.1380575","127.9924938,38.0982703","128.8973015,37.7749917","129.0289148,35.3418424","127.1650614,36.7843884","126.9009331,35.8129497","127.0495891,37.6792445","126.894683,37.5670425","126.894683,37.5670425","128.5809264,35.2227902","126.915266,37.6123106","128.9767559,35.1682855","126.9460684,37.562679","126.4082489,34.8248744","126.8744283,35.1359012","128.5590077,35.8557388","126.8349892,37.5076517","129.0289148,35.3418424","127.0495891,37.6792445","127.0774983,37.6310064","127.0495891,37.6792445","128.5590077,35.8557388"
"127.1650913,36.784228","128.6626742,35.2345159","126.8021909,35.1667705","128.5588866,35.8558742","127.0929639,37.6270119","127.9319999,37.3684247","128.2000991,37.1800514","129.3605163,36.0054284","127.4981864,36.6519575","126.8945738,37.5671014","126.9460688,37.56277","127.4416742,36.6261325","128.1639662,35.1587805","127.6475374,34.777958","127.4416742,36.6261325","127.0929639,37.6270119","128.9767421,35.168127","128.6180911,34.8826257","127.1229649,35.8340698","127.133263,35.844427","128.897244,37.7749518","126.4082689,34.8250153","128.897244,37.7749518","127.1555992,35.8094049","127.1595426,35.8509706","128.9767421,35.168127","126.915331,37.6124101","127.3425715,36.3688116","127.1529369,35.8249889","126.9263101,35.1689728","127.1502115,35.836033","127.495962,36.6555328","126.8795559,35.1381548","127.9924103,38.09824","128.897244,37.7749518","129.0280758,35.3405881","127.1650913,36.784228","126.9008752,35.8130035","127.0496126,37.6792869","126.8945738,37.5671014","126.8945738,37.5671014","128.5810318,35.2231129","126.915331,37.6124101","128.9767421,35.168127","126.9460688,37.56277","126.4082689,34.8250153","126.8742642,35.1358201","128.5588866,35.8558742","126.8352727,37.5082175","129.0280758,35.3405881","127.0496126,37.6792869","127.0774814,37.6309838","127.0496126,37.6792869","128.5588866,35.8558742"
"127.1651267,36.7840812","128.6617163,35.2331537","126.8020401,35.1668156","128.5588246,35.8559577","127.0930938,37.6268835","127.9322989,37.368375","128.2001937,37.18005","129.3604727,36.0054147","127.4981372,36.6520828","126.8942918,37.5672532","126.9460997,37.5628837","127.4415758,36.6261","128.1639986,35.1589895","127.6479994,34.7784246","127.4415758,36.6261","127.0930938,37.6268835","128.9767229,35.1679775","128.6178357,34.8826749","127.1230734,35.8342911","127.1335179,35.844398","128.8970174,37.7747977","126.4083113,34.825123","128.8970174,37.7747977","127.1559336,35.8093824","127.1598319,35.8504044","128.9767229,35.1679775","126.9160116,37.612016","127.3423887,36.3688249","127.1528374,35.8244494","126.926522,35.1691352","127.1504779,35.8361239","127.4961365,36.6554994","126.8798845,35.1382521","127.9923348,38.0982079","128.8970174,37.7747977","129.0280453,35.3405434","127.1651267,36.7840812","126.9007935,35.8131203","127.0496508,37.6793429","126.8942918,37.5672532","126.8942918,37.5672532","128.581191,35.2235993","126.915215,37.6124546","128.9767229,35.1679775","126.9460997,37.5628837","126.4083113,34.825123","126.8741221,35.13575","128.5588246,35.8559577","126.8353373,37.5083386","129.0280453,35.3405434","127.0496508,37.6793429","127.0774252,37.6309151","127.0496508,37.6793429","128.5588246,35.8559577"
"127.1651529,36.7839704","128.6616434,35.2330498","126.8019997,35.1666666","128.5585191,35.8563102","127.0931828,37.626763","127.9329704,37.3682842","128.2003077,37.1800745","129.3600798,36.0052648","127.4980868,36.652191","126.8942235,37.5672898","126.9460966,37.5631496","127.4415132,36.6260801","128.1641023,35.1597283","127.6483498,34.7787831","127.4415132,36.6260801","127.0931828,37.626763","128.9767089,35.1678713","128.6177495,34.8826911","127.1231008,35.8343579","127.1339389,35.8443506","128.8968038,37.7746695","126.4083397,34.8252008","128.8968038,37.7746695","127.1562248,35.8093625","127.1602004,35.8496832","128.9767089,35.1678713","126.916262,37.6118658","127.3422504,36.3688346","127.1527995,35.8242555","126.926557,35.1691615","127.1506781,35.8361759","127.4962495,36.6554499","126.8800214,35.1382897","127.9921964,38.098149","128.8968038,37.7746695","129.027546,35.3397996","127.1651529,36.7839704","126.9004336,35.813141","127.0498111,37.6792796","126.8942235,37.5672898","126.8942235,37.5672898","128.5811956,35.2236164","126.9148548,37.6125889","128.9767089,35.1678713","126.9460966,37.5631496","126.4083397,34.8252008","126.8739657,35.1356698","128.5585191,35.8563102","126.8353742,37.508383","129.027546,35.3397996","127.0498111,37.6792796","127.0772283,37.630662","127.0498111,37.6792796","128.5585191,35.8563102"
"127.1651654,36.7839263","128.6615717,35.232954","126.8019954,35.1666476","128.5584624,35.8563729","127.0932561,37.6266217","127.9335436,37.3682063","128.2005404,37.1801408","129.3599444,36.0052146","127.4980365,36.6522658","126.893857,37.5675259","126.9460064,37.5630906","127.4411218,36.6259492","128.1641118,35.1598121","127.6486224,34.779056","127.4411218,36.6259492","127.0932561,37.6266217","128.9766949,35.1677633","128.6172663,34.8828046","127.1231534,35.8344698","127.1343643,35.8443032","128.8967877,37.7746598","126.4084393,34.8251124","128.8967877,37.7746598","127.1565348,35.8093399","127.1602406,35.8495986","128.9766949,35.1677633","126.9164385,37.6117558","127.3417543,36.3688709","127.1527627,35.8240606","126.9258183,35.1695863","127.1507279,35.8361869","127.4965483,36.6551713","126.8809944,35.1383795","127.9919022,38.0979781","128.8967877,37.7746598","129.0274216,35.3396199","127.1651654,36.7839263","126.9002585,35.8131609","127.0498703,37.6792536","126.893857,37.5675259","126.893857,37.5675259","128.5812667,35.2238412","126.9143821,37.6127659","128.9766949,35.1677633","126.9460064,37.5630906","126.4084393,34.8251124","126.8736989,35.1355332","128.5584624,35.8563729","126.8354249,37.5084076","129.0274216,35.3396199","127.0498703,37.6792536","127.0770999,37.6305182","127.0498703,37.6792536","128.5584624,35.8563729"
"127.165326,36.7833489","128.6614706,35.2328026","126.8019158,35.1663352","128.5584046,35.8564401","127.0932733,37.6265857","127.9338257,37.3681638","128.2007713,37.1802566","129.3596492,36.0051191","127.4978619,36.6524659","126.8937852,37.567576","126.9458103,37.562968","127.4410614,36.6259284","128.1641562,35.1601365","127.6486585,34.7790938","127.4410614,36.6259284","127.0932733,37.6265857","128.976651,35.16746","128.6171308,34.8828185","127.1232291,35.8346306","127.1345593,35.844283","128.8966499,37.7745767","126.4085209,34.8250653","128.8966499,37.7745767","127.1565791,35.8093365","127.1602674,35.8495482","128.976651,35.16746","126.9165216,37.6117048","127.3416372,36.3688942","127.1527497,35.8239912","126.925741,35.1696401","127.1508032,35.8361808","127.496687,36.6550415","126.881755,35.1385348","127.9918083,38.0979244","128.8966499,37.7745767","129.0273278,35.339485","127.165326,36.7833489","126.8994372,35.8131577","127.0500908,37.6791671","126.8937852,37.567576","126.8937852,37.567576","128.581495,35.223904","126.9140934,37.6128735","128.976651,35.16746","126.9458103,37.562968","126.4085209,34.8250653","126.8734749,35.1354076","128.5584046,35.8564401","126.8354995,37.5084162","129.0273278,35.339485","127.0500908,37.6791671","127.076869,37.6302587","127.0500908,37.6791671","128.5584046,35.8564401"
"127.1653318,36.7832858","128.6612311,35.2324208","126.8018369,35.1660516","128.5581551,35.8567497","127.0935116,37.6261152","127.9341496,37.3681158","128.2010992,37.1803826","129.3595086,36.0050826","127.4978284,36.652502","126.8937375,37.5676046","126.9457401,37.5629722","127.4409742,36.6258995","128.1641773,35.1603068","127.6486958,34.7791334","127.4409742,36.6258995","127.0935116,37.6261152","128.9765246,35.1666663","128.6170302,34.8828293","127.1233235,35.8347976","127.1347454,35.8442602","128.896466,37.7744599","126.4086121,34.8250319","128.896466,37.7744599","127.156743,35.8093279","127.1603578,35.849378","128.9765246,35.1666663","126.9169427,37.6114698","127.3415625,36.3689203","127.1527411,35.8239424","126.9256989,35.1696922","127.1509417,35.8361694","127.4967743,36.6551145","126.88211,35.1386196","127.9910459,38.0974986","128.896466,37.7744599","129.0272463,35.3393679","127.1653318,36.7832858","126.899421,35.8131098","127.0502885,37.6790966","126.8937375,37.5676046","126.8937375,37.5676046","128.5828021,35.2237066","126.9139548,37.6129224","128.9765246,35.1666663","126.9457401,37.5629722","126.4086121,34.8250319","126.8729624,35.1350992","128.5581551,35.8567497","126.835599,37.5084248","129.0272463,35.3393679","127.0502885,37.6790966","127.0767945,37.6302179","127.0502885,37.6790966","128.5581551,35.8567497"
