0,1,2,3,4,5,6,7,8,9,10
"127.136455,37.5644228","126.9260687,37.5138205","127.0082821,37.5086687","126.7339017,37.4360769","127.1627637,37.2428706","126.9713216,37.5593291","126.7339017,37.4360769","128.583299,35.8526579","126.9260687,37.5138205","127.015893,37.5696649","127.1447193,37.5573742"
"127.1364513,37.564485","126.9260351,37.5137734","127.0081561,37.5088944","126.7335196,37.4360771","127.1627351,37.2421945","126.9714445,37.5587555","126.7335196,37.4360771","128.5833104,35.8526822","126.9260351,37.5137734","127.0161025,37.5696685","127.1446879,37.5575327"
"127.1364487,37.5645445","126.926032,37.5137419","127.0081046,37.5089916","126.7327295,37.4360774","127.1627127,37.2416707","126.9715068,37.5584277","126.7327295,37.4360774","128.5833172,35.8526974","126.926032,37.5137419","127.0162417,37.5696718","127.1446533,37.5576832"
"127.1364586,37.5646013","126.9260368,37.5136995","127.0081011,37.5089988","126.7324209,37.4360772","127.1627065,37.24153","126.9716122,37.5579306","126.7324209,37.4360772","128.5833219,35.8527163","126.9260368,37.5136995","127.0162677,37.5696764","127.1445947,37.5578542"
"127.1366173,37.5652634","126.9260495,37.5136743","127.0079865,37.5092164","126.7323339,37.4360766","127.1626517,37.2411955","126.9716737,37.5577227","126.7323339,37.4360766","128.5833246,35.8527524","126.9260495,37.5136743","127.0168476,37.5698338","127.1445614,37.5579497"
"127.1366941,37.5655449","126.9260871,37.5136331","127.0077414,37.5096697","126.73217,37.4360729","127.1625782,37.2409798","126.9717541,37.5575599","126.73217,37.4360729","128.5833258,35.8528425","126.9260871,37.5136331","127.0170364,37.5698886","127.1445477,37.5579821"
"127.1368132,37.5659806","126.9261462,37.5135964","127.0076956,37.5097533","126.732172,37.4359909","127.1624788,37.2407722","126.9718834,37.5573649","126.732172,37.4359909","128.5833203,35.8529246","126.9261462,37.5135964","127.0173911,37.5700271","127.1444311,37.5582125"
"127.1369119,37.5661594","126.9261938,37.5135849","127.00762,37.5098918","126.732174,37.4357917","127.1623287,37.2405564","126.9719473,37.557293","126.732174,37.4357917","128.583312,35.85305","126.9261938,37.5135849","127.0174972,37.570078","127.1443159,37.5583924"
"127.1370617,37.5663257","126.9262494,37.5135744","127.0076177,37.5098963","126.7321795,37.4357016","127.1623275,37.2405564","126.9719622,37.557276","126.7321795,37.4357016","128.5833103,35.8530852","126.9262494,37.5135744","127.0176033,37.5701325","127.1443033,37.558414"
"127.1372694,37.5664606","126.9263014,37.5135818","127.0075822,37.5099674","126.7321872,37.4348327","127.1621413,37.2403593","126.9724033,37.5566903","126.7321872,37.4348327","128.5832957,35.853235","126.9263014,37.5135818","127.0181134,37.5703951","127.144097,37.5587027"
