0,1,2,3,4,5,6,7,8,9,10,11
"126.8091727,37.3272104","127.1302122,37.5195745","127.1380864,37.4346083","126.8917091,37.544663","126.7331287,37.4339546","126.9475284,37.4059333","128.5596122,35.8550573","126.9475284,37.4059333","127.0480889,37.5766347","127.0522024,37.5853024","127.1380864,37.4346083","127.7552292,37.8972079"
"126.8090792,37.3259524","127.1304948,37.5182468","127.1379893,37.43459","126.8914122,37.5449833","126.7331933,37.4339442","126.9476234,37.4057697","128.5594769,35.8552135","126.9476234,37.4057697","127.0480563,37.5765976","127.0523787,37.5851778","127.1379893,37.43459","127.7552256,37.8971538"
"126.8090772,37.3259262","127.1305365,37.5180496","127.1379261,37.4345781","126.8910004,37.5455003","126.7333329,37.433882","126.9476818,37.4056582","128.5592489,35.8554707","126.9476818,37.4056582","127.0479348,37.5764719","127.0524483,37.5850888","127.1379261,37.4345781","127.7552264,37.8970628"
"126.8090187,37.3252949","127.1306117,37.5179497","127.1379238,37.4345771","126.8908506,37.5456933","126.7333828,37.4338697","126.9477258,37.4055223","128.5590077,35.8557388","126.9477258,37.4055223","127.047765,37.5762648","127.0525122,37.5850106","127.1379238,37.4345771","127.7552791,37.8968536"
"126.8090145,37.3252516","127.1306992,37.5178743","127.1375477,37.4345075","126.8907602,37.5458091","126.7335255,37.4338418","126.9477524,37.4054377","128.5588866,35.8558742","126.9477524,37.4054377","127.0477032,37.5761943","127.0527109,37.5847401","127.1375477,37.4345075","127.755287,37.8968247"
"126.8090062,37.3251714","127.1308342,37.5178152","127.1374009,37.4344746","126.8905588,37.5460794","126.7335708,37.4338358","126.9497124,37.4056443","128.5588246,35.8559577","126.9497124,37.4056443","127.0475671,37.576036","127.0527748,37.5846583","127.1374009,37.4344746","127.7554641,37.8964043"
"126.8089889,37.3249748","127.1311835,37.5176631","127.1367121,37.4343328","126.8905393,37.5461028","126.7336126,37.4338334","126.9498614,37.4056603","128.5585191,35.8563102","126.9498614,37.4056603","127.0477467,37.5759321","127.053008,37.5843068","127.1367121,37.4343328","127.7559318,37.8951649"
"126.8089716,37.324761","127.1314726,37.5175378","127.136676,37.4343254","126.8903943,37.5462552","126.733798,37.4338337","126.9498069,37.4053905","128.5584624,35.8563729","126.9498069,37.4053905","127.048074,37.5757414","127.0530937,37.5841773","127.136676,37.4343254","127.7560073,37.8949637"
"126.8088915,37.3237781","127.1315384,37.5175092","127.1365224,37.4342961","126.8900614,37.546825","126.7338579,37.4338367","126.9497371,37.4050414","128.5584046,35.8564401","126.9497371,37.4050414","127.0481376,37.5757065","127.053184,37.5840397","127.1365224,37.4342961","127.7560389,37.8948663"
"126.8088367,37.3231062","127.1317573,37.5174134","127.1363869,37.434266","126.8898989,37.5470413","126.7339425,37.4338463","126.9495621,37.4042546","128.5581551,35.8567497","126.9495621,37.4042546","127.048266,37.5756349","127.0532719,37.5839175","127.1363869,37.434266","127.756094,37.8946986"
"126.8088338,37.323053","127.1318629,37.5175616","127.1360109,37.4341846","126.8896865,37.5472665","126.7340959,37.4338825","126.9495216,37.4040741","128.5580614,35.8568641","126.9495216,37.4040741","127.0485978,37.5754514","127.0534706,37.5836424","127.1360109,37.4341846","127.7561323,37.8945795"
"126.8088133,37.3228213","127.1325244,37.5185948","127.1357478,37.4341288","126.8894125,37.5474138","126.7341916,37.4339218","126.9494881,37.4038621","128.5579993,35.8569413","126.9494881,37.4038621","127.0490261,37.5752259","127.0534718,37.5836397","127.1357478,37.4341288","127.7561424,37.8945588"
