0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"127.1360109,37.4341846","126.8650703,37.4981015","126.7340959,37.4338825","126.7340959,37.4338825","127.0890543,37.4997898","127.3656698,36.3223699","126.7340959,37.4338825","126.7207989,37.5436327","126.7340959,37.4338825","126.9240949,37.3582381","127.0951969,37.5015804","126.8650703,37.4981015","127.1360109,37.4341846","126.8650703,37.4981015","127.1360109,37.4341846","126.7340959,37.4338825","127.0951969,37.5015804","126.7340959,37.4338825","126.7340959,37.4338825","127.2039139,37.2975396"
"127.1357478,37.4341288","126.8653995,37.4983746","126.7341916,37.4339218","126.7341916,37.4339218","127.0884491,37.4999995","127.365759,36.3223492","126.7341916,37.4339218","126.7212949,37.5436162","126.7341916,37.4339218","126.9240326,37.3582684","127.0963399,37.5015275","126.8653995,37.4983746","127.1357478,37.4341288","126.8653995,37.4983746","127.1357478,37.4341288","126.7341916,37.4339218","127.0963399,37.5015275","126.7341916,37.4339218","126.7341916,37.4339218","127.203933,37.2975703"
"127.1355276,37.4340821","126.8658265,37.4987194","126.7343232,37.4339858","126.7343232,37.4339858","127.0880648,37.5001289","127.365847,36.322352","126.7343232,37.4339858","126.7220945,37.5435719","126.7343232,37.4339858","126.9234512,37.358984","127.096582,37.5015184","126.8658265,37.4987194","127.1355276,37.4340821","126.8658265,37.4987194","127.1355276,37.4340821","126.7343232,37.4339858","127.096582,37.5015184","126.7343232,37.4339858","126.7343232,37.4339858","127.2039577,37.2975992"
"127.1352396,37.4340227","126.8658276,37.4987203","126.7343949,37.4340448","126.7343949,37.4340448","127.0878461,37.5002029","127.3660352,36.3223892","126.7343949,37.4340448","126.7220968,37.5435719","126.7343949,37.4340448","126.9232791,37.3591958","127.0967698,37.5015181","126.8658276,37.4987203","127.1352396,37.4340227","126.8658276,37.4987203","127.1352396,37.4340227","126.7343949,37.4340448","127.0967698,37.5015181","126.7343949,37.4340448","126.7343949,37.4340448","127.2039892,37.2976245"
"127.1352114,37.4340163","126.8660794,37.4989181","126.734405,37.4340557","126.734405,37.4340557","127.0870799,37.5004553","127.3660931,36.3224001","126.734405,37.4340557","126.7223165,37.543558","126.734405,37.4340557","126.9231258,37.359452","127.0968987,37.5015294","126.8660794,37.4989181","127.1352114,37.4340163","126.8660794,37.4989181","127.1352114,37.4340163","126.734405,37.4340557","127.0968987,37.5015294","126.734405,37.4340557","126.734405,37.4340557","127.2040162,37.2976408"
"127.1351369,37.4339998","126.8661513,37.4989762","126.7344924,37.4341275","126.7344924,37.4341275","127.0867172,37.5005739","127.3661143,36.3224037","126.7344924,37.4341275","126.7224592,37.543549","126.7344924,37.4341275","126.9230604,37.3595869","127.0969135,37.5017341","126.8661513,37.4989762","127.1351369,37.4339998","126.8661513,37.4989762","127.1351369,37.4339998","126.7344924,37.4341275","127.0969135,37.5017341","126.7344924,37.4341275","126.7344924,37.4341275","127.2040522,37.2976589"
"127.1350861,37.4339888","126.866212,37.4990243","126.7345436,37.4342098","126.7345436,37.4342098","127.0863302,37.5008006","127.366347,36.3224788","126.7345436,37.4342098","126.7226994,37.5435326","126.7345436,37.4342098","126.9230178,37.3596993","127.0969272,37.5019198","126.866212,37.4990243","127.1350861,37.4339888","126.866212,37.4990243","127.1350861,37.4339888","126.7345436,37.4342098","127.0969272,37.5019198","126.7345436,37.4342098","126.7345436,37.4342098","127.2041649,37.2977079"
"127.1349867,37.433966","126.8663952,37.4991569","126.7345754,37.4343002","126.7345754,37.4343002","127.0862154,37.5008858","127.3664438,36.3225339","126.7345754,37.4343002","126.7229111,37.5435259","126.7345754,37.4343002","126.9229901,37.3597695","127.0969406,37.502165","126.8663952,37.4991569","127.1349867,37.433966","126.8663952,37.4991569","127.1349867,37.433966","126.7345754,37.4343002","127.0969406,37.502165","126.7345754,37.4343002","126.7345754,37.4343002","127.2041036,37.2977852"
"127.1349122,37.4339495","126.8664447,37.4991923","126.7346413,37.4344899","126.7346413,37.4344899","127.0861471,37.5009649","127.3665339,36.3226161","126.7346413,37.4344899","126.7229338,37.5435251","126.7346413,37.4344899","126.9229529,37.3599163","127.0969458,37.5022434","126.8664447,37.4991923","127.1349122,37.4339495","126.8664447,37.4991923","127.1349122,37.4339495","126.7346413,37.4344899","127.0969458,37.5022434","126.7346413,37.4344899","126.7346413,37.4344899","127.2040491,37.2978806"
"127.134876,37.4339449","126.8665865,37.4992868","126.7346588,37.4345495","126.7346588,37.4345495","127.0860867,37.501054","127.3666498,36.3226162","126.7346588,37.4345495","126.7230346,37.5435204","126.7346588,37.4345495","126.9229423,37.3599757","127.0969615,37.502486","126.8665865,37.4992868","127.134876,37.4339449","126.8665865,37.4992868","127.134876,37.4339449","126.7346588,37.4345495","127.0969615,37.502486","126.7346588,37.4345495","126.7346588,37.4345495","127.2040001,37.2979932"
