0
"127.5896776,36.3010514"
"127.5897288,36.3010252"
"127.5907462,36.3005132"
"127.5915766,36.3000771"
"127.5958263,36.2979137"
"127.5967468,36.2974306"
"127.5980913,36.2967254"
"127.5995995,36.2960237"
"127.6010922,36.2953841"
"127.6014762,36.2952432"
"127.6016488,36.2951808"
"127.6016899,36.2951654"
"127.6024169,36.2949196"
"127.6031327,36.2946774"
"127.6048505,36.2942368"
"127.6079067,36.2936093"
"127.6088664,36.2934119"
"127.6090691,36.2933712"
"127.61174,36.2928287"
"127.6127509,36.2926231"
"127.6134279,36.2925034"
"127.6138509,36.2924282"
"127.614627,36.2923328"
"127.6148241,36.2923092"
"127.6153252,36.2922483"
"127.615814,36.2922009"
"127.6159521,36.2921873"
"127.6165066,36.2921308"
"127.6167104,36.2921216"
"127.617854,36.2920826"
"127.619167,36.2920813"
"127.6203699,36.2921468"
"127.6220016,36.2922994"
"127.6228393,36.2924085"
"127.6245725,36.2926492"
"127.6249992,36.2927083"
"127.6259683,36.2928416"
"127.6271245,36.2929999"
"127.6283843,36.2931302"
"127.6289267,36.2931576"
"127.6293788,36.2931607"
"127.6302352,36.2931516"
"127.6313699,36.2930476"
"127.6319834,36.2929514"
"127.6329452,36.2927321"
"127.6336453,36.2925222"
"127.6345001,36.2921958"
"127.635062,36.2919409"
"127.635279,36.2918226"
"127.6359121,36.2914748"
"127.6366496,36.2910249"
"127.6372369,36.2906078"
"127.6379875,36.2899749"
"127.6386057,36.2894549"
"127.6388982,36.2892093"
"127.6392663,36.2889006"
"127.640118,36.2881567"
"127.6410953,36.2873045"
"127.6414811,36.2869696"
"127.6415723,36.2868883"
"127.6424995,36.2860659"
"127.6433489,36.28535"
"127.643995,36.2848245"
"127.6443585,36.284522"
"127.6447199,36.2842214"
"127.6451191,36.2839297"
"127.6455729,36.283628"
"127.6460835,36.283347"
"127.6467353,36.283"
"127.6473428,36.2827378"
"127.6479192,36.282518"
"127.6483799,36.282348"
"127.6488217,36.2822059"
"127.6504622,36.2817576"
"127.6506391,36.2817231"
"127.6522498,36.2814082"
"127.6528331,36.281311"
"127.6550393,36.2809421"
"127.6560367,36.2807749"
"127.6568448,36.2806215"
"127.6572855,36.280538"
"127.6616298,36.2797217"
"127.662754,36.2795164"
"127.6640464,36.2793407"
"127.6647745,36.2792675"
"127.6648969,36.2792556"
"127.6655148,36.2791962"
"127.6663687,36.2791599"
"127.6672996,36.2791667"
"127.6681993,36.2791744"
"127.6684254,36.2791858"
"127.6695857,36.2792464"
"127.6696615,36.2792499"
"127.670724,36.2793746"
"127.6722621,36.2795581"
"127.6727555,36.2796043"
"127.6732366,36.2796496"
"127.6745998,36.2797999"
"127.6749496,36.2798409"
"127.6771616,36.2801243"
"127.6773988,36.2801537"
"127.6779869,36.280225"
"127.6786619,36.2803078"
"127.6802746,36.2804992"
"127.6818997,36.2806996"
"127.6830614,36.2808412"
"127.6844991,36.2808994"
