0,1,2
"127.1652247,36.7788088","127.0096,35.9703413","127.3811124,36.3779653"
"127.1651965,36.7785833","127.0100749,35.9701241","127.3812617,36.3779664"
"127.1651922,36.7785536","127.0101128,35.9700999","127.3821024,36.3779699"
"127.1650885,36.7781774","127.0103599,35.9699459","127.3828438,36.3779733"
"127.1650231,36.7779987","127.0105672,35.9697926","127.3829173,36.3779734"
"127.1643873,36.7763012","127.0107099,35.9696768","127.3829183,36.3780482"
"127.1642965,36.7760549","127.0107848,35.9695735","127.3829566,36.3792681"
"127.1642216,36.7757409","127.0108509,35.9694764","127.382952,36.3793708"
"127.1642086,36.7756508","127.0108654,35.9694548","127.382934,36.3794997"
"127.1641618,36.7753261","127.0110114,35.9691642","127.3828293,36.3794636"
"127.1641456,36.7749231","127.0112618,35.9686666","127.382778,36.3794464"
"127.1641731,36.7745265","127.0114749,35.9682744","127.3826175,36.37943"
"127.164226,36.7742274","127.0115366,35.9681583","127.3825216,36.3794209"
"127.1642885,36.7740166","127.011749,35.9677075","127.3817881,36.3793526"
"127.1644202,36.7736248","127.0117873,35.9676184","127.3812096,36.3792979"
"127.1646376,36.7731098","127.0120091,35.9670711","127.3811059,36.3792852"
"127.1647372,36.772891","127.012062,35.9669424","127.3810412,36.3792671"
"127.164865,36.7726083","127.0120913,35.9668704","127.3809699,36.3792391"
"127.164882,36.7725714","127.0120981,35.9668524","127.3809254,36.3792129"
"127.1649397,36.7724373","127.0121286,35.9667624","127.3808942,36.3791948"
"127.1649488,36.7724148","127.0121376,35.9667345","127.3804265,36.378822"
"127.1652976,36.7715674","127.0121862,35.9665904","127.3803107,36.3787344"
"127.1654296,36.7711009","127.0122845,35.9663023","127.3802606,36.3787118"
"127.1654885,36.7707017","127.0123037,35.9662465","127.3801803,36.3786847"
"127.165652,36.7691804","127.0123138,35.966214","127.3801135,36.3786666"
"127.16568,36.7689218","127.012324,35.9661852","127.3800923,36.3786612"
"127.1657113,36.7686902","127.0123791,35.9660565","127.379973,36.3786476"
"127.1657298,36.7685496","127.0125871,35.9661502","127.3799708,36.3786475"
"127.1657779,36.7683046","127.0127076,35.966203","127.3797891,36.3786438"
"127.1658031,36.7681793","127.0133158,35.9664904","127.3794813,36.3786453"
"127.1658226,36.7680811","127.0135149,35.9665841","127.3787834,36.3786482"
"127.165884,36.7678731","127.0136012,35.9666241","127.3786351,36.3786444"
"127.1659193,36.7677524","127.0140767,35.9668451","127.3786125,36.3788481"
"127.1659986,36.7675488","127.0147525,35.9671499","127.378599,36.3789581"
"127.1661592,36.767195","127.0148465,35.9671944","127.3785898,36.3791113"
"127.1662326,36.7670717","127.0149338,35.9672363","127.3785872,36.3793836"
"127.1663892,36.7668657","127.0151174,35.9673208","127.378587,36.3794738"
"127.166572,36.7665814","127.0158393,35.9677006","127.3785903,36.3795297"
"127.16666,36.7664437","127.0166794,35.968162","127.3785878,36.3797163"
"127.166758,36.7663169","127.0169403,35.9682974","127.378592,36.379874"
"127.1668391,36.7662206","127.0170885,35.9683755","127.378612,36.3813246"
"127.167007,36.7660111","127.0171471,35.9684064","127.3786119,36.3814175"
"127.1675262,36.7653869","127.0172455,35.9684573","127.3786063,36.382127"
"127.1677897,36.7650712","127.0172786,35.9684746","127.3786084,36.3822208"
"127.1679204,36.7649147","127.0185164,35.9691972","127.3786123,36.3826075"
"127.1680701,36.764752","127.0186678,35.9692898","127.3786241,36.3828744"
"127.1680994,36.7647169","127.0187683,35.9693524","127.3786249,36.3830998"
"127.1684778,36.7642627","127.0193707,35.9696956","127.3786245,36.3833243"
"127.1686648,36.7640225","127.0194172,35.9697138","127.3786253,36.3835632"
"127.168842,36.763721","127.0197591,35.9698477","127.378625,36.3837498"
"127.1698005,36.7625563","127.019852,35.9698833","127.3786154,36.3842014"
"127.1701564,36.7621237","127.020625,35.970082","127.3786116,36.3844998"
"127.170499,36.7616703","127.0206782,35.970093","127.3786063,36.3850408"
"127.1706635,36.7614616","127.020896,35.9702003","127.3786024,36.3853752"
"127.1709998,36.7608865","127.0210754,35.9702452","127.3786011,36.3854942"
"127.1711718,36.7604813","127.0212272,35.9702719","127.3785997,36.3856493"
"127.1713239,36.7600201","127.0213601,35.9702968","127.3785997,36.3856917"
"127.1713296,36.7599967","127.0214632,35.9703161","127.3786017,36.3857881"
"127.1714291,36.7595228","127.0218288,35.9703852","127.3786017,36.3857999"
"127.1714544,36.7591055","127.0221423,35.9704379","127.3786048,36.385963"
"127.1714422,36.7588179","127.0222863,35.9704691","127.3786246,36.3868583"
"127.171427,36.7584464","127.0227161,35.9705601","127.3786255,36.3870097"
"127.1714239,36.7583833","127.0231349,35.9706293","127.3786273,36.3872577"
"127.1714164,36.7583067","127.0233566,35.9706618","127.3786241,36.3879329"
"127.1714099,36.7582508","127.0235184,35.970685","127.378625,36.3880564"
"127.1714045,36.7582039","127.0237412,35.970694","127.3786258,36.3882241"
"127.1714013,36.7581732","127.0240151,35.9707059","127.3786257,36.3883377"
"127.1713263,36.7576195","127.0242003,35.9707084","127.3786256,36.3883684"
"127.1712275,36.7568782","127.0244133,35.9707111","127.3786231,36.3885414"
"127.1711225,36.7560134","127.0245652,35.9707117","127.3786231,36.3885784"
"127.171099,36.7557618","127.0246606,35.970712","127.378332,36.3885889"
"127.1710851,36.7555905","127.0252754,35.9706441","127.3783142,36.3885889"
"127.1710055,36.7542985","127.0258316,35.970567","127.3780555,36.3885914"
"127.1710024,36.7542435","127.0265039,35.9705372","127.3776585,36.3885918"
