0,1,2,3,4,5,6
"127.0454137,37.2961662","127.1359138,35.8415751","127.1365656,37.427453","127.1359138,35.8415751","126.7817075,35.1603966","127.8546413,36.9647598","127.4382934,36.3540718"
"127.0453624,37.2962534","127.1364268,35.8417426","127.135138,37.4274883","127.1364268,35.8417426","126.7815569,35.1605472","127.8534061,36.9648644","127.4383581,36.3540204"
"127.0453393,37.2963327","127.136544,35.8417763","127.1348861,37.4274596","127.136544,35.8417763","126.7814901,35.1606442","127.8529109,36.9649191","127.4385689,36.353842"
"127.0453355,37.2964093","127.1367287,35.8418345","127.1342925,37.4275046","127.1367287,35.8418345","126.7814145,35.1607546","127.8527324,36.9649385","127.4389748,36.3535159"
"127.0453497,37.2964814","127.1368791,35.8418828","127.1341297,37.4275104","127.1368791,35.8418828","126.7814056,35.1607699","127.852217,36.9649915","127.4407436,36.3520491"
"127.0454896,37.2968624","127.136941,35.8419028","127.1340732,37.427512","127.136941,35.8419028","126.7813019,35.1609442","127.8518891,36.9650303","127.4409756,36.3518608"
"127.045628,37.2969314","127.1372782,35.8420102","127.1336165,37.4275224","127.1372782,35.8420102","126.7812477,35.1611206","127.8508865,36.9651495","127.441299,36.3516013"
"127.0474585,37.2976045","127.1380898,35.8422696","127.1307617,37.4274828","127.1380898,35.8422696","126.7812395,35.1611774","127.8504037,36.9652069","127.44159,36.351395"
"127.0475846,37.2976474","127.1386118,35.8424353","127.1306509,37.4274816","127.1386118,35.8424353","126.7811953,35.161454","127.8502477,36.9652262","127.4416491,36.351367"
"127.0477231,37.2976957","127.1388373,35.842509","127.1295874,37.4274665","127.1388373,35.842509","126.7811756,35.1615783","127.8499849,36.9652577","127.4418107,36.3513148"
"127.0487827,37.2980648","127.1389689,35.8425472","127.1295648,37.4274656","127.1389689,35.8425472","126.7811128,35.1620928","127.8487982,36.9654054","127.4419345,36.3512202"
"127.0495192,37.2983038","127.139022,35.8425627","127.1289286,37.42745","127.139022,35.8425627","126.7811033,35.1626788","127.8482985,36.965451","127.4419836,36.3511815"
"127.0497871,37.2984066","127.1390574,35.8425737","127.1288992,37.4274499","127.1390574,35.8425737","126.7811027,35.1627519","127.8482468,36.9654557","127.442123,36.3510535"
"127.0500043,37.2984958","127.1391259,35.8425946","127.1277329,37.4274228","127.1391259,35.8425946","126.7810996,35.1632279","127.8480874,36.9654661","127.4421998,36.3511257"
"127.0502847,37.2985888","127.1393836,35.8426738","127.1266638,37.4273978","127.1393836,35.8426738","126.7811246,35.1641208","127.8475493,36.9654749","127.4422945,36.351215"
"127.0505766,37.2986494","127.1395705,35.8427321","127.125701,37.4273632","127.1395705,35.8427321","126.7810883,35.1643775","127.8467292,36.9654746","127.4423747,36.3513322"
"127.0508517,37.2986847","127.1396424,35.8427521","127.1249996,37.4274827","127.1396424,35.8427521","126.7811097,35.1650729","127.8466124,36.9654749","127.4425116,36.3515324"
"127.0511641,37.2987021","127.1397916,35.8427977","127.1247133,37.4275638","127.1397916,35.8427977","126.7811508,35.1665104","127.8456126,36.965476","127.4425372,36.3515748"
"127.0515116,37.2987034","127.1402483,35.8429379","127.1243181,37.427714","127.1402483,35.8429379","126.781155,35.1666664","127.8444746,36.9654748","127.4426619,36.3517741"
"127.0519622,37.2986493","127.1415333,35.8433231","127.1240809,37.4279097","127.1415333,35.8433231","126.7811747,35.167415","127.8432647,36.9654765","127.4427342,36.3519238"
"127.0523432,37.2985092","127.1416085,35.8433459","127.1239263,37.4280769","127.1416085,35.8433459","126.7812087,35.1682979","127.8430198,36.9654781","127.4429256,36.3523161"
"127.0528568,37.2982876","127.1416528,35.8433577","127.1237871,37.4283415","127.1416528,35.8433577","126.7812372,35.1690546","127.8427469,36.9654816","127.4429746,36.3524162"
"127.0540157,37.2978818","127.1416992,35.8433705","127.1237133,37.4286297","127.1416992,35.8433705","126.7812448,35.1693044","127.842557,36.965484","127.4430314,36.3525226"
"127.0555371,37.2974206","127.1418386,35.8434106","127.1236845,37.4296535","127.1418386,35.8434106","126.7812564,35.1696129","127.8425334,36.965484","127.4432195,36.3528752"
"127.0561108,37.2973407","127.1427742,35.8436802","127.123703,37.431606","127.1427742,35.8436802","126.7812643,35.169841","127.8423032,36.9654991","127.4432707,36.3529717"
"127.0564169,37.2972734","127.1428538,35.8437039","127.1235501,37.4321157","127.1428538,35.8437039","126.7812651,35.1698762","127.8421887,36.9655121","127.4436747,36.3537075"
"127.0572269,37.297107","127.1430175,35.8437495","127.1235552,37.4324411","127.1430175,35.8437495","126.7812944,35.1706564","127.842036,36.9655323","127.4438016,36.3539384"
"127.0579036,37.2969644","127.1432353,35.8438123","127.1235546,37.4325646","127.1432353,35.8438123","126.7813687,35.1722032","127.8420035,36.9655387","127.4439285,36.3541683"
"127.0585654,37.2968506","127.1437274,35.8439653","127.1235522,37.4330378","127.1437274,35.8439653","126.781385,35.1725946","127.8417699,36.9655746","127.4440609,36.3544064"
"127.0585778,37.2968488","127.1438126,35.8439899","127.1235456,37.4334614","127.1438126,35.8439899","126.7813943,35.1730302","127.8414073,36.9656306","127.4443748,36.3549745"
"127.0589833,37.2967764","127.1438955,35.8440199","127.1234353,37.4340334","127.1438955,35.8440199","126.7814223,35.1734758","127.8410145,36.9657074","127.4445151,36.3552189"
"127.0617471,37.2962873","127.1442096,35.8441145","127.1231352,37.4355035","127.1442096,35.8441145","126.7814577,35.1743128","127.8392614,36.9660785","127.4446186,36.355401"
"127.0622925,37.2962127","127.1443732,35.8441655","127.1231235,37.4355837","127.1443732,35.8441655","126.7814408,35.1749836","127.8388675,36.9661598","127.4446977,36.3555345"
"127.066956,37.2953744","127.1454227,35.8444815","127.1231082,37.4357008","127.1454227,35.8444815","126.781388,35.1753782","127.837662,36.9664075","127.4447611,36.3556427"
"127.0688375,37.2950577","127.1456959,35.8445634","127.1228217,37.4378407","127.1456959,35.8445634","126.7813231,35.1757628","127.8371492,36.9665244","127.444799,36.3557077"
"127.0717763,37.2945068","127.1458341,35.8446035","127.1227059,37.4388426","127.1458341,35.8446035","126.7811985,35.1761922","127.8370616,36.9665499","127.4448457,36.3557924"
"127.0718622,37.2944909","127.1459049,35.8446245","127.1226846,37.4390309","127.1459049,35.8446245","126.781062,35.1765998","127.8368563,36.9666154","127.4449259,36.3559385"
"127.0746121,37.2940249","127.1459425,35.8446354","127.1226826,37.4394284","127.1459425,35.8446354","126.78069,35.1774407","127.836724,36.9666581","127.4455114,36.3569828"
"127.075799,37.2938245","127.1459956,35.8446518","127.1226868,37.4394879","127.1459956,35.8446518","126.7803554,35.1781484","127.8364874,36.9667579","127.445714,36.3573128"
"127.076899,37.2936328","127.1461415,35.8446946","127.1226962,37.4396331","127.1461415,35.8446946","126.779971,35.1790261","127.8363372,36.9668332","127.4458387,36.3575148"
"127.0769972,37.2936161","127.1467808,35.8448813","127.1227069,37.4397719","127.1467808,35.8448813","126.7798618,35.1793303","127.8358746,36.96715","127.445871,36.3575635"
"127.0778081,37.2934738","127.1472486,35.8450134","127.1227132,37.4398504","127.1472486,35.8450134","126.7797482,35.1796244","127.8356619,36.9673246","127.4458788,36.3575752"
"127.0785614,37.2933413","127.1473227,35.8450326","127.1228203,37.4403663","127.1473227,35.8450326","126.7796697,35.1799432","127.8356194,36.9673571","127.4459122,36.3576221"
"127.0797508,37.2930895","127.1473813,35.845049","127.1228559,37.440489","127.1473813,35.845049","126.7796031,35.1803882","127.8347124,36.9680493","127.4461483,36.3579008"
"127.0799372,37.2930496","127.1474908,35.8450799","127.1229992,37.4409825","127.1474908,35.8450799","126.7795534,35.1807928","127.8340239,36.9685912","127.4475116,36.3593412"
"127.0811368,37.2927997","127.147576,35.8451054","127.1249997,37.4458148","127.147576,35.8451054","126.7795535,35.1811634","127.8335783,36.968944","127.448122,36.3599888"
"127.0816192,37.2926788","127.1478392,35.8451828","127.1250456,37.4459096","127.1478392,35.8451828","126.7795868,35.1816108","127.8334238,36.9690661","127.4485642,36.3604632"
"127.0826371,37.2924246","127.1482517,35.8453049","127.1254582,37.4468294","127.1482517,35.8453049","126.7796326,35.1820241","127.8330868,36.969333","127.4486743,36.360758"
"127.0839997,37.2920662","127.1487615,35.845456","127.1257404,37.4475874","127.1487615,35.845456","126.7796767,35.1822533","127.8329637,36.9694316","127.4488737,36.3609889"
"127.0857601,37.2916","127.1492183,35.8455908","127.1259623,37.4484354","127.1492183,35.8455908","126.779729,35.1824259","127.8326614,36.969675","127.4489038,36.3610223"
"127.0862742,37.2914621","127.1499272,35.8458002","127.1259767,37.4484923","127.1499272,35.8458002","126.779776,35.1825812","127.8326121,36.9697139","127.4489305,36.3610511"
"127.0874854,37.2911364","127.1501019,35.8458521","127.1260146,37.4488394","127.1501019,35.8458521","126.7798508,35.1828188","127.8319493,36.9702413","127.4496969,36.3618214"
"127.0887249,37.2907829","127.150134,35.8458621","127.1260254,37.4489377","127.150134,35.8458621","126.7799991,35.1831831","127.831637,36.9704999","127.4499497,36.3620793"
"127.0892559,37.2906477","127.1503275,35.8459186","127.1260663,37.4493597","127.1503275,35.8459186","126.7803138,35.1838676","127.8313246,36.9707415","127.4506828,36.3627756"
"127.0893565,37.2906219","127.1505355,35.8459796","127.1260828,37.4501187","127.1505355,35.8459796","126.7807523,35.1848332","127.8310445,36.9709054","127.4507618,36.3628496"
"127.0896739,37.290541","127.1506096,35.8460033","127.1260477,37.4519483","127.1506096,35.8460033","126.7808847,35.1851351","127.8307116,36.9710993","127.4510459,36.3631319"
"127.0901043,37.2904424","127.1507323,35.8460397","127.126026,37.4531399","127.1507323,35.8460397","126.7808879,35.1851424","127.8305738,36.9711691","127.4513489,36.363425"
"127.0910159,37.2902346","127.1517221,35.8463338","127.1259384,37.4539184","127.1517221,35.8463338","126.781301,35.1860095","127.8305289,36.9711899","127.4518246,36.3639165"
"127.0927336,37.2899251","127.1519068,35.8463857","127.1258236,37.4549456","127.1519068,35.8463857","126.7814487,35.1863206","127.8302946,36.9712997","127.4519114,36.36405"
"127.0935227,37.2898196","127.1523371,35.8465141","127.1255965,37.4565006","127.1523371,35.8465141","126.7815915,35.1865712","127.8301555,36.971364","127.4519671,36.3641753"
"127.0939449,37.2897751","127.152514,35.8465633","127.1254878,37.4574377","127.152514,35.8465633","126.781848,35.187001","127.8300378,36.9714194","127.4519893,36.3642934"
"127.0947306,37.2896922","127.1525229,35.846566","127.1254077,37.4594592","127.1525229,35.846566","126.7819584,35.187182","127.8294,36.9717493","127.451987,36.3644494"
"127.0960792,37.2896156","127.1525088,35.8467526","127.1254123,37.4598847","127.1525088,35.8467526","126.7820366,35.1872871","127.827799,36.9725289","127.4519367,36.3646243"
"127.0967065,37.2895998","127.1523073,35.8472497","127.1254146,37.4601118","127.1523073,35.8472497","126.7823036,35.1876448","127.8275411,36.9726486","127.4518798,36.364791"
"127.0971803,37.2896023","127.152267,35.8473515","127.125417,37.4603128","127.152267,35.8473515","126.78278,35.1881869","127.8271699,36.9728119","127.4517493,36.3648992"
"127.0980377,37.289607","127.1521345,35.8477559","127.1254488,37.4607321","127.1521345,35.8477559","126.7832145,35.1886042","127.8268356,36.9729309","127.4515999,36.3649911"
"127.0983999,37.2896091","127.1520555,35.8480974","127.1256279,37.4629139","127.1520555,35.8480974","126.7838756,35.189123","127.826701,36.9729764","127.4511873,36.3651162"
"127.0987371,37.2896256","127.1520542,35.848147","127.1257437,37.4644124","127.1520542,35.848147","126.7840164,35.1892212","127.8262982,36.9731001","127.450893,36.3652116"
"127.0998705,37.2897033","127.1520474,35.8484247","127.1257755,37.4655049","127.1520474,35.8484247","126.7840481,35.189243","127.8259751,36.9731965","127.4506745,36.3652828"
"127.1007118,37.2897747","127.1520577,35.8486032","127.1257432,37.4661015","127.1520577,35.8486032","126.7841147,35.1892894","127.8254152,36.9733702","127.4503244,36.3654332"
"127.1012847,37.2898136","127.1520682,35.8487349","127.1256982,37.4665025","127.1520682,35.8487349","126.7844554,35.1895114","127.8253176,36.9734011","127.4497121,36.3658828"
