0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"127.3432405,36.3687503","128.0863373,36.1409047","127.0214228,36.7695946","127.0767993,36.7388911","127.0767993,36.7388911","128.5891443,35.8802082","127.1317573,35.8445964","127.1227992,35.8330388","127.1227992,35.8330388","127.4224299,36.3554185","127.871659,36.9679475","128.8977689,37.7750907","128.8977689,37.7750907","128.5891443,35.8802082","127.1227992,35.8330388","127.1497871,35.8358415","127.0493116,37.6784331","127.1649945,36.7856034","126.895862,37.5665915","127.0344369,37.6067911","128.6636192,35.2355085","127.1317573,35.8445964","127.2568538,37.4103416"
"127.3429595,36.3687761","128.0864452,36.1409141","127.0214818,36.7696462","127.0765194,36.7398745","127.0765194,36.7398745","128.5890529,35.8799251","127.1320066,35.8445683","127.1228178,35.8333327","127.1228178,35.8333327","127.42282,36.3554908","127.8717186,36.9677283","128.8976041,37.7752026","128.8976041,37.7752026","128.5890529,35.8799251","127.1228178,35.8333327","127.1498943,35.8358896","127.0495098,37.679036","127.1650071,36.7852879","126.8953694,37.566735","127.0343808,37.6068765","128.6639763,35.2359649","127.1320066,35.8445683","127.2569104,37.4103075"
"127.3427867,36.3687912","128.0868205,36.1408726","127.0215074,36.7696851","127.0764864,36.7399745","127.0764864,36.7399745","128.5890285,35.8798414","127.1322171,35.8445446","127.1228787,35.8337882","127.1228787,35.8337882","127.4235276,36.3556193","127.8717325,36.9675759","128.8973406,37.77502","128.8973406,37.77502","128.5890285,35.8798414","127.1228787,35.8337882","127.1500314,35.8359513","127.0495644,37.6791993","127.165031,36.7846858","126.8951978,37.5668072","127.0343797,37.6068792","128.6638169,35.2360431","127.1322171,35.8445446","127.2570497,37.4102222"
"127.3427209,36.3687974","128.0868338,36.1408689","127.0215436,36.7697961","127.0764773,36.7400087","127.0764773,36.7400087","128.5889995,35.8797416","127.1324476,35.8445182","127.1229256,35.8339498","127.1229256,35.8339498","127.4235476,36.3556608","127.8717161,36.9674452","128.8973015,37.7749917","128.8973015,37.7749917","128.5889995,35.8797416","127.1229256,35.8339498","127.1501485,35.8360048","127.0495891,37.6792445","127.1650614,36.7843884","126.894683,37.5670425","127.0343648,37.6069008","128.6634116,35.2355159","127.1324476,35.8445182","127.2574028,37.4100327"
"127.3425715,36.3688116","128.0870446,36.1408138","127.021562,36.7706327","127.0764122,36.7402329","127.0764122,36.7402329","128.5890285,35.8798414","127.133263,35.844427","127.1229649,35.8340698","127.1224107,35.8339563","127.4235554,36.3557032","127.8716783,36.9672885","128.897244,37.7749518","128.897244,37.7749518","128.5890285,35.8798414","127.1229649,35.8340698","127.1502115,35.836033","127.0496126,37.6792869","127.1650913,36.784228","126.8945738,37.5671014","127.0343042,37.6069853","128.6626742,35.2345159","127.133263,35.844427","127.2577741,37.4098487"
"127.3423887,36.3688249","128.08769,36.1406123","127.0215647,36.7707346","127.0763492,36.7404914","127.0763492,36.7404914","128.5890529,35.8799251","127.1335179,35.844398","127.1230734,35.8342911","127.1217874,35.8339408","127.4235493,36.356181","127.8716313,36.9670912","128.8970174,37.7747977","128.8970174,37.7747977","128.5890529,35.8799251","127.1230734,35.8342911","127.1504779,35.8361239","127.0496508,37.6793429","127.1651267,36.7840812","126.8942918,37.5672532","127.0340125,37.6074357","128.6617163,35.2331537","127.1335179,35.844398","127.2578205,37.4098136"
"127.3422504,36.3688346","128.0878997,36.1405553","127.02158,36.7711665","127.0765118,36.7404497","127.0765118,36.7404497","128.5891443,35.8802082","127.1339389,35.8443506","127.1231008,35.8343579","127.1217088,35.8339415","127.4235162,36.3570176","127.871545,36.966675","128.8968038,37.7746695","128.8968038,37.7746695","128.5891443,35.8802082","127.1231008,35.8343579","127.1506781,35.8361759","127.0498111,37.6792796","127.1651529,36.7839704","126.8942235,37.5672898","127.0339416,37.6075382","128.6616434,35.2330498","127.1339389,35.8443506","127.2578376,37.4097551"
"127.3417543,36.3688709","128.0879043,36.1399828","127.0215819,36.7712179","127.076725,36.7403828","127.076725,36.7403828","128.5892232,35.8804654","127.1343643,35.8443032","127.1231534,35.8344698","127.1215759,35.833941","127.4235116,36.3571231","127.8715233,36.9665904","128.8967877,37.7746598","128.8967877,37.7746598","128.5892232,35.8804654","127.1231534,35.8344698","127.1507279,35.8361869","127.0498703,37.6792536","127.1651654,36.7839263","126.893857,37.5675259","127.0338067,37.6077441","128.6615717,35.232954","127.1343643,35.8443032","127.2582035,37.4098198"
"127.3416372,36.3688942","128.0879122,36.1388162","127.0216018,36.7716218","127.0770178,36.7403027","127.0770178,36.7403027","128.5892567,35.8805651","127.1345593,35.844283","127.1232291,35.8346306","127.1212493,35.8339409","127.4235093,36.3572024","127.8713159,36.9655399","128.8966499,37.7745767","128.8966499,37.7745767","128.5892567,35.8805651","127.1232291,35.8346306","127.1508032,35.8361808","127.0500908,37.6791671","127.165326,36.7833489","126.8937852,37.567576","127.0337598,37.6078151","128.6614706,35.2328026","127.1345593,35.844283","127.2582273,37.409819"
"127.3415625,36.3689203","128.0879352,36.137718","127.0216327,36.7722349","127.0774552,36.7401889","127.0774552,36.7401889","128.5893853,35.8809814","127.1347454,35.8442602","127.1233235,35.8347976","127.1202827,35.8339361","127.4235001,36.3575513","127.8712987,36.9654616","128.896466,37.7744599","128.896466,37.7744599","128.5893853,35.8809814","127.1233235,35.8347976","127.1509417,35.8361694","127.0502885,37.6790966","127.1653318,36.7832858","126.8937375,37.5676046","127.0336293,37.6080201","128.6612311,35.2324208","127.1347454,35.8442602","127.258277,37.4098164"
"127.3414865,36.3689932","128.0879415,36.1373735","127.0217648,36.7724374","127.0774844,36.7401818","127.0774844,36.7401818","128.5894143,35.8810722","127.1351122,35.8442162","127.1236102,35.8352836","127.1195498,35.8339328","127.4235001,36.3575585","127.8712745,36.9653291","128.8962335,37.77435","128.8962335,37.77435","128.5894143,35.8810722","127.1236102,35.8352836","127.1510623,35.836186","127.0503294,37.6790841","127.1653658,36.7829478","126.8935348,37.5677378","127.0335309,37.6081738","128.6605465,35.2314229","127.1351122,35.8442162","127.2583089,37.4097389"
"127.3414362,36.3690779","128.0880871,36.1373683","127.0218138,36.7724917","127.0777995,36.7401117","127.0777995,36.7401117","128.5896169,35.8817086","127.1358743,35.84415","127.1237114,35.8354174","127.11949,35.8339308","127.4234977,36.3576423","127.8712583,36.9652444","128.8961226,37.7743135","128.8961226,37.7743135","128.5896169,35.8817086","127.1237114,35.8354174","127.1512261,35.8362045","127.0511832,37.6789188","127.1653813,36.7827486","126.8934118,37.5678228","127.0334623,37.6082736","128.6603343,35.2311013","127.1358743,35.84415","127.258491,37.4093282"
"127.3411944,36.3695743","128.088218,36.1373388","127.0219206,36.772612","127.0779274,36.740077","127.0779274,36.740077","128.5896226,35.8817257","127.1359397,35.8441457","127.1239272,35.8356741","127.1193242,35.8338744","127.4234773,36.3580597","127.8711789,36.9650851","128.8959021,37.7742395","128.8959021,37.7742395","128.5896226,35.8817257","127.1239272,35.8356741","127.1522598,35.8362995","127.0513661,37.6788772","127.1653862,36.7823764","126.8933799,37.567847","127.0333743,37.6083994","128.660058,35.2306846","127.1359397,35.8441457","127.2585081,37.4092913"
"127.3411093,36.3697437","128.0884242,36.137272","127.0221403,36.7727869","127.0780923,36.7400325","127.0780923,36.7400325","128.5896702,35.8818831","127.1359995,35.8441414","127.1239449,35.8356886","127.1191991,35.8338749","127.4234727,36.3581481","127.8711248,36.9648176","128.8957454,37.7741782","128.8957454,37.7741782","128.5896702,35.8818831","127.1239449,35.8356886","127.1527634,35.8363505","127.051491,37.6788542","127.1653864,36.7823331","126.8932114,37.5679633","127.0333537,37.6084345","128.6599885,35.2305852","127.1359995,35.8441414","127.2585263,37.4092508"
"127.3410544,36.3698797","128.088683,36.1372428","127.0229697,36.7731066","127.0782449,36.7399753","127.0782449,36.7399753","128.5897109,35.8820224","127.136243,35.8441646","127.1240927,35.8358036","127.1191127,35.833881","127.4234511,36.3586592","127.8711133,36.9647554","128.8955968,37.7741232","128.8955968,37.7741232","128.5897109,35.8820224","127.1240927,35.8358036","127.152884,35.8363626","127.051525,37.6788489","127.1653785,36.7820933","126.8930747,37.5680581","127.0333044,37.6085208","128.6596238,35.2300594","127.136243,35.8441646","127.2585934,37.4091022"
"127.3408483,36.3698218","128.0891226,36.1371703","127.0233185,36.7732504","127.0784493,36.7398841","127.0784493,36.7398841","128.5897306,35.8820881","127.1364167,35.844212","127.1245479,35.8360096","127.1185068,35.8339241","127.4234499,36.3587413","127.8710937,36.9646554","128.8953377,37.7739902","128.8953377,37.7739902","128.5897306,35.8820881","127.1245479,35.8360096","127.153122,35.8363858","127.0517271,37.6788182","127.1653746,36.7819553","126.8928758,37.5682942","127.0332265,37.6086575","128.6595565,35.2299627","127.1364167,35.844212","127.2586276,37.4090248"
"127.3405997,36.3698052","128.0899415,36.1369968","127.023762,36.7734577","127.0785876,36.7397818","127.0785876,36.7397818","128.5897632,35.8821996","127.1364808,35.8442294","127.1245998,35.8360477","127.1177494,35.8339343","127.4239492,36.3587578","127.8710868,36.9646221","128.8949755,37.7739314","128.8949755,37.7739314","128.5897632,35.8821996","127.1245998,35.8360477","127.1537263,35.8364462","127.05176,37.6788129","127.1653726,36.7819121","126.8918093,37.5691116","127.0332094,37.6086872","128.6595543,35.2299591","127.1364808,35.8442294","127.2586572,37.4089626"
"127.3403343,36.3698418","128.0901668,36.1369488","127.0240625,36.7736158","127.078807,36.739614","127.078807,36.739614","128.5899243,35.8827165","127.1366168,35.8442703","127.1247719,35.8361708","127.1163166,35.8339541","127.4248297,36.3587782","127.8710764,36.964568","128.8948426,37.7739312","128.8948426,37.7739312","128.5899243,35.8827165","127.1247719,35.8361708","127.1541303,35.836487","127.0519121,37.6787891","127.165365,36.7815965","126.8912654,37.5695649","127.0331842,37.608725","128.6594779,35.2298454","127.1366168,35.8442703","127.2587823,37.408697"
"127.3401246,36.3699019","128.0901845,36.1369451","127.0246243,36.7739083","127.0790692,36.7393896","127.0790692,36.7393896","128.5899869,35.8829233","127.1369552,35.8443705","127.1248503,35.8362297","127.1160896,35.8339579","127.425222,36.3587875","127.8710166,36.9642662","128.8947157,37.7739417","128.8947157,37.7739417","128.5899869,35.8829233","127.1248503,35.8362297","127.1542166,35.8364954","127.0520994,37.678761","127.1653618,36.7815469","126.8908695,37.5699315","127.033112,37.6088563","128.6594005,35.2297298","127.1369552,35.8443705","127.258813,37.408633"
"127.3400681,36.3697315","128.0902555,36.1369285","127.0255619,36.774516","127.0792844,36.7391587","127.0792844,36.7391587","128.5901371,35.8833745","127.1370581,35.8444015","127.1249992,35.8363437","127.1158981,35.8339591","127.4253625,36.3587912","127.8709509,36.9639374","128.8945494,37.7739743","128.8945494,37.7739743","128.5901371,35.8833745","127.1249992,35.8363437","127.154262,35.8365","127.0529144,37.6786307","127.1653237,36.7810339","126.8903362,37.570475","127.0330338,37.6090398","128.6589368,35.2290381","127.1370581,35.8444015","127.2589621,37.4082917"
"127.340056,36.3696945","128.0903742,36.1368955","127.0258365,36.7746911","127.079551,36.738945","127.079551,36.738945","128.5902063,35.8835713","127.1376353,35.844571","127.1254826,35.8366797","127.1158372,35.8339589","127.4256991,36.3588013","127.8709279,36.9638257","128.8941869,37.7740831","128.8941869,37.7740831","128.5902063,35.8835713","127.1254826,35.8366797","127.154335,35.8365083","127.0533106,37.6785682","127.1653473,36.7805084","126.8896435,37.571279","127.0330154,37.6090812","128.6589054,35.2289916","127.1376353,35.844571","127.2590526,37.4082829"
"127.3399795,36.3694798","128.0905383,36.1368478","127.0262247,36.7749739","127.0797284,36.7388573","127.0797284,36.7388573","128.590325,35.8839047","127.1376796,35.8445837","127.1259229,35.836994","127.1156146,35.8339555","127.4269619,36.3588409","127.8709233,36.9638005","128.8938215,37.7742127","128.8938215,37.7742127","128.590325,35.8839047","127.1259229,35.836994","127.1545055,35.836526","127.0535398,37.6785321","127.1653285,36.7801892","126.8885977,37.5725922","127.0329694,37.6091865","128.6588268,35.2288787","127.1376796,35.8445837","127.259186,37.4082597"
