0,1,2,3,4
"129.3763471,35.5728276","127.5229388,34.9766927","128.5249959,35.8490799","129.3763471,35.5728276","128.5249959,35.8490799"
"129.3762739,35.5732408","127.523134,34.9771417","128.52497,35.8490477","129.3762739,35.5732408","128.52497,35.8490477"
"129.3762562,35.5733312","127.5232085,34.9773356","128.524428,35.8484915","129.3762562,35.5733312","128.524428,35.8484915"
"129.3761367,35.5739325","127.5232195,34.9773581","128.5243584,35.8484245","129.3761367,35.5739325","128.5243584,35.8484245"
"129.3760245,35.5744202","127.5233499,34.9776286","128.523895,35.848121","129.3760245,35.5744202","128.523895,35.848121"
"129.3759994,35.5745288","127.5235374,34.9779577","128.5236154,35.8479936","129.3759994,35.5745288","128.5236154,35.8479936"
"129.3759244,35.5748581","127.5235999,34.9781327","128.5234421,35.8479527","129.3759244,35.5748581","128.5234421,35.8479527"
"129.3757744,35.5755248","127.523624,34.9783662","128.5232827,35.8479523","129.3757744,35.5755248","128.5232827,35.8479523"
"129.3756608,35.5759999","127.5235956,34.9785592","128.5231213,35.8479789","129.3756608,35.5759999","128.5231213,35.8479789"
"129.3756326,35.5761644","127.5235376,34.9787639","128.5230111,35.8480168","129.3756326,35.5761644","128.5230111,35.8480168"
"129.3756155,35.5762837","127.5234555,34.9789073","128.5229055,35.8480772","129.3756155,35.5762837","128.5229055,35.8480772"
"129.3755888,35.5767483","127.5233295,34.9790723","128.5227678,35.8482136","129.3755888,35.5767483","128.5227678,35.8482136"
"129.3755716,35.5770975","127.5231893,34.9792085","128.5227214,35.8483113","129.3755716,35.5770975","128.5227214,35.8483113"
"129.3755415,35.5776028","127.5230491,34.9793159","128.5225672,35.8486336","129.3755415,35.5776028","128.5225672,35.8486336"
"129.3755308,35.5778563","127.5226504,34.9795504","128.5224987,35.8488199","129.3755308,35.5778563","128.5224987,35.8488199"
"129.375523,35.5779961","127.5221049,34.9799437","128.5222758,35.849223","129.375523,35.5779961","128.5222758,35.849223"
"129.3757211,35.5780174","127.5217511,34.9801683","128.5222652,35.8492619","129.3757211,35.5780174","128.5222652,35.8492619"
"129.3761444,35.5780469","127.5215627,34.9802873","128.5221628,35.8496531","129.3761444,35.5780469","128.5221628,35.8496531"
"129.3767111,35.5780714","127.5213951,34.9803992","128.5221072,35.8499836","129.3767111,35.5780714","128.5221072,35.8499836"
