0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"127.1263865,37.5217663","126.8917091,37.544663","128.3440755,36.1187977","129.3528824,35.5607409","128.5596122,35.8550573","127.1778734,37.7176143","127.1778734,37.7176143","126.7640813,37.5133441","129.1723524,37.456032","128.5596122,35.8550573","127.0801841,37.5529945","127.074003,37.5097479","127.0394646,37.286675","127.1380864,37.4346083","127.074003,37.5097479","127.0394646,37.286675","127.074003,37.5097479","127.0493116,37.6784331","127.0228872,37.744975","128.5596122,35.8550573","127.1380864,37.4346083","127.0525749,37.5953493","126.8347094,37.5071787","127.1449484,37.5580076","127.2568538,37.4103416","126.7972835,37.5034692","126.7972835,37.5034692","127.0493116,37.6784331","127.1380864,37.4346083","127.1380864,37.4346083","127.0493116,37.6784331"
"127.1264623,37.5217576","126.8914122,37.5449833","128.3441999,36.1187977","129.3540552,35.5607436","128.5594769,35.8552135","127.1781334,37.7178305","127.1781334,37.7178305","126.7639611,37.5133632","129.1723602,37.4558778","128.5594769,35.8552135","127.080349,37.5530744","127.0737724,37.510698","127.0394691,37.2866723","127.1379893,37.43459","127.0737724,37.510698","127.0394691,37.2866723","127.0737724,37.510698","127.0495098,37.679036","127.023067,37.744901","128.5594769,35.8552135","127.1379893,37.43459","127.0526372,37.5953414","126.8348221,37.5073623","127.1447738,37.5580486","127.2569104,37.4103075","126.797249,37.5042442","126.797249,37.5042442","127.0495098,37.679036","127.1379893,37.43459","127.1379893,37.43459","127.0495098,37.679036"
"127.1270246,37.5215664","126.8910004,37.5455003","128.3443476,36.1187922","129.3540784,35.5607432","128.5592489,35.8554707","127.1781832,37.7178684","127.1781832,37.7178684","126.7639549,37.5135389","129.1723871,37.455662","128.5592489,35.8554707","127.0804866,37.5531578","127.0737183,37.5108627","127.039511,37.2866472","127.1379261,37.4345781","127.0737183,37.5108627","127.039511,37.2866472","127.0737183,37.5108627","127.0495644,37.6791993","127.0231284,37.7448787","128.5592489,35.8554707","127.1379261,37.4345781","127.0526374,37.5953189","126.8349047,37.5074817","127.1445477,37.5579821","127.2570497,37.4102222","126.7972819,37.5048438","126.7972819,37.5048438","127.0495644,37.6791993","127.1379261,37.4345781","127.1379261,37.4345781","127.0495644,37.6791993"
"127.1270864,37.5216577","126.8908506,37.5456933","128.3443399,36.1181684","129.3542492,35.560737","128.5590077,35.8557388","127.178322,37.717767","127.178322,37.717767","126.7639177,37.5136405","129.1717221,37.4559571","128.5590077,35.8557388","127.0805373,37.5532166","127.074487,37.5110016","127.0395914,37.2865998","127.1379238,37.4345771","127.074487,37.5110016","127.0395914,37.2865998","127.074487,37.5110016","127.0495891,37.6792445","127.0232274,37.7448421","128.5590077,35.8557388","127.1379238,37.4345771","127.0526404,37.5951837","126.8349892,37.5076517","127.1444311,37.5582125","127.2574028,37.4100327","126.7972953,37.5049845","126.7972953,37.5049845","127.0495891,37.6792445","127.1379238,37.4345771","127.1379238,37.4345771","127.0495891,37.6792445"
"127.1272741,37.5219242","126.8907602,37.5458091","128.3443842,36.1179535","129.3543749,35.5607333","128.5588866,35.8558742","127.1784006,37.7177059","127.1784006,37.7177059","126.7638841,37.5137178","129.1715296,37.4560455","128.5588866,35.8558742","127.0805493,37.5532824","127.0750442,37.5111037","127.0397544,37.2865048","127.1375477,37.4345075","127.0750442,37.5111037","127.0397544,37.2865048","127.0750442,37.5111037","127.0496126,37.6792869","127.0233636,37.7448391","128.5588866,35.8558742","127.1375477,37.4345075","127.052654,37.5946195","126.8352727,37.5082175","127.1443159,37.5583924","127.2577741,37.4098487","126.797321,37.5052604","126.797321,37.5052604","127.0496126,37.6792869","127.1375477,37.4345075","127.1375477,37.4345075","127.0496126,37.6792869"
"127.127337,37.5217829","126.8905588,37.5460794","128.3443969,36.1178912","129.3546142,35.5607269","128.5588246,35.8559577","127.1785611,37.7175738","127.1785611,37.7175738","126.7638759,37.5137475","129.1711999,37.455558","128.5588246,35.8559577","127.0804373,37.5532829","127.0752876,37.5112776","127.03997,37.2866724","127.1374009,37.4344746","127.0752876,37.5112776","127.03997,37.2866724","127.0752876,37.5112776","127.0496508,37.6793429","127.0235691,37.7448453","128.5588246,35.8559577","127.1374009,37.4344746","127.0526724,37.5938219","126.8353373,37.5083386","127.1443033,37.558414","127.2578205,37.4098136","126.7973263,37.5053001","126.7973263,37.5053001","127.0496508,37.6793429","127.1374009,37.4344746","127.1374009,37.4344746","127.0496508,37.6793429"
"127.1273997,37.521683","126.8905393,37.5461028","128.3447717,36.1179282","129.3546969,35.5607247","128.5585191,35.8563102","127.1786773,37.7174642","127.1786773,37.7174642","126.7638595,37.5138015","129.1710921,37.4555902","128.5585191,35.8563102","127.0802866,37.5532995","127.0776821,37.5116548","127.0400902,37.286754","127.1367121,37.4343328","127.0776821,37.5116548","127.0400902,37.286754","127.0776821,37.5116548","127.0498111,37.6792796","127.0237405,37.7448343","128.5585191,35.8563102","127.1367121,37.4343328","127.0526731,37.593711","126.8353742,37.508383","127.144097,37.5587027","127.2578376,37.4097551","126.7973368,37.5053786","126.7973368,37.5053786","127.0498111,37.6792796","127.1367121,37.4343328","127.1367121,37.4343328","127.0498111,37.6792796"
"127.1279121,37.5210582","126.8903943,37.5462552","128.3451333,36.1179644","129.3549396,35.5607264","128.5584624,35.8563729","127.1787207,37.7173994","127.1787207,37.7173994","126.7638437,37.5139132","129.1707541,37.4556932","128.5584624,35.8563729","127.0801742,37.5533496","127.0779986,37.5117037","127.0404664,37.2870322","127.136676,37.4343254","127.0779986,37.5117037","127.0404664,37.2870322","127.0779986,37.5117037","127.0498703,37.6792536","127.0238849,37.744797","128.5584624,35.8563729","127.136676,37.4343254","127.052669,37.5936272","126.8354249,37.5084076","127.1439865,37.5588502","127.2582035,37.4098198","126.7973919,37.505661","126.7973919,37.505661","127.0498703,37.6792536","127.136676,37.4343254","127.136676,37.4343254","127.0498703,37.6792536"
"127.1279554,37.5209961","126.8900614,37.546825","128.3455671,36.1180083","129.3551668,35.560722","128.5584046,35.8564401","127.178916,37.7171106","127.178916,37.7171106","126.7643318,37.5138702","129.1704888,37.4557619","128.5584046,35.8564401","127.0801241,37.5533999","127.0782236,37.5117397","127.0415994,37.2879056","127.1365224,37.4342961","127.0782236,37.5117397","127.0415994,37.2879056","127.0782236,37.5117397","127.0500908,37.6791671","127.0239158,37.7447548","128.5584046,35.8564401","127.1365224,37.4342961","127.0526727,37.5935821","126.8354995,37.5084162","127.143713,37.5592099","127.2582273,37.409819","126.7969434,37.5055908","126.7969434,37.5055908","127.0500908,37.6791671","127.1365224,37.4342961","127.1365224,37.4342961","127.0500908,37.6791671"
"127.1280614,37.5208414","126.8898989,37.5470413","128.3456872,36.1180164","129.3551988,35.5607215","128.5581551,35.8567497","127.179036,37.7169181","127.179036,37.7169181","126.7643612,37.5136469","129.1703155,37.4557976","128.5581551,35.8567497","127.0801249,37.5534666","127.0783066,37.5120582","127.0418083,37.2880731","127.1363869,37.434266","127.0783066,37.5120582","127.0418083,37.2880731","127.0783066,37.5120582","127.0502885,37.6790966","127.0241987,37.7443593","128.5581551,35.8567497","127.1363869,37.434266","127.0526861,37.5934254","126.835599,37.5084248","127.1436675,37.5592539","127.258277,37.4098164","126.7969084,37.5055852","126.7969084,37.5055852","127.0502885,37.6790966","127.1363869,37.434266","127.1363869,37.434266","127.0502885,37.6790966"
