0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"128.5894143,35.8810722","127.1351122,35.8442162","128.0879415,36.1373735","127.0780495,37.6311327","127.0217648,36.7724374","127.8712745,36.9653291","128.6605465,35.2314229","126.8018148,35.1659451","127.0120403,37.2993108","127.1526915,35.8236412","127.2583089,37.4097389","126.8018148,35.1659451","127.1236102,35.8352836","126.8358082,37.5084395","127.0765482,37.6300827","126.9129822,37.6132709","127.0113161,37.6333683","126.8822873,35.1386908","127.1653658,36.7829478","126.8727177,35.1349519","127.3414865,36.3689932","128.583054,35.2236404","127.2583089,37.4097389","127.1603657,35.8493636","127.1351122,35.8442162"
"128.5896169,35.8817086","127.1358743,35.84415","128.0880871,36.1373683","127.0788062,37.6311994","127.0218138,36.7724917","127.8712583,36.9652444","128.6603343,35.2311013","126.8018095,35.1659162","127.0120165,37.2993341","127.1526537,35.8234138","127.258491,37.4093282","126.8018095,35.1659162","127.1237114,35.8354174","126.8358871,37.5084661","127.0764239,37.6300164","126.9123778,37.6134815","127.0110998,37.633335","126.8828747,35.1389661","127.1653813,36.7827486","126.8724249,35.1347745","127.3414362,36.3690779","128.5834373,35.2234611","127.258491,37.4093282","127.1603891,35.8493186","127.1358743,35.84415"
"128.5896226,35.8817257","127.1359397,35.8441457","128.088218,36.1373388","127.0793928,37.6312916","127.0219206,36.772612","127.8711789,36.9650851","128.660058,35.2306846","126.8017955,35.1657646","127.0118995,37.2994445","127.1526246,35.8232379","127.2585081,37.4092913","126.8017955,35.1657646","127.1239272,35.8356741","126.8360248,37.5085075","127.0762764,37.6302458","126.9119016,37.6136621","127.0110866,37.6334575","126.8833494,35.1391904","127.1653862,36.7823764","126.8720075,35.1345208","127.3411944,36.3695743","128.5841073,35.223025","127.2585081,37.4092913","127.1605685,35.8490522","127.1359397,35.8441457"
"128.5896702,35.8818831","127.1359995,35.8441414","128.0884242,36.137272","127.0795581,37.6313175","127.0221403,36.7727869","127.8711248,36.9648176","128.6599885,35.2305852","126.8017845,35.165375","127.0106791,37.3005968","127.1526181,35.8231928","127.2585263,37.4092508","126.8017845,35.165375","127.1239449,35.8356886","126.8361374,37.5085658","127.0761495,37.6304409","126.9117164,37.6137288","127.0113118,37.6334999","126.8842081,35.139596","127.1653864,36.7823331","126.8717869,35.134379","127.3411093,36.3697437","128.5841867,35.2229666","127.2585263,37.4092508","127.1605841,35.8490279","127.1359995,35.8441414"
"128.5897109,35.8820224","127.136243,35.8441646","128.088683,36.1372428","127.0796498,37.6313331","127.0229697,36.7731066","127.8711133,36.9647554","128.6596238,35.2300594","126.8017828,35.1653155","127.0105158,37.3007305","127.1526138,35.8231685","127.2585934,37.4091022","126.8017828,35.1653155","127.1240927,35.8358036","126.8362498,37.5086493","127.0759992,37.6305575","126.9116368,37.6137581","127.0120624,37.6336229","126.8843108,35.1396651","127.1653785,36.7820933","126.8716744,35.1343099","127.3410544,36.3698797","128.5843306,35.2228833","127.2585934,37.4091022","127.1608069,35.8487373","127.136243,35.8441646"
"128.5897306,35.8820881","127.1364167,35.844212","128.0891226,36.1371703","127.0798321,37.6313608","127.0233185,36.7732504","127.8710937,36.9646554","128.6595565,35.2299627","126.8017779,35.1651234","127.0102437,37.3009339","127.1526021,35.8230576","127.2586276,37.4090248","126.8017779,35.1651234","127.1245479,35.8360096","126.8365373,37.5088997","127.0758493,37.6306075","126.9114153,37.6138382","127.0123624,37.6336746","126.8851673,35.1403529","127.1653746,36.7819553","126.8715367,35.1342244","127.3408483,36.3698218","128.584464,35.2229966","127.2586276,37.4090248","127.1615237,35.8478864","127.1364167,35.844212"
"128.5897632,35.8821996","127.1364808,35.8442294","128.0899415,36.1369968","127.0799102,37.6313728","127.023762,36.7734577","127.8710868,36.9646221","128.6595543,35.2299591","126.8018151,35.1643644","127.0101575,37.3009985","127.1526084,35.8228935","127.2586572,37.4089626","126.8018151,35.1643644","127.1245998,35.8360477","126.8368999,37.5092163","127.0756495,37.6306662","126.9114107,37.6138399","127.012701,37.6337147","126.8854664,35.140716","127.1653726,36.7819121","126.8707371,35.1337243","127.3405997,36.3698052","128.5844211,35.2230799","127.2586572,37.4089626","127.1615448,35.8478621","127.1364808,35.8442294"
"128.5899243,35.8827165","127.1366168,35.8442703","128.0901668,36.1369488","127.080105,37.6313996","127.0240625,36.7736158","127.8710764,36.964568","128.6594779,35.2298454","126.8018075,35.1642228","127.009362,37.3015162","127.1526266,35.8227736","127.2587823,37.408697","126.8018075,35.1642228","127.1247719,35.8361708","126.8370495,37.5093244","127.0754635,37.6306917","126.9105994,37.6141333","127.0127509,37.6337221","126.8855855,35.1407923","127.165365,36.7815965","126.870162,35.1334328","127.3403343,36.3698418","128.5843438,35.2232158","127.2587823,37.408697","127.1616316,35.8477623","127.1366168,35.8442703"
"128.5899869,35.8829233","127.1369552,35.8443705","128.0901845,36.1369451","127.0801934,37.6314036","127.0246243,36.7739083","127.8710166,36.9642662","128.6594005,35.2297298","126.8018057,35.1641831","127.0092408,37.3015905","127.1526448,35.8226682","127.258813,37.408633","126.8018057,35.1641831","127.1248503,35.8362297","126.8370911,37.5093472","127.0748624,37.6307743","126.9102084,37.6142828","127.012932,37.6337463","126.885674,35.1408496","127.1653618,36.7815469","126.8696234,35.1332451","127.3401246,36.3699019","128.5841882,35.2234084","127.258813,37.408633","127.1619298,35.847425","127.1369552,35.8443705"
"128.5901371,35.8833745","127.1370581,35.8444015","128.0902555,36.1369285","127.0803589,37.6313996","127.0255619,36.774516","127.8709509,36.9639374","128.6589368,35.2290381","126.8017996,35.1641281","127.0080898,37.3022906","127.1526744,35.8224744","127.2589621,37.4082917","126.8017996,35.1641281","127.1249992,35.8363437","126.8371801,37.5093955","127.0743508,37.6308562","126.9101562,37.6143024","127.013342,37.6337976","126.8857931,35.1409196","127.1653237,36.7810339","126.8691697,35.1331472","127.3400681,36.3697315","128.5840787,35.223523","127.2589621,37.4082917","127.1619743,35.847372","127.1370581,35.8444015"
