0,1
"127.3576332,36.3062229","127.4555744,36.3579579"
"127.3575541,36.3062021","127.4560741,36.3573667"
"127.3568137,36.30601","127.4563083,36.3571107"
"127.3560177,36.3058008","127.4564622,36.3569413"
"127.3548877,36.3055299","127.4567365,36.3566583"
"127.354027,36.3053197","127.4570098,36.3563978"
"127.353496,36.3051883","127.4570778,36.3563248"
"127.3533535,36.3051602","127.4571246,36.3562744"
"127.3533089,36.3051511","127.4579554,36.35553"
"127.3532054,36.3051303","127.4580011,36.3554894"
"127.3530729,36.3051031","127.4585742,36.3550244"
"127.35275,36.3050368","127.4594116,36.354391"
"127.3526431,36.3050115","127.4607875,36.3533258"
"127.3524338,36.3049589","127.4609993,36.3531717"
"127.3519384,36.3048357","127.4616114,36.3527247"
"127.3512982,36.3046744","127.4618611,36.35254"
"127.3510578,36.3046182","127.4648491,36.3501915"
"127.3508318,36.3045603","127.4650966,36.3500104"
"127.3499501,36.304322","127.4664991,36.348983"
"127.3498821,36.3043066","127.4681456,36.3479124"
"127.3493923,36.3041915","127.4690095,36.3474033"
"127.3491752,36.3041525","127.4696359,36.3471113"
"127.3491696,36.3041516","127.4701353,36.3468978"
"127.3486184,36.3040499","127.4706736,36.3466843"
"127.3482866,36.3039909","127.4712387,36.3464906"
"127.3477366,36.3038991","127.4714928,36.3464266"
"127.3472489,36.3038165","127.4720345,36.3462888"
"127.3466766,36.3037075","127.4728392,36.3461565"
"127.3464116,36.3036576","127.4738444,36.3460097"
"127.3454518,36.3034941","127.4738923,36.3460025"
"127.3451289,36.3034405","127.4743872,36.3459486"
"127.3449508,36.303406","127.4786154,36.3454815"
"127.3444464,36.303299","127.4795972,36.3453861"
"127.3430447,36.302987","127.4811619,36.3452331"
"127.3428577,36.3029426","127.4816222,36.3451701"
"127.3427208,36.3029118","127.4818941,36.3451403"
"127.3411955,36.3025735","127.4823377,36.3450935"
"127.3406601,36.3024213","127.4833418,36.3450252"
"127.3406122,36.3024077","127.4841196,36.3450361"
"127.3404419,36.3023741","127.4850345,36.3450885"
"127.3404141,36.3023687","127.4859049,36.3452031"
"127.3399498,36.3022716","127.4866147,36.345342"
"127.3398363,36.3022471","127.4872042,36.3454845"
"127.3395635,36.302189","127.4873045,36.3455089"
"127.3389557,36.3020413","127.488011,36.3457235"
"127.3387553,36.3019941","127.4887499,36.3459661"
"127.3385471,36.3019451","127.4888346,36.3460031"
"127.3380483,36.3018345","127.4890964,36.346114"
"127.3371265,36.3016295","127.4894118,36.3462583"
"127.3366366,36.3015522","127.4896614,36.3463827"
"127.3361422,36.3015109","127.4898531,36.3464774"
"127.3357312,36.3015059","127.4898542,36.3464783"
"127.3338833,36.3015502","127.490018,36.3465702"
"127.3337096,36.3015544","127.4901562,36.3466496"
"127.3315777,36.3016065","127.4902866,36.3467244"
"127.3309929,36.3016002","127.4934124,36.3485999"
"127.3309261,36.3015947","127.4947464,36.3493888"
"127.3304874,36.301558","127.4947475,36.3493897"
"127.3303204,36.3015362","127.4948467,36.3494483"
"127.3300866,36.3014917","127.4956368,36.3499162"
"127.3298984,36.3014472","127.4961628,36.3501741"
"127.3297114,36.3014046","127.4968114,36.3504914"
"127.3290347,36.3011854","127.497781,36.3508367"
"127.3288266,36.3011166","127.4981265,36.3509332"
"127.3281699,36.3008903","127.4982023,36.3509539"
"127.327609,36.3006956","127.4988744,36.3511325"
"127.3274743,36.3006486","127.4997593,36.3513029"
"127.3269579,36.3004693","127.5,36.3513335"
"127.3268188,36.300424","127.5006999,36.3514083"
"127.3256079,36.3000157","127.501353,36.3514444"
"127.3254121,36.2999478","127.50145,36.3514498"
"127.3251506,36.2998338","127.5023739,36.3514408"
"127.3250293,36.2997705","127.5031496,36.3513831"
"127.3246889,36.2995924","127.5051624,36.3511333"
"127.3246022,36.2995355","127.507174,36.3508582"
"127.3243119,36.2993439","127.5096805,36.3505199"
