0,1,2,3,4,5
"127.1653473,36.7805084","127.0445904,37.2903076","127.0112538,35.965282","127.0112538,35.965282","126.801774,35.1639079","127.1376353,35.844571"
"127.1653285,36.7801892","127.0446488,37.2903547","127.0115188,35.9654787","127.0115188,35.9654787","126.8013444,35.1632914","127.1376796,35.8445837"
"127.1653118,36.7799043","127.044669,37.290371","127.0117186,35.9656247","127.0117186,35.9656247","126.8012739,35.1631909","127.1380158,35.8446713"
"127.1653003,36.7792092","127.0447464,37.2904389","127.0121935,35.9659494","127.0121935,35.9659494","126.8011523,35.1630342","127.1381618,35.8447096"
"127.1652289,36.7788638","127.0449497,37.2905956","127.0122476,35.9659839","127.0122476,35.9659839","126.8008731,35.1628062","127.1382289,35.8445646"
"127.1652247,36.7788088","127.0450957,37.290708","127.0122686,35.9659957","127.0122686,35.9659957","126.8006426,35.1626769","127.1382837,35.844444"
"127.1651965,36.7785833","127.0455706,37.2910793","127.0123206,35.9660238","127.0123206,35.9660238","126.8003339,35.1625597","127.1384483,35.8440568"
"127.1651922,36.7785536","127.0466093,37.2918991","127.0123394,35.9660338","127.0123394,35.9660338","126.8000182,35.1625038","127.1385523,35.8438263"
"127.1650885,36.7781774","127.0466621,37.2919381","127.0123791,35.9660565","127.0123791,35.9660565","126.7999853,35.1624982","127.1385668,35.8437939"
"127.1650231,36.7779987","127.0468474,37.2920758","127.0125871,35.9661502","127.0125871,35.9661502","126.799495,35.162434","127.1387926,35.8433239"
"127.1643873,36.7763012","127.0472112,37.2923737","127.0127076,35.966203","127.0127076,35.966203","126.7989467,35.1623569","127.138949,35.8430413"
"127.1642965,36.7760549","127.047547,37.2926301","127.0133158,35.9664904","127.0133158,35.9664904","126.7986911,35.1623211","127.1390676,35.8427693"
"127.1642216,36.7757409","127.0478209,37.2928682","127.0135149,35.9665841","127.0135149,35.9665841","126.7978624,35.1621613","127.1390955,35.8427045"
"127.1642086,36.7756508","127.0479274,37.2929705","127.0136012,35.9666241","127.0136012,35.9666241","126.7977341,35.1621416","127.1391259,35.8425946"
"127.1641618,36.7753261","127.0479824,37.2930266","127.0140767,35.9668451","127.0140767,35.9668451","126.7959941,35.161851","127.1393836,35.8426738"
"127.1641456,36.7749231","127.0480104,37.2930546","127.0147525,35.9671499","127.0147525,35.9671499","126.7954678,35.1617632","127.1395705,35.8427321"
"127.1641731,36.7745265","127.0482213,37.2932673","127.0148465,35.9671944","127.0148465,35.9671944","126.7943554,35.1615196","127.1396424,35.8427521"
"127.164226,36.7742274","127.0483914,37.2934987","127.0149338,35.9672363","127.0149338,35.9672363","126.7941362,35.1614714","127.1397916,35.8427977"
"127.1642885,36.7740166","127.0485477,37.2937688","127.0151174,35.9673208","127.0151174,35.9673208","126.7923806,35.161087","127.1402483,35.8429379"
"127.1644202,36.7736248","127.0486759,37.2940235","127.0158393,35.9677006","127.0158393,35.9677006","126.7914894,35.1609132","127.1415333,35.8433231"
"127.1646376,36.7731098","127.0487987,37.2944304","127.0166794,35.968162","127.0166794,35.968162","126.7908403,35.1608039","127.1416085,35.8433459"
"127.1647372,36.772891","127.0488542,37.2945902","127.0169403,35.9682974","127.0169403,35.9682974","126.7899015,35.1606848","127.1416528,35.8433577"
"127.164865,36.7726083","127.0488763,37.2946651","127.0170885,35.9683755","127.0170885,35.9683755","126.7899004,35.1606848","127.1416992,35.8433705"
"127.164882,36.7725714","127.0489006,37.294749","127.0171471,35.9684064","127.0171471,35.9684064","126.7896083,35.1606921","127.1418386,35.8434106"
"127.1649397,36.7724373","127.0490244,37.2951759","127.0172455,35.9684573","127.0172455,35.9684573","126.7893186,35.160666","127.1427742,35.8436802"
"127.1649488,36.7724148","127.0490466,37.2952526","127.0172786,35.9684746","127.0172786,35.9684746","126.7889741,35.1606351","127.1428538,35.8437039"
"127.1652976,36.7715674","127.0488196,37.2952887","127.0185164,35.9691972","127.0185164,35.9691972","126.7886988,35.1606083","127.1430175,35.8437495"
"127.1654296,36.7711009","127.04871,37.2953036","127.0186678,35.9692898","127.0186678,35.9692898","126.7885035,35.1605882","127.1432353,35.8438123"
"127.1654885,36.7707017","127.0483453,37.2953517","127.0187683,35.9693524","127.0187683,35.9693524","126.787955,35.1605282","127.1437274,35.8439653"
"127.165652,36.7691804","127.048238,37.2953667","127.0193707,35.9696956","127.0193707,35.9696956","126.7847402,35.1601431","127.1438126,35.8439899"
"127.16568,36.7689218","127.0479704,37.2954035","127.0194172,35.9697138","127.0194172,35.9697138","126.7830939,35.1599422","127.1438955,35.8440199"
"127.1657113,36.7686902","127.0479332,37.2954079","127.0197591,35.9698477","127.0197591,35.9698477","126.7827374,35.1598987","127.1442096,35.8441145"
"127.1657298,36.7685496","127.0474261,37.2954771","127.019852,35.9698833","127.019852,35.9698833","126.7827231,35.1598968","127.1443732,35.8441655"
"127.1657779,36.7683046","127.0468279,37.2957155","127.020625,35.970082","127.020625,35.970082","126.7824896,35.1598638","127.1454227,35.8444815"
"127.1658031,36.7681793","127.045828,37.2959361","127.0206782,35.970093","127.0206782,35.970093","126.7822996,35.1598609","127.1456959,35.8445634"
"127.1658226,36.7680811","127.0456991,37.2959816","127.020896,35.9702003","127.020896,35.9702003","126.7820317,35.1598602","127.1458341,35.8446035"
"127.165884,36.7678731","127.0455701,37.2960406","127.0210754,35.9702452","127.0210754,35.9702452","126.7818054,35.159876","127.1459049,35.8446245"
