0,1,2,3,4,5,6,7,8,9,10,11,12
"127.1317573,35.8445964","129.3503957,35.5638641","127.9360966,37.3710507","127.9360966,37.3710507","127.9360966,37.3710507","127.9360966,37.3710507","127.9360966,37.3710507","127.9360966,37.3710507","127.9360966,37.3710507","127.9360966,37.3710507","127.9360966,37.3710507","127.9360966,37.3710507","127.9360966,37.3710507"
"127.1320066,35.8445683","129.3504365,35.5638634","127.936161,37.371046","127.936161,37.371046","127.936161,37.371046","127.936161,37.371046","127.936161,37.371046","127.936161,37.371046","127.936161,37.371046","127.936161,37.371046","127.936161,37.371046","127.936161,37.371046","127.936161,37.371046"
"127.1322171,35.8445446","129.3504432,35.5641536","127.9361993,37.3710287","127.9361993,37.3710287","127.9361993,37.3710287","127.9361993,37.3710287","127.9361993,37.3710287","127.9361993,37.3710287","127.9361993,37.3710287","127.9361993,37.3710287","127.9361993,37.3710287","127.9361993,37.3710287","127.9361993,37.3710287"
"127.1324476,35.8445182","129.3504445,35.5642573","127.9362498,37.3709717","127.9362498,37.3709717","127.9362498,37.3709717","127.9362498,37.3709717","127.9362498,37.3709717","127.9362498,37.3709717","127.9362498,37.3709717","127.9362498,37.3709717","127.9362498,37.3709717","127.9362498,37.3709717","127.9362498,37.3709717"
"127.133263,35.844427","129.3504639,35.5651008","127.9363216,37.370894","127.9363216,37.370894","127.9363216,37.370894","127.9363216,37.370894","127.9363216,37.370894","127.9363216,37.370894","127.9363216,37.370894","127.9363216,37.370894","127.9363216,37.370894","127.9363216,37.370894","127.9363216,37.370894"
"127.1335179,35.844398","129.3504598,35.5651603","127.9363748,37.3709244","127.9363748,37.3709244","127.9363748,37.3709244","127.9363748,37.3709244","127.9363748,37.3709244","127.9363748,37.3709244","127.9363748,37.3709244","127.9363748,37.3709244","127.9363748,37.3709244","127.9363748,37.3709244","127.9363748,37.3709244"
"127.1339389,35.8443506","129.350458,35.5651784","127.9366996,37.3710296","127.9366996,37.3710296","127.9366996,37.3710296","127.9366996,37.3710296","127.9366996,37.3710296","127.9366996,37.3710296","127.9366996,37.3710296","127.9366996,37.3710296","127.9366996,37.3710296","127.9366996,37.3710296","127.9366996,37.3710296"
"127.1343643,35.8443032","129.3506257,35.5651785","127.9372053,37.371171","127.9372053,37.371171","127.9372053,37.371171","127.9372053,37.371171","127.9372053,37.371171","127.9372053,37.371171","127.9372053,37.371171","127.9372053,37.371171","127.9372053,37.371171","127.9372053,37.371171","127.9372053,37.371171"
"127.1345593,35.844283","129.3510835,35.565176","127.9372527,37.3713655","127.9372527,37.3713655","127.9372527,37.3713655","127.9372527,37.3713655","127.9372527,37.3713655","127.9372527,37.3713655","127.9372527,37.3713655","127.9372527,37.3713655","127.9372527,37.3713655","127.9372527,37.3713655","127.9372527,37.3713655"
"127.1347454,35.8442602","129.3513826,35.5651822","127.9372701,37.3714385","127.9372701,37.3714385","127.9372701,37.3714385","127.9372701,37.3714385","127.9372701,37.3714385","127.9372701,37.3714385","127.9372701,37.3714385","127.9372701,37.3714385","127.9372701,37.3714385","127.9372701,37.3714385","127.9372701,37.3714385"
"127.1351122,35.8442162","129.3516915,35.5651793","127.9373857,37.3719113","127.9373857,37.3719113","127.9373857,37.3719113","127.9373857,37.3719113","127.9373857,37.3719113","127.9373857,37.3719113","127.9373857,37.3719113","127.9373857,37.3719113","127.9373857,37.3719113","127.9373857,37.3719113","127.9373857,37.3719113"
"127.1358743,35.84415","129.3518879,35.5651799","127.9374355,37.3721184","127.9374355,37.3721184","127.9374355,37.3721184","127.9374355,37.3721184","127.9374355,37.3721184","127.9374355,37.3721184","127.9374355,37.3721184","127.9374355,37.3721184","127.9374355,37.3721184","127.9374355,37.3721184","127.9374355,37.3721184"
"127.1359397,35.8441457","129.3516702,35.5657881","127.9374818,37.3723066","127.9374818,37.3723066","127.9374818,37.3723066","127.9374818,37.3723066","127.9374818,37.3723066","127.9374818,37.3723066","127.9374818,37.3723066","127.9374818,37.3723066","127.9374818,37.3723066","127.9374818,37.3723066","127.9374818,37.3723066"
"127.1359995,35.8441414","129.3515102,35.5661692","127.9375027,37.3724165","127.9375027,37.3724165","127.9375027,37.3724165","127.9375027,37.3724165","127.9375027,37.3724165","127.9375027,37.3724165","127.9375027,37.3724165","127.9375027,37.3724165","127.9375027,37.3724165","127.937607,37.3722873","127.9375027,37.3724165"
"127.136243,35.8441646","129.3513984,35.5664414","127.937519,37.3724895","127.937519,37.3724895","127.937519,37.3724895","127.937519,37.3724895","127.937519,37.3724895","127.937519,37.3724895","127.937519,37.3724895","127.937519,37.3724895","127.937519,37.3724895","127.937949,37.3722409","127.937519,37.3724895"
"127.1364167,35.844212","129.3513702,35.5665103","127.9376244,37.3729389","127.9376244,37.3729389","127.9376244,37.3729389","127.9376244,37.3729389","127.9376244,37.3729389","127.9376244,37.3729389","127.9376244,37.3729389","127.9376244,37.3729389","127.9376244,37.3729389","127.9381363,37.3722159","127.9376244,37.3729389"
"127.1364808,35.8442294","129.3512749,35.5667327","127.9377112,37.3733063","127.9377112,37.3733063","127.9377112,37.3733063","127.9377112,37.3733063","127.9377112,37.3733063","127.9377112,37.3733063","127.9377112,37.3733063","127.9377112,37.3733063","127.9377112,37.3733063","127.9383315,37.3721881","127.9377112,37.3733063"
"127.1366168,35.8442703","129.3512195,35.5668688","127.9377956,37.3736449","127.9377956,37.3736449","127.9377956,37.3736449","127.9377956,37.3736449","127.9377956,37.3736449","127.9377956,37.3736449","127.9377956,37.3736449","127.9377956,37.3736449","127.9377956,37.3736449","127.9386893,37.3721372","127.9377956,37.3736449"
"127.1369552,35.8443705","129.351176,35.5669911","127.9378189,37.3737701","127.9378189,37.3737701","127.9378189,37.3737701","127.9378189,37.3737701","127.9378189,37.3737701","127.9378189,37.3737701","127.9378189,37.3737701","127.9378189,37.3737701","127.9378189,37.3737701","127.9387818,37.3721225","127.9378189,37.3737701"
"127.1370581,35.8444015","129.3511381,35.5671179","127.9378271,37.3738161","127.9378271,37.3738161","127.9378271,37.3738161","127.9378271,37.3738161","127.9378271,37.3738161","127.9378271,37.3738161","127.9378271,37.3738161","127.9378271,37.3738161","127.9378271,37.3738161","127.9392817,37.3720413","127.9378271,37.3738161"
"127.1376353,35.844571","129.3510951,35.5673106","127.9378411,37.3738836","127.9378411,37.3738836","127.9378411,37.3738836","127.9378411,37.3738836","127.9378411,37.3738836","127.9378411,37.3738836","127.9378411,37.3738836","127.9378411,37.3738836","127.9378411,37.3738836","127.9393652,37.3720283","127.9378411,37.3738836"
