0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
"126.8668344,37.4993981","128.615785,34.8832384","127.5167741,34.9335197","126.9041461,37.4487466","126.7915509,37.5045328","127.688205,34.9378739","126.7915509,37.5045328","127.1335882,37.5206487","126.8087919,37.3207272","127.050747,37.5566277","128.6537536,35.2410011","126.7956248,37.4966163","127.077323,37.5163262","127.0506364,37.574291","126.7915509,37.5045328","127.077323,37.5163262","127.0979361,37.4857267","127.1361734,37.5994854","127.050747,37.5566277","127.074108,37.630895","127.0805357,37.6313967","127.077323,37.5163262","127.0533106,37.6785682","127.077323,37.5163262","127.0542625,37.5824746","127.077323,37.5163262","127.0533106,37.6785682","128.582149,35.851975"
"126.8672076,37.4995461","128.615637,34.8832993","127.5169382,34.9330995","126.9043942,37.4488182","126.7903693,37.5043346","127.6882696,34.9378738","126.7903693,37.5043346","127.1338467,37.5207964","126.8087807,37.3205893","127.0506977,37.55655","128.6535744,35.241075","126.7955614,37.4963744","127.0773494,37.5164741","127.0509683,37.5741003","126.7903693,37.5043346","127.0773494,37.5164741","127.0983621,37.4860102","127.1361342,37.5996196","127.0506977,37.55655","127.0739537,37.630926","127.0810265,37.6313885","127.0773494,37.5164741","127.0535398,37.6785321","127.0773494,37.5164741","127.0544657,37.5822094","127.0773494,37.5164741","127.0535398,37.6785321","128.5822689,35.8521605"
"126.8672742,37.4995663","128.6154746,34.8833413","127.5169831,34.932975","126.9047786,37.448967","126.790279,37.5043179","127.6886408,34.9378714","126.790279,37.5043179","127.1339223,37.5208399","126.8086359,37.3205082","127.0506032,37.5564415","128.6529043,35.2413266","126.7954989,37.4960414","127.0773892,37.5166284","127.0513194,37.5739006","126.790279,37.5043179","127.0773892,37.5166284","127.0987555,37.4862712","127.1360708,37.5998456","127.0506032,37.5564415","127.0739254,37.6309295","127.0811171,37.6313897","127.0773892,37.5166284","127.0536386,37.6785154","127.0773892,37.5166284","127.0545558,37.5820926","127.0773892,37.5166284","127.0536386,37.6785154","128.5823991,35.8523658"
"126.8673984,37.499594","128.6153653,34.883355","127.5170236,34.9328695","126.9049116,37.4490164","126.7899446,37.5042618","127.6890996,34.9378635","126.7899446,37.5042618","127.1340849,37.5209161","126.8084864,37.3204433","127.0502122,37.5561389","128.6527414,35.2413868","126.7955368,37.4951412","127.0777553,37.5167306","127.0514171,37.5738442","126.7899446,37.5042618","127.0777553,37.5167306","127.0990981,37.4864995","127.1360489,37.5999248","127.0502122,37.5561389","127.0738743,37.630941","127.0816962,37.631399","127.0777553,37.5167306","127.0537589,37.6784996","127.0777553,37.5167306","127.0546631,37.5819533","127.0777553,37.5167306","127.0537589,37.6784996","128.5825601,35.8524013"
"126.8675023,37.4996135","128.6152624,34.8833523","127.5167214,34.9327956","126.9052745,37.4493012","126.7897774,37.5042337","127.6890853,34.9387653","126.7897774,37.5042337","127.1342262,37.5209454","126.8083771,37.3204138","127.0501018,37.5560538","128.652654,35.2414219","126.7955522,37.4949475","127.0787983,37.5167903","127.0515603,37.57376","126.7897774,37.5042337","127.0787983,37.5167903","127.099361,37.4866365","127.1359003,37.6004264","127.0501018,37.5560538","127.0738266,37.6309553","127.0818344,37.6314049","127.0787983,37.5167903","127.0541777,37.6784435","127.0787983,37.5167903","127.0547624,37.5818248","127.0787983,37.5167903","127.0541777,37.6784435","128.5828922,35.8524705"
"126.8677329,37.4996436","128.615166,34.8833415","127.5166776,34.9327848","126.9053721,37.4493946","126.7896498,37.5042113","127.6891108,34.9393848","126.7896498,37.5042113","127.1343653,37.5209602","126.8082632,37.3204105","127.0499504,37.5559901","128.6519139,35.2417048","126.7955805,37.4945826","127.0789918,37.5167973","127.0519831,37.5735074","126.7896498,37.5042113","127.0789918,37.5167973","127.0996161,37.4867383","127.1358969,37.6004454","127.0499504,37.5559901","127.0735996,37.6310248","127.0821607,37.631434","127.0789918,37.5167973","127.0545069,37.678397","127.0789918,37.5167973","127.054791,37.5817852","127.0789918,37.5167973","127.0545069,37.678397","128.5829999,35.8524911"
"126.8677691,37.4996456","128.6151616,34.8833415","127.5165166,34.9327451","126.9054136,37.4494389","126.7893765,37.5041628","127.689112,34.9394163","126.7893765,37.5041628","127.1346867,37.5209666","126.8082304,37.3204121","127.0498849,37.5559709","128.6518571,35.2417261","126.7955737,37.4943446","127.0807068,37.5166718","127.0521593,37.5733936","126.7893765,37.5041628","127.0807068,37.5166718","127.1002496,37.4869342","127.1358852,37.6005192","127.0498849,37.5559709","127.073312,37.6311662","127.0826716,37.6314763","127.0807068,37.5166718","127.0550743,37.6783279","127.0807068,37.5166718","127.0549737,37.5815398","127.0807068,37.5166718","127.0550743,37.6783279","128.5831257,35.8525396"
"126.8680236,37.4996469","128.6149871,34.8832998","127.5154906,34.9324774","126.9056385,37.4497339","126.7892839,37.504146","127.6885373,34.9395191","126.7892839,37.504146","127.1355997,37.5205467","126.8081242,37.3204286","127.0498353,37.5559374","128.6517118,35.2417906","126.7955381,37.4941632","127.0810415,37.5167144","127.0522264,37.5733506","126.7892839,37.504146","127.0810415,37.5167144","127.1006121,37.4870409","127.1358618,37.6006634","127.0498353,37.5559374","127.0732483,37.6312128","127.0829526,37.6314891","127.0810415,37.5167144","127.055265,37.6782998","127.0810415,37.5167144","127.055057,37.5814275","127.0810415,37.5167144","127.055265,37.6782998","128.5832195,35.8525991"
"126.8682251,37.4996372","128.6147999,34.8832159","127.5143879,34.9321899","126.9056933,37.4498126","126.7880538,37.5039277","127.6882374,34.9395908","126.7880538,37.5039277","127.1367486,37.5200293","126.8078318,37.320563","127.049814,37.5558994","128.6514573,35.2419039","126.7953132,37.49353","127.0819369,37.5166581","127.0524155,37.5735424","126.7880538,37.5039277","127.0819369,37.5166581","127.100733,37.4870738","127.1358478,37.6007508","127.049814,37.5558994","127.0731868,37.6312667","127.0830489,37.6314912","127.0819369,37.5166581","127.055341,37.6782883","127.0819369,37.5166581","127.0550947,37.5813781","127.0819369,37.5166581","127.055341,37.6782883","128.5832598,35.8526285"
"126.8683689,37.4996154","128.614649,34.8831415","127.5143266,34.9321755","126.9057994,37.450116","126.7877704,37.5038764","127.6880426,34.9396281","126.7877704,37.5038764","127.1381117,37.5194242","126.8054584,37.3216533","127.0498302,37.5558382","128.6513208,35.2419656","126.795196,37.4932499","127.0829249,37.5166408","127.0524627,37.5735949","126.7877704,37.5038764","127.0829249,37.5166408","127.1011949,37.4871997","127.1358443,37.6007751","127.0498302,37.5558382","127.0730874,37.6313997","127.0830846,37.6313904","127.0829249,37.5166408","127.0553378,37.6784479","127.0829249,37.5166408","127.0553138,37.5810923","127.0829249,37.5166408","127.0553378,37.6784479","128.583299,35.8526579"
"126.8685706,37.4995796","128.6144621,34.8830747","127.5142817,34.9321647","126.9058756,37.4506302","126.7874823,37.5038287","127.6876967,34.9396908","126.7874823,37.5038287","127.1385653,37.5192299","126.8051565,37.3217119","127.0498678,37.5557969","128.6512782,35.2419841","126.7951384,37.4931135","127.0836116,37.5166676","127.0528363,37.5739983","126.7874823,37.5038287","127.0836116,37.5166676","127.1014084,37.4872671","127.1358419,37.6007895","127.0498678,37.5557969","127.0728365,37.6318747","127.0831146,37.6313012","127.0836116,37.5166676","127.0553376,37.6784776","127.0836116,37.5166676","127.0554577,37.5808999","127.0836116,37.5166676","127.0553376,37.6784776","128.5833104,35.8526822"
