0,1,2,3,4,5,6,7
"127.5218721,34.9408997","126.7344924,37.4341275","127.1331689,37.5196153","129.3573663,35.5607981","128.5574372,35.8578163","128.5574372,35.8578163","129.3573663,35.5607981","126.9125539,37.5165149"
"127.521904,34.9413461","126.7345436,37.4342098","127.133262,37.5197977","129.3574061,35.5608011","128.5573823,35.857934","128.5573823,35.857934","129.3574061,35.5608011","126.9125389,37.5166951"
"127.5219447,34.9421658","126.7345754,37.4343002","127.1333941,37.5200811","129.3577071,35.5608415","128.5573748,35.8579494","128.5573748,35.8579494","129.3577071,35.5608415","126.9122744,37.516664"
"127.5219579,34.9423254","126.7346413,37.4344899","127.1334902,37.5203392","129.357831,35.5608558","128.5572045,35.8578905","128.5572045,35.8578905","129.357831,35.5608558","126.9122621,37.5166432"
"127.5219678,34.9424994","126.7346588,37.4345495","127.1335738,37.5206018","129.3582867,35.5609083","128.5571878,35.8578852","128.5571878,35.8578852","129.3582867,35.5609083","126.9122708,37.5165441"
"127.5222394,34.9424976","126.7346683,37.4347244","127.1335882,37.5206487","129.35898,35.5610689","128.5570299,35.8578307","128.5570299,35.8578307","129.35898,35.5610689","126.912277,37.5164729"
"127.5224026,34.9424966","126.7346434,37.4348405","127.1338467,37.5207964","129.3591608,35.5611112","128.5565879,35.8576606","128.5565879,35.8576606","129.3591608,35.5611112","126.9123037,37.5163964"
"127.5225526,34.9424975","126.7346002,37.4349746","127.1339223,37.5208399","129.3598241,35.5612659","128.5564321,35.8576033","128.5564321,35.8576033","129.3598241,35.5612659","126.9123896,37.5158209"
"127.5228516,34.9425011","126.7345667,37.4350419","127.1340849,37.5209161","129.3604824,35.5614397","128.556244,35.8575302","128.556244,35.8575302","129.3604824,35.5614397","126.9123944,37.5156452"
"127.5230257,34.9425019","126.7344321,37.4352772","127.1342262,37.5209454","129.3608562,35.5615268","128.5554959,35.8572383","128.5554959,35.8572383","129.3608562,35.5615268","126.9123945,37.5156289"
"127.5234999,34.9425064","126.7343447,37.4354173","127.1343653,37.5209602","129.3610377,35.561551","128.5549527,35.857033","128.5549527,35.857033","129.3610377,35.561551","126.9124035,37.5153505"
"127.524423,34.9425107","126.7342822,37.4356765","127.1346867,37.5209666","129.361263,35.5615629","128.5546967,35.856937","128.5546967,35.856937","129.361263,35.5615629","126.912322,37.5152176"
