index,count,geometry
240,3,"LINESTRING (127.823464 37.3935179, 127.8257798 37.392694)"
241,3,"LINESTRING (127.7811262 37.402392, 127.7827524 37.4027829)"
242,3,"LINESTRING (127.6882717 37.3992016, 127.6904747 37.399153)"
243,3,"LINESTRING (127.8357811 37.3901169, 127.8365399 37.3900255)"
244,3,"LINESTRING (127.6705527 37.400284, 127.6720598 37.4001952)"
245,3,"LINESTRING (127.7374583 37.3969028, 127.7387589 37.3972959)"
246,3,"LINESTRING (127.5244684 37.3772704, 127.5252172 37.3771432)"
247,3,"LINESTRING (127.6402292 37.3968787, 127.6453771 37.3989042)"
248,3,"LINESTRING (127.3557636 37.37437, 127.3568218 37.3744217)"
249,3,"LINESTRING (127.7345642 37.3962912, 127.7359263 37.396539)"
250,3,"LINESTRING (127.7433664 37.3987747, 127.7440269 37.3989617)"
251,3,"LINESTRING (127.5069204 37.3770934, 127.5080839 37.3772772)"
252,3,"LINESTRING (127.4949399 37.3766996, 127.4973536 37.3767141)"
253,3,"LINESTRING (127.5714228 37.3854441, 127.57274 37.3854991)"
254,3,"LINESTRING (127.714018 37.3999257, 127.7151053 37.3996597)"
255,3,"LINESTRING (127.4878308 37.3766765, 127.4895601 37.3766821)"
256,3,"LINESTRING (127.591244 37.3832689, 127.5914631 37.383266)"
257,3,"LINESTRING (127.7827524 37.4027829, 127.7840288 37.4029674)"
258,3,"LINESTRING (127.4429404 37.3794901, 127.4469038 37.3796272)"
259,3,"LINESTRING (127.4774031 37.3775818, 127.4778459 37.3775386)"
260,3,"LINESTRING (127.55937 37.3828809, 127.5610319 37.3833289)"
261,3,"LINESTRING (127.5125467 37.3781304, 127.5128595 37.3781628)"
262,3,"LINESTRING (127.7525498 37.399491, 127.7527215 37.3994852)"
263,3,"LINESTRING (127.4539408 37.3797004, 127.4551065 37.3796414)"
264,3,"LINESTRING (127.6167538 37.3863274, 127.6175065 37.3865736)"
265,3,"LINESTRING (127.3700951 37.3758099, 127.3712468 37.3760284)"
266,3,"LINESTRING (127.753126 37.3994807, 127.7534378 37.3994755)"
267,3,"LINESTRING (127.5924414 37.3832905, 127.5925792 37.3832967)"
268,3,"LINESTRING (127.875306 37.3931511, 127.8756737 37.3930318)"
269,3,"LINESTRING (127.5661807 37.38469, 127.5670744 37.3848823)"
270,3,"LINESTRING (127.87902 37.3916979, 127.8800289 37.3912602)"
271,3,"LINESTRING (127.5682358 37.3851034, 127.5693667 37.3852587)"
272,3,"LINESTRING (127.3306458 37.3747567, 127.3307972 37.3747659)"
273,3,"LINESTRING (127.7319155 37.3961422, 127.7326454 37.396166)"
274,3,"LINESTRING (127.8554176 37.3932711, 127.8578166 37.393866)"
275,3,"LINESTRING (127.8398868 37.3899465, 127.8403139 37.3899624)"
276,3,"LINESTRING (127.5314803 37.3770623, 127.5319005 37.3771073)"
277,3,"LINESTRING (127.4013108 37.3807192, 127.4020892 37.3806631)"
278,3,"LINESTRING (127.6604449 37.4012428, 127.6635568 37.4008518)"
279,3,"LINESTRING (127.6799314 37.3997211, 127.6821037 37.3995781)"
280,3,"LINESTRING (127.6538512 37.4012903, 127.6554807 37.4014107)"
281,3,"LINESTRING (127.8088029 37.3983542, 127.8105214 37.3978233)"
282,3,"LINESTRING (127.3911676 37.3806211, 127.392621 37.3808333)"
283,3,"LINESTRING (127.5252172 37.3771432, 127.5253426 37.3771269)"
