smiles,use_AUTOCORR3D_071,use_AUTOCORR3D_072,use_AUTOCORR3D_073
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)[n]1c[n]c[n]1,0.373,0.453,0.525
CCOc1cc(ccc1[N+]([O-])=O)Oc1ccc(cc1Cl)C(F)(F)F,0.288,0.417,0.491
C/C(/C=C/CC(C)CCCC(C)C)=C\C(=O)OCC#C,0.28,0.345,0.437
COC(=O)c1cc(ccc1[N+]([O-])=O)Oc1ccc(Cl)cc1Cl,0.335,0.487,0.564
CC(C)[n]1[n]c([n]c1Cl)OP(=S)(OCC)OCC,0.418,0.593,0.731
CCC=CC(C)C,0.713,0.69,0.685
Cc1[n]c(NCC)[n]c(OS(=O)(=O)N(C)C)c1CCCC,0.326,0.466,0.555
Clc1cc(Cl)ccc1-c1cc(Cl)ccc1Cl,0.565,0.8,0.878
CC1=NN=C(C(=O)N1N)c1ccccc1,0.479,0.667,0.655
Brc1cc(Br)ccc1Oc1ccc(Br)cc1,0.554,0.716,0.686
CCCSP(=O)(Oc1ccc(Br)cc1Cl)OCC,0.467,0.646,0.792
C/C(/C=C/CC(C)CCCC(C)(C)OC)=C\C(=O)OC(C)C,0.277,0.344,0.416
CC(C)(C)C1=NN(C(=O)O1)c1cc(OCC#C)c(Cl)cc1Cl,0.356,0.497,0.617
Clc1cc2Oc3c(Oc2cc1)c(Cl)c(Cl)c(Cl)c3Cl,0.505,0.825,0.876
Clc1cc(Cl)c(Cl)c2Oc3ccccc3Oc12,0.528,0.798,0.854
Clc1cc2Oc3ccccc3Oc2cc1,0.546,0.711,0.677
Clc1cc2Oc3c(Oc2cc1Cl)c(Cl)c(Cl)c(Cl)c3Cl,0.492,0.829,0.851
CC(C)(C)C(CSC)=NOC(=O)NC,0.446,0.575,0.692
Brc1cc2Oc3ccc(Br)cc3Oc2cc1,0.567,0.751,0.734
Clc1cc2Oc3cc(Cl)ccc3Oc2cc1,0.538,0.711,0.691
Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,0.565,0.894,0.854
Clc1cc(ccc1Cl)-c1ccccc1Cl,0.577,0.828,0.763
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,0.538,0.914,0.876
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1Cl,0.538,0.867,0.938
Clc1cc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)cc1,0.552,0.867,0.87
COP(=S)(Oc1cc([n]c(CC)[n]1)OCC)OC,0.393,0.552,0.634
Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c1ccccc1,0.349,0.482,0.528
FC(F)(F)/N=C1\C(=N\C(F)(F)F)\S/C(=N\c2ccccc2)/N\1c1ccccc1,0.255,0.33,0.488
Clc1cc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)cc1,0.552,0.827,0.87
Clc1cc(-c2ccccc2Cl)c(Cl)cc1,0.576,0.812,0.854
FCOC(F)(F)C(F)F,0.509,0.578,0.372
CCCCCCCCCCCCCCCCO,0.279,0.351,0.408
Clc1cccc2Oc3c(Oc12)c(Cl)c(Cl)c(Cl)c3Cl,0.505,0.845,0.909
Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,0.576,0.812,1.064
COP(=O)(OC)SCN1c2[n]cc(Cl)cc2OC1=O,0.444,0.589,0.573
C=CCOC(C[n]1c[n]cc1)c1ccc(Cl)cc1Cl,0.382,0.504,0.616
O=C(Nc1ccc(Cl)cc1)NC(=O)c1c(F)cccc1F,0.331,0.445,0.477
CC(C)(C)C(=O)N(Cc1ccccc1)C(C)C,0.423,0.527,0.622
Clc1c(ccc(Cl)c1Cl)-c1cc(Cl)c(Cl)c(Cl)c1Cl,0.524,0.913,0.916
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1Cl,0.538,0.878,0.876
Clc1cc(Cl)c(Cl)cc1-c1cc(Cl)c(Cl)cc1Cl,0.538,0.842,0.876
Clc1ccc(cc1)-c1ccccc1Cl,0.586,0.776,0.738
C/C(=N\OC(=O)NC)/C(C)S(C)(=O)=O,0.472,0.593,0.564
CC(=NOC(=O)NC)C(C)SC,0.485,0.64,0.532
CCN(CC)C(=O)SCc1ccccc1Cl,0.447,0.653,0.644
CNC(=O)N(C)c1[n][n]c([s]1)C(C)(C)C,0.526,0.672,0.695
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,0.537,0.819,1.164
Clc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1,0.528,0.748,0.698
CCNc1[n]c(NC(C)(C)C)[n]c([n]1)OC,0.404,0.482,0.652
Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,0.565,0.907,0.937
Clc1cc(Cl)c(cc1)-c1ccccc1,0.585,0.775,0.844
CCCN(CCCl)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,0.282,0.446,0.652
FC(F)OCC(F)F,0.476,0.437,0.42
Clc1ccc(cc1Cl)-c1cc(Cl)c(Cl)cc1,0.565,0.826,0.694
Clc1cc(-c2cc(Cl)c(Cl)cc2)c(Cl)cc1,0.565,0.814,0.775
Clc1cc(Cl)c(cc1)-c1cc(Cl)c(Cl)cc1,0.565,0.814,0.798
CCC=CBr,0.945,1.025,0.812
Clc1ccc(cc1Cl)-c1cc(Cl)c(Cl)cc1Cl,0.552,0.839,0.8
