smiles,use_AUTOCORR3D_071,use_AUTOCORR3D_072,use_AUTOCORR3D_073
CC(c1ccccc1)c1ccccc1,0.51,0.641,0.667
Nc1cccc2[n]cccc21,0.686,0.867,0.692
Cc1ccccc1C=C,0.747,0.917,0.608
Cc1ccccc1CC,0.749,0.919,0.59
CC(=O)Oc1ccccc1[N+]([O-])=O,0.474,0.607,0.711
CC(C)C(CC)CC,0.727,0.98,0.776
Clc1c(Cl)c(Cl)cc(Cl)c1Cl,0.921,1.532,1.253
CN1C(=O)NC=CC1=O,0.728,0.892,0.398
CC(C)C(O)C(C)C,0.784,0.89,0.63
CCC(C)[N+]([O-])=O,0.726,0.827,0.367
CCOC(=O)C(C)(C)Br,0.867,0.838,0.69
FC(Cl)=C(F)Cl,1.06,1.054,0
CC(Cl)C(Cl)Cl,1.489,1.429,0
CC1CCC1,0.952,0.331,0
COC(C)C,0.908,0.67,0
CC(=O)CBr,1.131,1.044,0
CC[As](Cl)Cl,1.894,0.906,0
CCCS(=O)(=O)CCC,0.74,0.817,0.794
CC[C@@](C)(O)CCC,0.769,0.822,0.655
CC(C)(C)C(C)(C)C,1.079,1.071,0
CC(Cl)(Cl)[N+]([O-])=O,1.295,0.976,0
CC(C)(C)[N+]([O-])=O,0.954,0.762,0
CC(C)C(C)(C)O,1.023,0.908,0
CC(=C)C(C)(C)C,1.073,0.952,0
ClSC(Cl)(Cl)Cl,2.396,1.36,0
CC(Cl)Br,2.444,0,0
C[Se]C,0.974,0,0
C=CBr,1.491,0,0
CC[As],1.535,0,0
CF,0,0,0
CCCCCCCCCCCCCCCCCC,0.269,0.335,0.381
CCCCCCCCCCCC(C)=O,0.354,0.417,0.479
CCC/C=C/CCC,0.538,0.667,0.69
CCCCOC=O,0.537,0.547,0.473
CC=CCCCC,0.6,0.688,0.678
CCCCCC=C,0.601,0.689,0.664
CCCCCF,0.627,0.618,0.52
CCC=CC=C,0.672,0.637,0.449
CCC=CCC,0.666,0.731,0.639
CCCCC=C,0.674,0.652,0.503
CCCCOC(=O)Cl,0.611,0.63,0.646
CC(C)CCC(C)C,0.722,0.631,0.624
CC=CCCl,0.859,0.877,0.657
CCC=C=C,0.757,0.718,0.468
CC(=O)OCC=C,0.606,0.581,0.597
CCCCC(C)=O,0.679,0.623,0.625
CCCCC(C)C,0.722,0.705,0.698
CC1CCCC=C1,0.952,0.769,0.205
Oc1cc(Cl)cc(Cl)c1,0.916,0.999,1.031
CC1CC(O)CCC1,0.869,0.826,0.441
Cc1c[n]cc(C)c1,0.856,0.808,0.481
CC(C)CC=O,0.811,0.632,0.437
CCCCC(C)(C)C,0.81,0.64,0.682
CC1(O)CCCCC1,0.942,0.774,0.265
CCCC(C)(C)O,0.902,0.642,0.633
C/C=C/Cl,1.012,0.915,0
CCCCOC(=O)CC,0.495,0.606,0.568
CCCCC[C@@H](O)CC,0.543,0.649,0.579
Cc1c[n]c(C)cc1,0.847,0.811,0.303
CC1CCC(C)CC1,0.901,0.856,0.306
CCCC[C@@H](O)CC,0.606,0.694,0.556
CCCCC(C)CC,0.637,0.723,0.611
CC(C)COC(=O)CC(C)C,0.507,0.497,0.613
CCCC(O)CCC,0.607,0.691,0.673
CC(CCC)CCC,0.633,0.781,0.864
CCC(=O)CCC,0.684,0.778,0.632
CCC(C)CCC,0.725,0.865,0.627
CCc1ccc(N)cc1,0.735,0.817,0.479
CC(C)=C1CC=C(C)CC1,0.723,0.828,0.607
[O-][N+](=O)c1cccc(Br)c1,0.745,0.869,0.761
OC(=O)c1cccc(Br)c1,0.76,0.89,0.791
CC(C)C(C)CCC,0.724,0.881,0.681
Cc1ccc(cc1N=C=O)N=C=O,0.476,0.665,0.694
CCC(O)CC,0.79,0.804,0.247
Oc1cc(Cl)ccc1Cl,0.918,1.098,0.597
Cc1ccc[n]c1C,0.846,0.917,0.301
Cc1c[n]ccc1C,0.856,0.921,0.294
CC(CC)C(C)CC,0.728,0.976,0.599
Cc1cc2ccc(C)cc2cc1,0.667,0.822,0.683
Nc1cc2ccccc2[n]c1,0.686,0.811,0.623
CCc1cccc(CC)c1N,0.62,0.894,0.782
CC(C)c1ccccc1C(C)C,0.6,0.806,0.926
Cc1cccc(C)c1O,0.795,0.965,0.477
Oc1cccc(Cl)c1Cl,0.918,1.252,0.598
Cc1cc2ccccc2c(C)c1,0.667,0.868,0.824
Cc1ccc2ccccc2c1C,0.668,0.912,0.748
Cc1cccc2c1cccc2C,0.668,0.913,0.813
Cc1cccc2cccc(C)c12,0.669,0.919,0.866
CC(C)C(=O)C(C)C,0.775,0.884,0.648
CC(C)=C(C)C(C)C,0.81,0.98,0.569
CCC(=O)C(C)C,0.794,0.877,0.403
CCC(C)C(C)=O,0.8,0.908,0.324
CC(C)C(C)CC,0.847,0.964,0.46
CC(C)C(C)=O,0.946,0.824,0
CC(C)=C(C)C,1.002,0.901,0
CC(C)C(C)=C,1.003,0.884,0
CC=C(Cl)Cl,1.49,0.964,0
C=CC(Cl)Cl,1.491,0.998,0
CC(Cl)=CCl,1.335,1.121,0
CC(=C)CCl,1.11,0.927,0
CCC(C)=C,0.999,0.663,0
CC(C)C=C,0.997,0.706,0
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,0.486,0.648,0.792
CC(C)(CC)CC,0.964,0.961,0.173
CN1CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@@H]3C=C[C@@H]4OC(C)=O)ccc5OC(C)=O,0.325,0.521,0.669
CCC(C)(C)C(C)C,0.905,1.077,0.289
CS(=O)(=O)F,1.16,0,0
CC(=C)Cl,1.621,0,0
CC(Br)Br,2.839,0,0
CCCCCC[C@H](C)I,0.732,0.719,0.809
CCCOC,0.704,0.636,0.447
CCCOC(=O)CC(C)C,0.507,0.563,0.707
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,0.352,0.552,0.815
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,0.727,1.14,1.453
CSC#N,1.046,0.552,0
COC(=O)CC(C)C,0.651,0.659,0.671
ClCCN(CCCl)CCCl,0.559,0.776,1.145
CC(C)C1CCC(=C)C=C1,0.722,0.816,0.593
CCC(=O)OC,0.71,0.766,0.292
COC(=O)C(=O)OC,0.584,0.762,0.545
c1c[n]ccc1-c1cc[n]cc1,0.572,0.673,0.678
CN(c1ccccc1)c1ccccc1,0.497,0.623,0.66
Fc1ccc(F)c(F)c1F,0.635,0.77,0.392
COC(=O)C(C)C,0.746,0.815,0.439
CC(C)[C@@]12C[C@@H]1[C@@H](C)C(=O)C2,0.763,0.919,0.564
N#CC(Cl)(Cl)Cl,1.92,0.899,0
CCCCCCCCCCCCCCCC,0.297,0.394,0.469
CCCCCCCCCCCCCC(O)=O,0.304,0.365,0.429
CCCCSCCCC,0.576,0.691,0.743
N#CCCCC#N,0.584,0.591,0.505
CCCCCCCl,0.659,0.745,0.735
CC(C)CCSCCC(C)C,0.559,0.575,0.745
CCCCCCl,0.756,0.785,0.602
CCCCCC(C)O,0.604,0.606,0.61
CC(C)CO[N+]([O-])=O,0.597,0.514,0.568
O=C(Cl)CCC(=O)Cl,0.801,0.675,0.635
ClCOCCl,0.85,0.844,0.761
CCCCI,1.068,1.132,0.939
CC(C)COC=O,0.651,0.525,0.567
ClC1CCCCC1,1.062,0.942,0.293
Clc1cc(Cl)ccc1,1.03,1.059,0.776
Cc1[n]c(C)c[s]1,1.172,0.792,0.234
CCOC(=O)Cl,0.806,0.71,0.596
CCCC(Cl)Cl,1.174,0.83,0.817
CC(C)CCS,0.928,0.85,0.927
ClC=C[As](Cl)Cl,1.485,1.24,1.19
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,0.573,0.894,1.318
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.368,0.508,0.728
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,0.474,0.744,1.1
CNNC,0.741,0.61,0
CCOC,0.736,0.611,0
ClC=CCl,1.188,1.281,0
CCCCl,1.032,0.72,0
BrC=CBr,1.479,1.911,0
Fc1ccc(F)cc1,0.766,0.683,0.218
CC(=O)CCC(=O)OCC,0.489,0.547,0.627
CCCCC(=O)OCC,0.497,0.6,0.664
COCc1ccccc1,0.664,0.681,0.537
CCN(CCCl)CCCl,0.6,0.799,0.928
CCc1cc[n]cc1,0.764,0.793,0.465
C#Cc1ccccc1,0.782,0.814,0.496
Cc1cccc(c1)C(C)C,0.711,0.818,0.707
CCOC(=O)[C@H](C)Cl,0.714,0.801,0.644
Cc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,0.483,0.687,0.71
Cc1ccco1,1.013,0.485,0
O=C(CCl)CCl,0.935,1.134,0.414
CCC(Br)CBr,1.238,1.733,0.49
CN1CSC(=S)N(C)C1,0.978,1.203,0.531
O=C(CCl)c1ccccc1,0.661,0.816,0.697
C=C(c1ccccc1)c1ccccc1,0.508,0.64,0.673
Cc1ccccc1C(C)C,0.712,0.884,0.775
Cc1cc(C)c(O)c(C)c1,0.748,0.941,0.7
Cc1cccc(O)c1C,0.796,0.98,0.457
Cc1c(C)cccc1C,0.819,1.025,0.497
CC(=O)C1C(=O)C=C(C)OC1=O,0.579,0.783,0.784
CCOC(=O)C(Cl)(Cl)Cl,1.022,0.898,0.707
CC(=O)C(Cl)Cl,1.281,1.162,0
CCC(C)S,1.27,0.887,0
CCC(C)I,1.624,1.029,0
CC(C)CS,1.139,1.024,0
CC=C(C)C,1.001,0.683,0
C=C(Br)CBr,1.604,1.599,0
COP(=O)(OC)OC,0.803,0.932,0.453
CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.369,0.55,0.642
[O-][N+](=O)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,0.462,0.784,0.845
CC1(C)[C@H]2C[C@@H](O)[C@@]1(C)CC2,0.932,1.13,0.187
CC(C)(C)Br,2.104,0,0
CC(=O)I,2.067,0,0
CC(=O)Br,1.733,0,0
CCCCCCCCCCCCCCCCC(O)=O,0.257,0.321,0.391
CCCCCCCCCCCF,0.374,0.472,0.548
ClCCSCCCl,0.842,1.049,0.85
C1CSCCS1,1.396,0.844,0
OCCCO,0.678,0.587,0.319
CC(C)=CC(=O)C=C(C)C,0.591,0.583,0.802
CC(C)CC(O)=O,0.756,0.598,0.679
C1CCO1,0.651,0,0
C1CCN1,0.679,0,0
CCCCC(=O)CCCC,0.485,0.604,0.659
O=C1CCCCCCC1,0.687,0.876,0.567
O=C1CCCCCO1,0.736,0.961,0.265
c1ccccc1C#Cc1ccccc1,0.482,0.545,0.52
C1C2CCC1C=C2,1.234,0.269,0
O[C@H]1[C@@H]2OC[C@@H](O2)[C@@H](O)[C@@H]1O,0.713,0.878,0.505
Cc1cc(O)c(C)cc1C,0.748,0.95,0.573
C1CCc2ccccc21,0.88,0.858,0.5
Cc1cc[n]c2ccccc21,0.696,0.884,0.713
CC(C)=CC(=O)Oc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)C(C)CC,0.285,0.423,0.577
NC(=O)C(O)=O,0.804,0.652,0
NC(=O)C(N)=O,0.823,0.672,0
CC1(C)OC2(C)CCC1CC2,0.864,0.931,0.522
CC12CCC(CC1)(O2)C(C)C,0.853,0.859,0.569
CC(C)C(C)(C)C,1.081,0.956,0
O=C=S,1.077,0,0
C=C=C,0.862,0,0
CCCCCCCCF,0.475,0.54,0.566
CCCCCON=O,0.482,0.582,0.55
CCOCOCC,0.512,0.556,0.54
Fc1ccccc1,0.853,0.653,0.146
COCC(F)F,0.612,0.529,0.448
FC(F)CC(F)(F)F,0.583,0.418,0.418
CCCF,0.718,0.37,0
C#CC#C,0.855,0.628,0
C[Si](C)(F)c1ccccc1,0.858,0.925,0.772
[O-][N+](=O)c1ccc(F)cc1O,0.586,0.731,0.615
Fc1c(F)c(F)c(c(F)c1F)C(F)(F)F,0.439,0.647,0.657
FC(C(F)(F)F)C(F)(F)F,0.535,0.548,0.422
CC(=O)CF,0.849,0.43,0
FC(F)(F)C(F)(F)C(Cl)Cl,0.72,0.894,0.558
OCC(F)(F)C(F)(F)F,0.611,0.677,0.239
C1CS1,0,0,0
N#CO,0.654,0,0
FC(F)(F)COC(F)(F)C(F)F,0.422,0.426,0.41
Fc1ccccc1C(F)(F)F,0.58,0.688,0.599
Fc1c(F)c(F)c(F)c(F)c1F,0.541,0.76,0.522
OC(=O)C(F)(F)C(F)(F)C(F)(F)F,0.47,0.652,0.496
OCC(F)(F)C(F)(F)C(F)(F)F,0.499,0.671,0.473
FC(F)(F)C(F)(Cl)Cl,1.015,0.896,0
CCCCCCF,0.569,0.626,0.614
Fc1cc(F)cc(F)c1,0.693,0.679,0.477
Fc1cc(F)ccc1,0.765,0.682,0.314
OCCF,0.649,0.319,0
Fc1ccccc1F,0.767,0.74,0.22
Fc1c(F)c(F)cc(F)c1F,0.584,0.757,0.473
FC(F)=CCl,0.832,0.702,0
CC[Si](F)(CC)CC,1.017,1.134,0.533
FC1(F)C(F)(Cl)C(F)(Cl)C1(F)F,0.743,0.996,0.407
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.325,0.498,0.49
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.438,0.603,0.473
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.365,0.638,0.654
FC(F)C(F)(F)F,0.655,0.487,0
FC(Cl)C(F)(F)Cl,1.027,0.973,0
FC(F)(Cl)Br,1.923,0,0
Cc1cc(F)ccc1,0.819,0.76,0.393
FCc1ccccc1,0.757,0.739,0.39
Fc1c(F)c(F)c(Cl)c(F)c1F,0.597,0.884,0.641
Fc1c(F)c(F)c(Br)c(F)c1F,0.623,0.939,0.693
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.287,0.455,0.468
[O-][N+](=O)C(F)(F)F,0.679,0.554,0
CCCCCCCCCCCCF,0.35,0.429,0.498
CCCCCCCCCC(O)=O,0.397,0.451,0.505
Cc1cc([n]c([n]1)C(C)C)OP(=S)(OCC)OCC,0.385,0.537,0.686
FC(F)(F)COCC(F)(F)F,0.446,0.34,0.399
CN(C)C(=O)Nc1cc(Cl)c(Cl)cc1,0.538,0.729,0.608
CP(=O)(F)OC1CCCCC1,0.634,0.603,0.694
[O-][N+](=O)c1ccc(cc1O)[N+]([O-])=O,0.499,0.674,0.651
C[Si](F)(F)c1ccccc1,0.798,0.877,0.711
CCP(=S)(Oc1cc(Cl)c(Cl)cc1Cl)OCC,0.53,0.772,0.834
Fc1cc(F)c(F)cc1F,0.635,0.736,0.391
CC1NC(=O)N(C(C)CC)C(=O)C=1Br,0.546,0.888,0.863
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.168,0.28,0.347
CCOP(=O)(Oc1ccc(cc1)[N+]([O-])=O)OCC,0.363,0.513,0.603
FC(F)(F)C(Cl)Cl,1.022,0.952,0
CCS(=O)CCSP(=O)(OC)OC,0.6,0.73,0.665
COP(=O)(OC(Br)C(Cl)(Cl)Br)OC,0.802,0.995,0.888
CC(N)Cc1ccccc1,0.646,0.647,0.651
COP(=S)(Oc1cc(Cl)c(Cl)cc1Cl)OC,0.566,0.82,0.811
CCSCSP(=S)(OCC)OCC,0.653,0.814,0.967
C/C(=C\C(=O)OC)/OP(=O)(OC)OC,0.436,0.594,0.651
COP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OC,0.47,0.626,0.624
CCOP(=S)(Oc1c[n]cc[n]1)OCC,0.467,0.621,0.752
ClC1(Cl)C2(Cl)C3C(C(Cl)OC3Cl)C1(Cl)C(Cl)=C2Cl,0.741,1.397,1.396
C1CCCCCCCCC1,0.578,0.75,0.881
C1CCCCCC1,0.857,1.061,0
c1c[n]cc[n]1,0.891,0.515,0
c1[n]cc[s]1,1.352,0,0
c1cco[n]1,1.008,0,0
C1CCS1,0.946,0,0
C1C2CCCCC21,0.977,0.731,0
C1CN2CCN1CC2,1.002,0.687,0
C1CC2CCC1CC2,1.071,0.719,0
c1cccc2Oc3ccccc3Oc21,0.551,0.704,0.651
c1c2ccccc2[n]c2ccccc21,0.577,0.748,0.676
C1c2c3ccccc3ccc2-c2ccccc21,0.519,0.725,0.773
c1cccc2ccc3ccc[n]c3c21,0.58,0.786,0.769
c1[n]c2ccccc2c2ccccc21,0.58,0.787,0.775
c1cccc2c1c1ccccc1c1ccccc12,0.479,0.72,0.888
c1c2c3ccccc3c3ccccc3c2cc2ccccc21,0.402,0.61,0.746
c1ccc2C=Cc3cccc1c32,0.731,0.926,0.806
c1ccc2c3c(cccc31)-c1ccccc1-2,0.567,0.821,0.915
c1ccc2c3c(cccc31)c1cccc3cccc2c31,0.463,0.726,0.906
c1cc2ccc3cccc4c3c2c2c3c4cccc3ccc21,0.444,0.717,0.901
C1C2CCC21,0.923,0,0
NCCCO,0.688,0.61,0.344
CCOc1ccc(N)cc1,0.612,0.704,0.569
CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C,0.524,0.754,0.865
C1CN1,0,0,0
NCCC#N,0.715,0.597,0.323
CN(C)C(=O)Nc1ccc(Cl)cc1,0.535,0.641,0.55
COc1cccc(O)c1,0.697,0.762,0.549
C[Si](Cl)(Cl)c1ccccc1,1.091,1.102,0.998
Oc1cccc2ccc[n]c21,0.679,0.846,0.674
OC(=O)C1C(C2CCC1O2)C(O)=O,0.598,0.666,0.816
OC(=O)C(O)=O,0.78,0.624,0
O=C1C2(Cl)C3(Cl)C4(Cl)C2(Cl)C2(Cl)C(Cl)(C3(Cl)C21Cl)C4(Cl)Cl,0.798,1.675,1.545
CCCCOCCOCCOCCO,0.296,0.377,0.448
CCCCCCCCCCS,0.441,0.545,0.608
CCCCCCCCCO,0.442,0.577,0.639
CCCCCCCCCCCC(O)=O,0.343,0.417,0.484
CCCCCCOC(C)=O,0.456,0.51,0.53
CCCCCCCCCCCCCCCC(=O)OC(C)C,0.241,0.306,0.388
CCCNCCC,0.576,0.637,0.656
C1CCCCO1,0.939,0.531,0
CCCCCC(O)=O,0.569,0.586,0.624
C1CCC=C1,1.196,0,0
CC(=O)CC(=O)OCC,0.54,0.569,0.66
CCc1cc(CC)ccc1,0.654,0.816,0.703
OC(=O)CC(O)=O,0.672,0.521,0.533
CCOC(C)=O,0.683,0.642,0.554
C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC,0.429,0.573,0.604
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.505,0.662,0.928
CC(C)(C)CC(C)(C)S,1.019,0.628,1.19
CCC[Si](Cl)(Cl)Cl,1.786,1.057,1.01
NCCO,0.736,0.397,0
CCOC(=O)CCCCC(=O)OCC,0.337,0.442,0.517
CCOC(=O)/C=C\C(=O)OCC,0.385,0.498,0.557
CCOC(=O)C=C,0.603,0.723,0.623
N#CCc1ccccc1,0.674,0.709,0.578
CC(=O)OCc1ccccc1,0.54,0.556,0.484
c1ccccc1Sc1ccccc1,0.598,0.674,0.6
CC(C)Nc1[n]c(Cl)[n]c(NC(C)C)[n]1,0.443,0.532,0.722
CN(C)C(=S)SSC(=S)N(C)C,0.726,0.979,0.698
Cc1cc(N)c(C)cc1C,0.756,0.969,0.587
CCCCOC(=O)c1ccccc1,0.445,0.545,0.557
c1ccccc1N=NNc1ccccc1,0.421,0.46,0.413
CCC(C)c1ccccc1,0.656,0.803,0.662
O=C(c1ccccc1)C(=O)c1ccccc1,0.435,0.566,0.613
Cc1cc(ccc1)C(=O)N(CC)CC,0.468,0.665,0.71
O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,0.675,0.721,0.844
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,0.68,0.718,0.834
c1cccc2oc3ccccc3c21,0.629,0.792,0.74
CCCOC(=O)c1ccccc1C(=O)OCCC,0.327,0.471,0.599
COC(=O)c1ccccc1C(=O)OC,0.447,0.665,0.763
Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,0.465,0.732,0.858
Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,0.533,0.689,0.872
CC1=CCCC(C)(C)C1/C=C/C(C)=O,0.541,0.701,0.709
CC(=O)N(C)C,0.902,0.799,0
ClC(Cl)=C(Cl)Cl,1.654,1.787,0
CC(O)CCl,1.041,0.787,0
C=CC(=C)Cl,1.214,0.777,0
CC(=C)C#N,0.976,0.646,0
O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,0.404,0.589,0.581
FC(F)(Br)C(F)(F)Br,1.116,1.145,0
CC(C)(N)CO,1.103,0.548,0
CCCCCCCCCCCCN,0.356,0.458,0.526
CCCCCCCCC=O,0.441,0.554,0.623
CCCCOCCOCCOC(C)=O,0.314,0.382,0.429
CCCCCCCC=O,0.482,0.589,0.641
CCCCCCCC#N,0.487,0.608,0.66
CCCCCCCCCCCCCC(=O)OC,0.284,0.377,0.429
NCCCCCCN,0.529,0.65,0.681
CCCCCCCC(O)=O,0.467,0.523,0.591
OC(=O)CCCCC(O)=O,0.483,0.473,0.481
C=CCNCC=C,0.572,0.611,0.642
OC(=O)CCCCCCCC(O)=O,0.375,0.431,0.513
CC(C)CCOC(C)=O,0.568,0.518,0.538
C1COCCO1,0.87,0.513,0
NC(=O)N=NC(N)=O,0.563,0.468,0.428
C1CCCN1,1.164,0,0
CCCC=O,0.715,0.563,0.281
CC1OC(C)OC(C)O1,0.686,0.784,0.68
CCC(=O)OC(=O)CC,0.53,0.647,0.634
CC(=O)CC(C)=O,0.751,0.561,0.626
CC(C)CCO,0.815,0.687,0.542
CC(=O)CC(C)(C)O,0.824,0.558,0.754
CC(C)=CCCC(=C)C=C,0.554,0.613,0.581
CCCC(=O)CCC,0.599,0.693,0.72
COc1ccc(C=O)cc1,0.622,0.761,0.549
CCCCC(CC)C=O,0.549,0.725,0.669
CCCCC(CCl)CC,0.597,0.836,0.825
CCCCCCCCCCCCCc1ccccc1,0.293,0.352,0.37
OCCOc1ccccc1,0.558,0.599,0.56
OCCNc1ccccc1,0.575,0.624,0.552
OCCCc1ccccc1,0.59,0.641,0.544
O=CCc1ccccc1,0.665,0.704,0.565
C(Oc1ccccc1)C1CO1,0.506,0.535,0.536
CCOC(OCC)OCC,0.41,0.6,0.77
CC(C)OC(=O)Nc1ccccc1,0.46,0.512,0.596
c1ccccc1Nc1ccccc1,0.517,0.562,0.549
Cc1cc(ccc1[N+]([O-])=O)OP(=S)(OC)OC,0.451,0.627,0.664
[O-][N+](=O)N1CN(CN(C1)[N+]([O-])=O)[N+]([O-])=O,0.408,0.551,0.58
CCOC(=O)C(CC(=O)OCC)SP(=S)(OC)OC,0.394,0.558,0.662
CN(C)c1ccccc1,0.731,0.788,0.614
CCN(CC)CC,0.675,0.978,0.589
COC(=O)/C(/C)=C/[C@@H]1[C@@H](C(=O)O[C@H]2CC(=O)C(C/C=C\C=C)=C2C)C1(C)C,0.257,0.359,0.438
CC(C)=C[C@@H]1[C@@H](C(=O)O[C@H]2CC(=O)C(C/C=C\C=C)=C2C)C1(C)C,0.297,0.394,0.489
CN1CCCC1,1.099,0.416,0
O=C1CCCC1,1.086,0.414,0
Oc1ccc(Cl)cc1Cl,0.918,1.095,0.704
Oc1ccccc1O,0.812,0.83,0.258
Cc1[n]c2ccccc2[s]1,0.901,0.912,0.654
COC(=O)c1ccc(cc1)C(=O)OC,0.447,0.632,0.632
O=Cc1cc2OCOc2cc1,0.651,0.748,0.591
O=C(OCc1ccccc1)c1ccccc1,0.409,0.479,0.46
c1c2ccccc2cc2ccccc21,0.588,0.768,0.692
[O-][N+](=O)c1ccccc1Nc1ccccc1,0.421,0.535,0.594
C1CCCc2ccccc21,0.766,0.883,0.598
O=C(c1ccccc1)c1ccccc1,0.499,0.619,0.646
COC(=O)c1ccccc1O,0.578,0.764,0.685
CCOP(=S)(OC1C=CC(=O)N(N=1)c1ccccc1)OCC,0.333,0.474,0.592
OC(=O)c1ccccc1Cl,0.722,0.932,0.763
Cc1ccccc1C(O)=O,0.673,0.836,0.672
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0.2,0.288,0.361
CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,0.213,0.32,0.401
O=C1c2ccccc2C(=O)C(Cl)=C1Cl,0.627,1.003,0.962
[O-][N+](=O)c1c(Cl)c(Cl)cc(Cl)c1Cl,0.688,1.126,1.174
Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,0.462,0.727,0.851
COC(=O)C(Cl)Cl,0.982,1.032,0.61
FC(F)=C(F)C(F)(F)F,0.548,0.581,0.364
FC(F)=C(F)F,0.632,0.477,0
CNC(=O)ON=CC(C)(C)SC,0.542,0.576,0.49
CC(C)=CCCC(C)(C=C)OC(C)=O,0.435,0.534,0.661
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,0.309,0.394,0.504
CCCCC(CO)(CO)CC,0.54,0.805,0.704
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,0.494,0.687,0.815
CN(C)P(=O)(F)N(C)C,0.879,0.971,0.482
FC1(F)C(F)(F)C(F)(F)C1(F)F,0.585,0.707,0.277
CC(=O)C(C)(C)O,0.978,0.827,0
CC(C)(O)C#C,1.087,0.658,0
O=CC(Br)(Br)Br,2.622,0.953,0
CC(C)=C,1.251,0,0
CNC(=O)Oc1ccccc1OC(C)C,0.4,0.514,0.634
CCC(CN1C(=O)C2C(C3CC2C=C3)C1=O)CCCC,0.399,0.502,0.57
CCCCCCCCCCCCCCCCCCO,0.251,0.332,0.402
CCCCCCCCCCCCCCCCCCBr,0.266,0.339,0.41
CCCCCCCCCCCCCCCCBr,0.297,0.376,0.433
CCCCCCCC/C=C\CCCCCCCC(O)=O,0.244,0.313,0.377
CCCCOCCOCCOCCCC,0.285,0.358,0.414
CCCCCCCCCCCCCCBr,0.337,0.407,0.46
CCCCCCCCCCCCCO,0.331,0.429,0.496
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,0.232,0.292,0.325
CCCCCCCCCCCCCCCCCC(=O)OC,0.234,0.291,0.322
OCCOCCOCCOCCO,0.307,0.381,0.439
CCCCCCOCCOCCO,0.325,0.418,0.485
NCCNCCNCCNCCN,0.331,0.417,0.478
CCCCCCCCCCCCS,0.375,0.488,0.577
CCCCCCCCCCCC=O,0.354,0.429,0.481
CCCCCCCCCCCCCl,0.375,0.457,0.507
CCCCCSSCCCCC,0.474,0.593,0.672
CCOCCOCCOCCO,0.331,0.417,0.463
CCCCOCCOCCCC,0.354,0.444,0.502
CCCCCCCCCCCO,0.38,0.46,0.509
CCCCCCCCCCC=C,0.384,0.504,0.581
CCCCCCCCCCCCCCCC(=O)OC,0.257,0.328,0.372
C=CCCCCCCCCC(O)=O,0.367,0.441,0.509
CCCCOCCOCCO,0.369,0.443,0.482
CCCCCCCCCC=O,0.408,0.511,0.584
CCCCCCCCCCO,0.409,0.535,0.589
OCCOCCOCCO,0.387,0.475,0.541
ClCCOCCOCCCl,0.457,0.514,0.574
CCCCCCOCCO,0.419,0.514,0.577
CCCCCCCCCN,0.447,0.553,0.595
CCOCCOCCOC(C)=O,0.354,0.431,0.477
