0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"127.127337,37.5217829","127.1443033,37.558414","128.5629655,35.8559644","126.7638759,37.5137475","126.8905588,37.5460794","127.0134744,37.2979078","127.3443857,36.3624347","127.1651267,36.7840812","128.5890529,35.8799251","128.7363678,35.8089479","127.0111688,37.5054818","129.3504598,35.5651603","127.03997,37.2866724","126.9477599,37.4051737","126.7047855,37.4316302","126.7190186,37.5437102","126.9477599,37.4051737","127.1308342,37.5178152","127.0125822,37.5677125","127.2096285,37.5455186","127.0125822,37.5677125","127.3655568,36.3219731","127.1335179,35.844398","126.7190186,37.5437102","127.4235493,36.356181","128.5588246,35.8559577"
"127.1273997,37.521683","127.144097,37.5587027","128.562675,35.8558579","126.7638595,37.5138015","126.8905393,37.5461028","127.0133688,37.2980128","127.3443143,36.3624301","127.1651529,36.7839704","128.5891443,35.8802082","128.736327,35.8089591","127.0110614,37.5054777","129.350458,35.5651784","127.0400902,37.286754","126.9477442,37.4050095","126.7051926,37.4315049","126.719774,37.5436746","126.9477442,37.4050095","127.1311835,37.5176631","127.0125569,37.5677638","127.2102159,37.5461401","127.0125569,37.5677638","127.3655599,36.3221101","127.1339389,35.8443506","126.719774,37.5436746","127.4235162,36.3570176","128.5585191,35.8563102"
"127.1279121,37.5210582","127.1439865,37.5588502","128.5623846,35.855754","126.7638437,37.5139132","126.8903943,37.5462552","127.0126489,37.2987247","127.3442865,36.3624283","127.1651654,36.7839263","128.5892232,35.8804654","128.7363028,35.8089657","127.0109596,37.5054737","129.3506257,35.5651785","127.0404664,37.2870322","126.9477375,37.4049924","126.7055494,37.4314298","126.7200367,37.5436665","126.9477375,37.4049924","127.1314726,37.5175378","127.0125043,37.5678474","127.2105665,37.5465115","127.0125043,37.5678474","127.3655665,36.3221813","127.1343643,35.8443032","126.7200367,37.5436665","127.4235116,36.3571231","128.5584624,35.8563729"
"127.1279554,37.5209961","127.143713,37.5592099","128.5621364,35.8556661","126.7643318,37.5138702","126.8900614,37.546825","127.0125206,37.2988485","127.3442341,36.3624291","127.165326,36.7833489","128.5892567,35.8805651","128.7362455,35.8089807","127.0109007,37.505478","129.3510835,35.565176","127.0415994,37.2879056","126.9476611,37.4047883","126.7055993,37.4314194","126.720125,37.5436625","126.9476611,37.4047883","127.1315384,37.5175092","127.0124468,37.5679715","127.2107086,37.5466605","127.0124468,37.5679715","127.3655865,36.32224","127.1345593,35.844283","126.720125,37.5436625","127.4235093,36.3572024","128.5584046,35.8564401"
"127.1280614,37.5208414","127.1436675,37.5592539","128.5619941,35.8556204","126.7643181,37.5144659","126.8898989,37.5470413","127.0121697,37.2991878","127.3441516,36.3624335","127.1653318,36.7832858","128.5893853,35.8809814","128.735755,35.8091156","127.0107839,37.5055199","129.3513826,35.5651822","127.0418083,37.2880731","126.9476555,37.4047739","126.7063546,37.4312874","126.72021,37.5436577","126.9476555,37.4047739","127.1317573,37.5174134","127.0124307,37.5680138","127.2108145,37.5467762","127.0124307,37.5680138","127.3656142,36.3222968","127.1347454,35.8442602","126.72021,37.5436577","127.4235001,36.3575513","128.5581551,35.8567497"
"127.1279121,37.5210582","127.1435379,37.5593788","128.5618617,35.8555747","126.7643055,37.5149364","126.8896865,37.5472665","127.0120403,37.2993108","127.3439855,36.3624549","127.1653658,36.7829478","128.5894143,35.8810722","128.7325634,35.8099282","127.0107305,37.5055521","129.3516915,35.5651793","127.0419688,37.2882017","126.9475086,37.4046326","126.7065063,37.431265","126.7207989,37.5436327","126.9475086,37.4046326","127.1318629,37.5175616","127.0124192,37.5680453","127.2108495,37.5468141","127.0124192,37.5680453","127.3656698,36.3223699","127.1351122,35.8442162","126.7207989,37.5436327","127.4235001,36.3575585","128.5580614,35.8568641"
"127.1273997,37.521683","127.1433662,37.5595216","128.561634,35.8555281","126.7643066,37.5150526","126.8894125,37.5474138","127.0120165,37.2993341","127.3411333,36.3634474","127.1653813,36.7827486","128.5896169,35.8817086","128.7324973,35.8099451","127.0106826,37.5056069","129.3518879,35.5651799","127.0421327,37.2883358","126.9473029,37.4044829","126.7067825,37.431229","126.7212949,37.5436162","126.9473029,37.4044829","127.1325244,37.5185948","127.0123914,37.5681354","127.2113061,37.5472974","127.0123914,37.5681354","127.365759,36.3223492","127.1358743,35.84415","126.7212949,37.5436162","127.4234977,36.3576423","128.5579993,35.8569413"
"127.127337,37.5217829","127.1429799,37.559808","128.5613742,35.8554754","126.7643073,37.5150986","126.8891994,37.5475749","127.0118995,37.2994445","127.3409638,36.363467","127.1653862,36.7823764","128.5896226,35.8817257","128.730977,35.8103375","127.0106346,37.5056941","129.3516702,35.5657881","127.0429096,37.2889698","126.9473386,37.4040882","126.7070357,37.4312181","126.7220945,37.5435719","126.9473386,37.4040882","127.1330196,37.5193679","127.0123529,37.5683074","127.2113647,37.5473598","127.0123529,37.5683074","127.365847,36.322352","127.1359397,35.8441457","126.7220945,37.5435719","127.4234773,36.3580597","128.5579373,35.8570248"
"127.1272741,37.5219242","127.1425936,37.5600953","128.5607456,35.8553484","126.7641715,37.5150987","126.8889253,37.5477376","127.0106791,37.3005968","127.3409159,36.3634687","127.1653864,36.7823331","128.5896702,35.8818831","128.7308933,35.8103591","127.0106128,37.5057346","129.3515102,35.5661692","127.043014,37.289054","126.9473035,37.4040854","126.7074605,37.431239","126.7220968,37.5435719","126.9473035,37.4040854","127.1330309,37.5193859","127.0123192,37.5684523","127.2116455,37.5476507","127.0123192,37.5684523","127.3660352,36.3223892","127.1359995,35.8441414","126.7220968,37.5435719","127.4234727,36.3581481","128.5576245,35.857491"
"127.1272119,37.5221331","127.1420508,37.5604154","128.5605869,35.8553164","126.7633795,37.5150955","126.8883897,37.5480277","127.0105158,37.3007305","127.3408835,36.3634804","127.1653785,36.7820933","128.5897109,35.8820224","128.7303498,35.8104999","127.0105635,37.5058263","129.3513984,35.5664414","127.0434518,37.2894081","126.9472799,37.4040799","126.7081094,37.4313352","126.7223165,37.543558","126.9472799,37.4040799","127.1331431,37.5195648","127.0129309,37.5685865","127.2120444,37.5481141","127.0129309,37.5685865","127.3660931,36.3224001","127.136243,35.8441646","126.7223165,37.543558","127.4234511,36.3586592","128.5574621,35.8577728"
"127.1272122,37.5222998","127.1406228,37.5611736","128.5602901,35.8552361","126.7632347,37.5150928","126.8878221,37.5483673","127.0102437,37.3009339","127.3403737,36.3636681","127.1653746,36.7819553","128.5897306,35.8820881","128.7297121,35.8107075","127.0104445,37.5060439","129.3513702,35.5665103","127.0438201,37.289698","126.9472539,37.4040698","126.7082527,37.4313605","126.7224592,37.543549","126.9472539,37.4040698","127.1331689,37.5196153","127.0130372,37.5686103","127.2122947,37.5483995","127.0130372,37.5686103","127.3661143,36.3224037","127.1364167,35.844212","126.7224592,37.543549","127.4234499,36.3587413","128.5574372,35.8578163"
"127.1272183,37.5224468","127.1396385,37.5617069","128.5599558,35.8551633","126.7624224,37.515076","126.8870493,37.5488662","127.0101575,37.3009985","127.3402488,36.363713","127.1653726,36.7819121","128.5897632,35.8821996","128.729468,35.81081","127.0103471,37.506222","129.3512749,35.5667327","127.0439594,37.2898058","126.9472247,37.4040508","126.7083066,37.4311815","126.7226994,37.5435326","126.9472247,37.4040508","127.133262,37.5197977","127.0132721,37.5687104","127.2124367,37.5485504","127.0132721,37.5687104","127.366347,36.3224788","127.1364808,35.8442294","126.7226994,37.5435326","127.4239492,36.3587578","128.5573823,35.857934"
"127.1272243,37.5225991","127.1389584,37.5621059","128.559808,35.8551304","126.7620592,37.5150684","126.8856661,37.5498037","127.009362,37.3015162","127.339691,36.3639178","127.165365,36.7815965","128.5899243,35.8827165","128.7292651,35.8109284","127.0103448,37.5062274","129.3512195,35.5668688","127.0443894,37.290141","126.9472035,37.4040209","126.7083371,37.4310745","126.7229111,37.5435259","126.9472035,37.4040209","127.1333941,37.5200811","127.0134357,37.5688022","127.2129892,37.5491376","127.0134357,37.5688022","127.3664438,36.3225339","127.1366168,35.8442703","126.7229111,37.5435259","127.4248297,36.3587782","128.5573748,35.8579494"
"127.1272496,37.5227416","127.1383541,37.5625025","128.5597814,35.8551243","126.761636,37.5150675","126.8856547,37.5498117","127.0092408,37.3015905","127.3388399,36.3642232","127.1653618,36.7815469","128.5899869,35.8829233","128.729112,35.8110499","127.010266,37.506337","129.351176,35.5669911","127.0444545,37.2901953","126.9471924,37.4039938","126.7084951,37.4305573","126.7229338,37.5435251","126.9471924,37.4039938","127.1334902,37.5203392","127.0139354,37.5690971","127.2142013,37.5504259","127.0139354,37.5690971","127.3665339,36.3226161","127.1369552,35.8443705","126.7229338,37.5435251","127.425222,36.3587875","128.5572045,35.8578905"
"127.1272619,37.5227723","127.1382859,37.5625491","128.5597525,35.8551182","126.7612332,37.5150659","126.8854999,37.5499164","127.0080898,37.3022906","127.3386425,36.3642897","127.1653237,36.7810339","128.5901371,35.8833745","128.728585,35.8116161","127.0102119,37.5063188","129.3511381,35.5671179","127.0445522,37.2902759","126.9471926,37.4039596","126.708871,37.4293204","126.7230346,37.5435204","126.9471926,37.4039596","127.1335738,37.5206018","127.0141123,37.5692331","127.2143494,37.5504848","127.0141123,37.5692331","127.3666498,36.3226162","127.1370581,35.8444015","126.7230346,37.5435204","127.4253625,36.3587912","128.5571878,35.8578852"
"127.1272999,37.5228662","127.1380394,37.5627197","128.5596122,35.8550573","126.7611404,37.5150698","126.8847366,37.5504992","127.008083,37.3022951","127.3383379,36.3643884","127.1653473,36.7805084","128.5902063,35.8835713","128.727001,35.8132613","127.0100741,37.5062704","129.3510951,35.5673106","127.0445904,37.2903076","126.9472008,37.4039281","126.7090016,37.4289382","126.723722,37.5434925","126.9472008,37.4039281","127.1335882,37.5206487","127.014137,37.5692575","127.2144941,37.5505203","127.014137,37.5692575","127.3667312,36.3225667","127.1376353,35.844571","126.723722,37.5434925","127.4256991,36.3588013","128.5570299,35.8578307"
"127.1273616,37.5229745","127.137238,37.563359","128.5594769,35.8552135","126.7610555,37.5150729","126.8842115,37.5508993","127.006454,37.303278","127.3383034,36.3644001","127.1653285,36.7801892","128.590325,35.8839047","128.7266883,35.8135855","127.0099037,37.506213","129.3510324,35.5677019","127.0446488,37.2903547","126.947227,37.4038993","126.7090388,37.4288357","126.7247119,37.5434413","126.947227,37.4038993","127.1338467,37.5207964","127.0141629,37.5692865","127.2146288,37.5505396","127.0141629,37.5692865","127.367471,36.3225396","127.1376796,35.8445837","126.7247119,37.5434413","127.4269619,36.3588409","128.5565879,35.8576606"
"127.1277029,37.5235317","127.1370786,37.5635514","128.5592489,35.8554707","126.7610806,37.5152867","126.8837871,37.5511576","127.0061765,37.3034454","127.3382253,36.3644252","127.1653118,36.7799043","128.5904697,35.8844417","128.7259367,35.8143748","127.0096836,37.5061273","129.3510098,35.5679195","127.044669,37.290371","126.9472723,37.4038779","126.7091353,37.4285858","126.7249372,37.5434328","126.9472723,37.4038779","127.1339223,37.5208399","127.0141886,37.5693416","127.2146967,37.5505316","127.0141886,37.5693416","127.3675489,36.3225748","127.1380158,35.8446713","126.7249372,37.5434328","127.4270633,36.3588445","128.5564321,35.8576033"
