0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"127.1669546,36.8371233","129.1854995,35.8405161","127.1380864,37.4346083","127.3450249,36.3638284","126.9258494,35.1687578","127.5189865,34.9358161","129.3631999,36.0101824","128.8008987,35.906113","127.3450249,36.3638284","126.7331287,37.4339546","127.1302122,37.5195745","129.3528824,35.5607409","128.5596122,35.8550573","128.5596122,35.8550573","126.7331287,37.4339546","128.5653347,35.8568188","129.3528824,35.5607409","126.9163482,37.514904"
"127.1669011,36.837051","129.1855791,35.8406133","127.1379893,37.43459","127.3448155,36.3626562","126.9259296,35.168751","127.5190017,34.9355177","129.3625491,36.0100159","128.8010473,35.9060546","127.3448155,36.3626562","126.7331933,37.4339442","127.1304948,37.5182468","129.3540552,35.5607436","128.5594769,35.8552135","128.5594769,35.8552135","126.7331933,37.4339442","128.5656696,35.8569339","129.3540552,35.5607436","126.9160594,37.5146556"
"127.1668489,36.8369409","129.1856495,35.8406997","127.1379261,37.4345781","127.3448122,36.3626408","126.9260513,35.1687795","127.5190181,34.9352047","129.3617923,36.0098212","128.8013368,35.9057999","127.3448122,36.3626408","126.7333329,37.433882","127.1305365,37.5180496","129.3540784,35.5607432","128.5592489,35.8554707","128.5592489,35.8554707","126.7333329,37.433882","128.5656818,35.8569383","129.3540784,35.5607432","126.9159739,37.5145831"
"127.1668429,36.8367777","129.1858813,35.8409777","127.1379238,37.4345771","127.3446463,36.3625108","126.9261583,35.1688603","127.5190224,34.9348558","129.361674,36.0097915","128.8013445,35.905661","127.3446463,36.3625108","126.7333828,37.4338697","127.1306117,37.5179497","129.3542492,35.560737","128.5590077,35.8557388","128.5590077,35.8557388","126.7333828,37.4338697","128.5657375,35.8569577","129.3542492,35.560737","126.915962,37.5145163"
"127.1668849,36.8366597","129.1861494,35.8412994","127.1375477,37.4345075","127.3445906,36.36249","126.9263101,35.1689728","127.5190235,34.9347809","129.3613993,36.0097164","128.8013619,35.905366","127.3445906,36.36249","126.7335255,37.4338418","127.1306992,37.5178743","129.3543749,35.5607333","128.5588866,35.8558742","128.5588866,35.8558742","126.7335255,37.4338418","128.5656755,35.857043","129.3543749,35.5607333","126.9159741,37.5144163"
"127.1669571,36.8365481","129.1862257,35.8414516","127.1374009,37.4344746","127.3443857,36.3624347","126.926522,35.1691352","127.5189994,34.9346493","129.3604667,36.0095001","128.8013497,35.9052327","127.3443857,36.3624347","126.7335708,37.4338358","127.1308342,37.5178152","129.3546142,35.5607269","128.5588246,35.8559577","128.5588246,35.8559577","126.7335708,37.4338358","128.5655743,35.8571827","129.3546142,35.5607269","126.9159864,37.5142911"
"127.1670822,36.8364151","129.1866216,35.8413243","127.1367121,37.4343328","127.3443143,36.3624301","126.926557,35.1691615","127.5192709,34.9345897","129.3603038,36.009463","128.8013243,35.9050996","127.3443143,36.3624301","126.7336126,37.4338334","127.1311835,37.5176631","129.3546969,35.5607247","128.5585191,35.8563102","128.5585191,35.8563102","126.7336126,37.4338334","128.565474,35.8573829","129.3546969,35.5607247","126.9159398,37.5141647"
"127.1672195,36.8363064","129.1868503,35.8412508","127.136676,37.4343254","127.3442865,36.3624283","126.9258183,35.1695863","127.5193125,34.9345807","129.3598866,36.0093658","128.8012615,35.9049912","127.3442865,36.3624283","126.733798,37.4338337","127.1314726,37.5175378","129.3549396,35.5607264","128.5584624,35.8563729","128.5584624,35.8563729","126.733798,37.4338337","128.5654624,35.8574253","129.3549396,35.5607264","126.9159365,37.5141575"
"127.1674072,36.8362069","129.1873637,35.8410786","127.1365224,37.4342961","127.3442341,36.3624291","126.925741,35.1696401","127.5196366,34.9345166","129.359399,36.0092498","128.801174,35.9048578","127.3442341,36.3624291","126.7338579,37.4338367","127.1315384,37.5175092","129.3551668,35.560722","128.5584046,35.8564401","128.5584046,35.8564401","126.7338579,37.4338367","128.5654539,35.8574543","129.3551668,35.560722","126.9158373,37.5139659"
"127.1676365,36.8360894","129.1877262,35.8409428","127.1363869,37.434266","127.3441516,36.3624335","126.9256989,35.1696922","127.520149,34.9343831","129.3592941,36.0092244","128.8005678,35.904309","127.3441516,36.3624335","126.7339425,37.4338463","127.1317573,37.5174134","129.3551988,35.5607215","128.5581551,35.8567497","128.5581551,35.8567497","126.7339425,37.4338463","128.5654307,35.8575401","129.3551988,35.5607215","126.9166556,37.5134994"
"127.1689387,36.8355359","129.1881144,35.8407688","127.1360109,37.4341846","127.3439855,36.3624549","126.9256863,35.1697679","127.520529,34.9342189","129.3590498,36.009166","128.8004092,35.9041656","127.3439855,36.3624549","126.7340959,37.4338825","127.1318629,37.5175616","129.3554039,35.5607183","128.5580614,35.8568641","128.5580614,35.8568641","126.7340959,37.4338825","128.565399,35.8576495","129.3554039,35.5607183","126.916692,37.5134789"
"127.1689132,36.8354646","129.188329,35.8406522","127.1357478,37.4341288","127.3411333,36.3634474","126.9256992,35.1698166","127.5209406,34.9340844","129.3588601,36.0091212","128.8003176,35.904053","127.3411333,36.3634474","126.7341916,37.4339218","127.1325244,37.5185948","129.3556302,35.5607212","128.5579993,35.8569413","128.5579993,35.8569413","126.7341916,37.4339218","128.5653564,35.8577806","129.3556302,35.5607212","126.9167369,37.5135224"
