0,1
"127.1257404,37.4475874","126.7456174,37.4201315"
"127.1259623,37.4484354","126.7458836,37.4200674"
"127.1259767,37.4484923","126.7463631,37.4199209"
"127.1260146,37.4488394","126.7468485,37.41975"
"127.1260254,37.4489377","126.7473295,37.4195665"
"127.1260663,37.4493597","126.7482511,37.419173"
"127.1260828,37.4501187","126.7492422,37.4187178"
"127.1260477,37.4519483","126.7495295,37.4185827"
"127.126026,37.4531399","126.7499996,37.4183639"
"127.1259384,37.4539184","126.7522018,37.4173674"
"127.1258236,37.4549456","126.7530033,37.4170048"
"127.1255965,37.4565006","126.7537197,37.4166659"
"127.1254878,37.4574377","126.7557843,37.4157568"
"127.1254077,37.4594592","126.7568265,37.4152667"
"127.1254123,37.4598847","126.7568402,37.4152605"
"127.1254146,37.4601118","126.7572159,37.4150862"
"127.125417,37.4603128","126.7574414,37.4149163"
"127.1254488,37.4607321","126.7581225,37.4146051"
"127.1256279,37.4629139","126.7585155,37.4143931"
"127.1257437,37.4644124","126.7588567,37.4141789"
"127.1257755,37.4655049","126.7593696,37.4138486"
"127.1257432,37.4661015","126.7597321,37.413639"
"127.1256982,37.4665025","126.7599329,37.4135556"
"127.1256244,37.4670224","126.7600031,37.4135434"
"127.1255799,37.4673287","126.7600743,37.413542"
"127.1255437,37.4675494","126.7601737,37.4135508"
"127.1253502,37.4687071","126.7604219,37.4135848"
"127.1252476,37.469317","126.7605562,37.4137199"
"127.1252464,37.4693485","126.7607163,37.4138723"
"127.1252383,37.4698253","126.7607958,37.4139495"
"127.125253,37.4700471","126.7610421,37.4141817"
"127.1253114,37.4703609","126.7620344,37.4150866"
"127.1253224,37.4704349","126.7623837,37.4154214"
"127.125341,37.4705584","126.7636801,37.4166661"
"127.1255567,37.4712901","126.7667924,37.4197961"
"127.1257601,37.4717685","126.7670183,37.4200309"
"127.126064,37.4722959","126.7681028,37.4211229"
"127.1264099,37.4727738","126.7685393,37.4215564"
"127.1264864,37.4728605","126.7688069,37.4218222"
"127.1268599,37.4732646","126.7698974,37.4228799"
"127.1269622,37.4733749","126.7705811,37.4235764"
"127.1273147,37.4736915","126.7709089,37.4239245"
"127.1274442,37.4738037","126.77125,37.4242944"
"127.1281485,37.4743143","126.7713975,37.4244665"
"127.1281507,37.4743152","126.7714411,37.4245209"
"127.1285882,37.4745933","126.7715047,37.4246006"
"127.1286175,37.4746123","126.771633,37.4247781"
"127.1289737,37.4748451","126.7716653,37.4248296"
"127.1296332,37.4752753","126.7723018,37.4258566"
"127.129977,37.475499","126.7723563,37.4259507"
"127.1311067,37.4762353","126.7724291,37.4260124"
"127.1316715,37.476604","126.7726155,37.4262533"
"127.1318597,37.4767262","126.7727762,37.4264715"
"127.1324391,37.4771391","126.7733838,37.427565"
"127.1326814,37.4773111","126.7734127,37.4276202"
"127.1333447,37.4778819","126.7734238,37.427641"
"127.1338748,37.4784298","126.7736468,37.4280687"
"127.1341636,37.4788011","126.7737312,37.4282296"
"127.1342255,37.4788806","126.7737589,37.4282848"
"127.1347643,37.4797025","126.7738525,37.4284233"
"127.1349928,37.480172","126.7739365,37.4285004"
"127.1352052,37.4806945","126.7740128,37.4285586"
"127.1354337,37.481602","126.7741556,37.4286388"
"127.1354658,37.4817589","126.7742919,37.4286838"
"127.1355453,37.4821531","126.77454,37.4287412"
"127.1357677,37.4834012","126.7763729,37.428784"
"127.1358412,37.4838675","126.7785499,37.4288829"
"127.1358456,37.4838981","126.7789994,37.4289163"
"127.1358654,37.4840181","126.7792115,37.4289581"
"127.1362911,37.4865035","126.7794965,37.4290572"
"127.1365661,37.4878673","126.7797125,37.4291658"
"127.1368272,37.4888478","126.7798745,37.4292488"
"127.1368283,37.4888523","126.7800284,37.4293471"
"127.1368551,37.4889272","126.780411,37.4295189"
"127.1369142,37.4890942","126.7807998,37.4297583"
"127.1370717,37.4895129","126.7812489,37.4299494"
"127.1374073,37.49029","126.7816997,37.430091"
"127.137423,37.4903225","126.7822618,37.4301746"
"127.1381554,37.4918562","126.7827237,37.4302108"
"127.1383032,37.4921649","126.783167,37.4301882"
"127.1391632,37.4940009","126.7846873,37.4299378"
"127.1395439,37.4948133","126.7849692,37.4298909"
"127.1395629,37.4948539","126.7859484,37.42973"
"127.1404603,37.4966891","126.7865375,37.4297047"
"127.1420826,37.4999993","126.7887372,37.4293331"
"127.1435428,37.5029286","126.7908122,37.4289832"
"127.1441011,37.5040039","126.791695,37.428856"
"127.1445605,37.5047209","126.7920289,37.4288076"
