0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
"128.392374,36.1439748","127.1445477,37.5579821","126.8786617,35.1378166","128.5890285,35.8798414","127.165031,36.7846858","127.039511,37.2866472","128.9732869,35.2077409","126.8094944,37.3274556","127.1305365,37.5180496","128.3234028,36.12163","128.5656818,35.8569383","128.5890285,35.8798414","127.1379261,37.4345781","126.7333329,37.433882","126.8910004,37.5455003","127.0078863,35.9685699","126.7333329,37.433882","127.0078863,35.9685699","126.7187276,37.5437218","126.7187276,37.5437218","126.8023439,35.1667371","126.7043582,37.4317391","126.7187276,37.5437218","127.1379261,37.4345781","126.7043582,37.4317391","126.9476818,37.4056582","126.7043582,37.4317391","128.5592489,35.8554707","126.9476818,37.4056582","126.9691866,37.5568741","127.0479348,37.5764719","127.1322171,35.8445446","126.7043582,37.4317391","127.0116769,37.5054803","128.5813289,35.8476828","127.0524483,37.5850888","127.1379261,37.4345781","127.4235276,36.3556193","127.7552264,37.8970628","128.5813289,35.8476828"
"128.3924864,36.1437909","127.1444311,37.5582125","126.8792241,35.1380575","128.5889995,35.8797416","127.1650614,36.7843884","127.0395914,37.2865998","128.9733245,35.2076972","126.8094972,37.3275133","127.1306117,37.5179497","128.3233372,36.1222579","128.5657375,35.8569577","128.5889995,35.8797416","127.1379238,37.4345771","126.7333828,37.4338697","126.8908506,37.5456933","127.0078247,35.9684849","126.7333828,37.4338697","127.0078247,35.9684849","126.718774,37.5437203","126.718774,37.5437203","126.8022339,35.1667599","126.704441,37.4317189","126.718774,37.5437203","127.1379238,37.4345771","126.704441,37.4317189","126.9477258,37.4055223","126.704441,37.4317189","128.5590077,35.8557388","126.9477258,37.4055223","126.9691865,37.5568832","127.047765,37.5762648","127.1324476,35.8445182","126.704441,37.4317189","127.0115456,37.5054806","128.581009,35.8476983","127.0525122,37.5850106","127.1379238,37.4345771","127.4235476,36.3556608","127.7552791,37.8968536","128.581009,35.8476983"
"128.3925875,36.1436829","127.1443159,37.5583924","126.8795559,35.1381548","128.5890285,35.8798414","127.1650913,36.784228","127.0397544,37.2865048","128.9733604,35.2076769","126.8091138,37.3276066","127.1306992,37.5178743","128.3233009,36.122507","128.5656755,35.857043","128.5889445,35.8795276","127.1375477,37.4345075","126.7335255,37.4338418","126.8907602,37.5458091","127.0077499,35.9680329","126.7335255,37.4338418","127.0077499,35.9680329","126.7188838,37.5437165","126.7188838,37.5437165","126.8021909,35.1667705","126.7045883,37.431683","126.7188838,37.5437165","127.1375477,37.4345075","126.7045883,37.431683","126.9477524,37.4054377","126.7045883,37.431683","128.5588866,35.8558742","126.9477524,37.4054377","126.9691886,37.5569102","127.0477032,37.5761943","127.133263,35.844427","126.7045883,37.431683","127.0111892,37.5054828","128.5804978,35.8477227","127.0527109,37.5847401","127.1375477,37.4345075","127.4235554,36.3557032","127.755287,37.8968247","128.5804978,35.8477227"
"128.392604,36.1436738","127.1443033,37.558414","126.8798845,35.1382521","128.5890529,35.8799251","127.1651267,36.7840812","127.03997,37.2866724","128.9734173,35.2076645","126.8090154,37.3276232","127.1308342,37.5178152","128.3233007,36.1225954","128.5655743,35.8571827","128.5888954,35.8793432","127.1374009,37.4344746","126.7335708,37.4338358","126.8905588,37.5460794","127.0078119,35.9676995","126.7335708,37.4338358","127.0078119,35.9676995","126.7190186,37.5437102","126.7190186,37.5437102","126.8020401,35.1668156","126.7047855,37.4316302","126.7190186,37.5437102","127.1374009,37.4344746","126.7047855,37.4316302","126.9497124,37.4056443","126.7047855,37.4316302","128.5588246,35.8559577","126.9497124,37.4056443","126.9691955,37.5570499","127.0475671,37.576036","127.1335179,35.844398","126.7047855,37.4316302","127.0111688,37.5054818","128.5801282,35.8477405","127.0527748,37.5846583","127.1374009,37.4344746","127.4235493,36.356181","127.7554641,37.8964043","128.5801282,35.8477405"
"128.3927498,36.1435915","127.144097,37.5587027","126.8800214,35.1382897","128.5891443,35.8802082","127.1651529,36.7839704","127.0400902,37.286754","128.9734634,35.2076622","126.8089169,37.3276614","127.1311835,37.5176631","128.3233024,36.1226585","128.565474,35.8573829","128.5888078,35.8790086","127.1367121,37.4343328","126.7336126,37.4338334","126.8905393,37.5461028","127.0079367,35.9674241","126.7336126,37.4338334","127.0079367,35.9674241","126.719774,37.5436746","126.719774,37.5436746","126.8019997,35.1666666","126.7051926,37.4315049","126.719774,37.5436746","127.1367121,37.4343328","126.7051926,37.4315049","126.9498614,37.4056603","126.7051926,37.4315049","128.5585191,35.8563102","126.9498614,37.4056603","126.9692172,37.5573493","127.0477467,37.5759321","127.1339389,35.8443506","126.7051926,37.4315049","127.0110614,37.5054777","128.5802123,35.8479831","127.053008,37.5843068","127.1367121,37.4343328","127.4235162,36.3570176","127.7559318,37.8951649","128.5802123,35.8479831"
"128.3929558,36.1435224","127.1439865,37.5588502","126.8809944,35.1383795","128.5892232,35.8804654","127.1651654,36.7839263","127.0404664,37.2870322","128.9740282,35.207667","126.8087401,37.3277369","127.1314726,37.5175378","128.3233439,36.1228024","128.5654624,35.8574253","128.5887949,35.87896","127.136676,37.4343254","126.733798,37.4338337","126.8903943,37.5462552","127.0082213,35.9671323","126.733798,37.4338337","127.0082213,35.9671323","126.7200367,37.5436665","126.7200367,37.5436665","126.8019954,35.1666476","126.7055494,37.4314298","126.7200367,37.5436665","127.136676,37.4343254","126.7055494,37.4314298","126.9498069,37.4053905","126.7055494,37.4314298","128.5584624,35.8563729","126.9498069,37.4053905","126.9693097,37.5578743","127.048074,37.5757414","127.1343643,35.8443032","126.7055494,37.4314298","127.0109596,37.5054737","128.580249,35.8480757","127.0530937,37.5841773","127.136676,37.4343254","127.4235116,36.3571231","127.7560073,37.8949637","128.580249,35.8480757"
"128.3930499,36.143491","127.143713,37.5592099","126.881755,35.1385348","128.5892567,35.8805651","127.165326,36.7833489","127.0415994,37.2879056","128.9740622,35.2076648","126.8084667,37.3278814","127.1315384,37.5175092","128.3233884,36.1229067","128.5654539,35.8574543","128.5887671,35.878871","127.1365224,37.4342961","126.7338579,37.4338367","126.8900614,37.546825","127.0085096,35.9669577","126.7338579,37.4338367","127.0085096,35.9669577","126.720125,37.5436625","126.720125,37.5436625","126.8019158,35.1663352","126.7055993,37.4314194","126.720125,37.5436625","127.1365224,37.4342961","126.7055993,37.4314194","126.9497371,37.4050414","126.7055993,37.4314194","128.5584046,35.8564401","126.9497371,37.4050414","126.9693373,37.5581331","127.0481376,37.5757065","127.1345593,35.844283","126.7055993,37.4314194","127.0109007,37.505478","128.5805081,35.8487279","127.053184,37.5840397","127.1365224,37.4342961","127.4235093,36.3572024","127.7560389,37.8948663","128.5805081,35.8487279"
"128.3932648,36.1434245","127.1436675,37.5592539","126.88211,35.1386196","128.5893853,35.8809814","127.1653318,36.7832858","127.0418083,37.2880731","128.9741369,35.2076657","126.8083102,37.3279652","127.1317573,37.5174134","128.3234909,36.1230367","128.5654307,35.8575401","128.5886973,35.8786264","127.1363869,37.434266","126.7339425,37.4338463","126.8898989,37.5470413","127.0088175,35.9668471","126.7339425,37.4338463","127.0088175,35.9668471","126.72021,37.5436577","126.72021,37.5436577","126.8018369,35.1660516","126.7063546,37.4312874","126.72021,37.5436577","127.1363869,37.434266","126.7063546,37.4312874","126.9495621,37.4042546","126.7063546,37.4312874","128.5581551,35.8567497","126.9495621,37.4042546","126.9693373,37.5582999","127.048266,37.5756349","127.1347454,35.8442602","126.7063546,37.4312874","127.0107839,37.5055199","128.5805998,35.8489579","127.0532719,37.5839175","127.1363869,37.434266","127.4235001,36.3575513","127.756094,37.8946986","128.5805998,35.8489579"
"128.3933908,36.143365","127.1435379,37.5593788","126.8822873,35.1386908","128.5894143,35.8810722","127.1653658,36.7829478","127.0419688,37.2882017","128.9744577,35.2076699","126.8081446,37.3280534","127.1318629,37.5175616","128.3235726,36.1231011","128.565399,35.8576495","128.5886669,35.8785122","127.1360109,37.4341846","126.7340959,37.4338825","126.8896865,37.5472665","127.0091248,35.9668394","126.7340959,37.4338825","127.0091248,35.9668394","126.7207989,37.5436327","126.7207989,37.5436327","126.8018148,35.1659451","126.7065063,37.431265","126.7207989,37.5436327","127.1360109,37.4341846","126.7065063,37.431265","126.9495216,37.4040741","126.7065063,37.431265","128.5580614,35.8568641","126.9495216,37.4040741","126.9693347,37.5583404","127.0485978,37.5754514","127.1351122,35.8442162","126.7065063,37.431265","127.0107305,37.5055521","128.5806871,35.8491915","127.0534706,37.5836424","127.1360109,37.4341846","127.4235001,36.3575585","127.7561323,37.8945795","128.5806871,35.8491915"
"128.3935698,36.1432735","127.1433662,37.5595216","126.8828747,35.1389661","128.5896169,35.8817086","127.1653813,36.7827486","127.0421327,37.2883358","128.974426,35.2082825","126.8079608,37.3281506","127.1325244,37.5185948","128.3237721,36.1232584","128.5653564,35.8577806","128.5886436,35.8784241","127.1357478,37.4341288","126.7341916,37.4339218","126.8894125,37.5474138","127.0093276,35.9663263","126.7341916,37.4339218","127.0093276,35.9663263","126.7212949,37.5436162","126.7212949,37.5436162","126.8018095,35.1659162","126.7067825,37.431229","126.7212949,37.5436162","127.1357478,37.4341288","126.7067825,37.431229","126.9494881,37.4038621","126.7067825,37.431229","128.5579993,35.8569413","126.9494881,37.4038621","126.9693192,37.5586152","127.0490261,37.5752259","127.1358743,35.84415","126.7067825,37.431229","127.0106826,37.5056069","128.5807834,35.8494286","127.0534718,37.5836397","127.1357478,37.4341288","127.4234977,36.3576423","127.7561424,37.8945588","128.5807834,35.8494286"
