0,1,2,3,4
"127.0444545,37.2901953","127.1349122,37.4339495","126.7957088,37.4968223","127.1349122,37.4339495","126.9471924,37.4039938"
"127.0445522,37.2902759","127.1349624,37.4338478","126.7956766,37.4967545","127.134876,37.4339449","126.9471926,37.4039596"
"127.0445904,37.2903076","127.1350115,37.4337497","126.7956248,37.4966163","127.1348478,37.4339412","126.9472008,37.4039281"
"127.0446488,37.2903547","127.1351371,37.4334833","126.7955614,37.4963744","127.1337489,37.4337494","126.947227,37.4038993"
"127.044669,37.290371","127.1355868,37.4325996","126.7954989,37.4960414","127.1336416,37.4337284","126.9472723,37.4038779"
"127.0447464,37.2904389","127.1356016,37.4325726","126.7955368,37.4951412","127.133173,37.4336368","126.9473119,37.4038718"
"127.0449497,37.2905956","127.1357741,37.4324325","126.7955522,37.4949475","127.1329437,37.4335919","126.9473526,37.4038738"
"127.0450957,37.290708","127.1358391,37.432311","126.7955805,37.4945826","127.1328094,37.4335654","126.9473887,37.4038803"
"127.0455706,37.2910793","127.1359429,37.4321148","126.7955737,37.4943446","127.1327247,37.4335498","126.9474191,37.4038948"
"127.0466093,37.2918991","127.1360604,37.4318835","126.7955381,37.4941632","127.1325993,37.4335241","126.9474471,37.4039193"
"127.0466621,37.2919381","127.1360992,37.4318079","126.7953132,37.49353","127.1323926,37.4334856","126.9474639,37.4039446"
"127.0468474,37.2920758","127.136194,37.4316108","126.795196,37.4932499","127.1313402,37.4332759","126.9474739,37.4039699"
"127.0472112,37.2923737","127.1364875,37.4310015","126.7951384,37.4931135","127.1311087,37.4332284","126.9477552,37.4039784"
"127.047547,37.2926301","127.1368193,37.4303878","126.7947872,37.4923326","127.1310522,37.4332192","126.9483435,37.4040217"
"127.0478209,37.2928682","127.1369504,37.4301565","126.7947274,37.4921907","127.1309845,37.4332072","126.949038,37.40407"
"127.0479274,37.2929705","127.1370828,37.4299019","126.7946776,37.4920796","127.130849,37.4331816","126.9493747,37.4040788"
"127.0479824,37.2930266","127.1371353,37.4298002","126.7942782,37.491247","127.1306322,37.433134","126.9495216,37.4040741"
"127.0480104,37.2930546","127.1371569,37.4297579","126.7939675,37.4905971","127.1304109,37.4330829","126.9494881,37.4038621"
"127.0482213,37.2932673","127.1371923,37.4296931","126.7939176,37.4904923","127.1294307,37.4328914","126.9494675,37.4037412"
"127.0483914,37.2934987","127.1372072,37.4296562","126.7939032,37.4904615","127.1293697,37.4328786","126.9494638,37.4036313"
"127.0485477,37.2937688","127.1372494,37.4295707","126.7937972,37.4901869","127.1293629,37.4328768","126.9494884,37.4035187"
"127.0486759,37.2940235","127.1374822,37.4291063","126.7936647,37.490077","127.1290581,37.4328109","126.9496863,37.4028715"
"127.0487987,37.2944304","127.1374959,37.429082","126.7935784,37.489761","127.1290129,37.4328009","126.9497048,37.4028112"
"127.0488542,37.2945902","127.1376238,37.4288138","126.7935586,37.4896924","127.1290375,37.4326351","126.9499049,37.4021839"
