0,1,2,3
"126.9172927,37.5146626","126.7346683,37.4347244","127.4867959,36.6506343","126.801774,35.1639079"
"126.9173353,37.5147142","126.7346434,37.4348405","127.4866729,36.6505676","126.8013444,35.1632914"
"126.9175442,37.5149162","126.7346002,37.4349746","127.4865498,36.6504909","126.8012739,35.1631909"
"126.9176083,37.514967","126.7345667,37.4350419","127.4861135,36.650224","126.8011523,35.1630342"
"126.917714,37.5150505","126.7344321,37.4352772","127.4860733,36.6501997","126.8008731,35.1628062"
"126.9176523,37.515125","126.7343447,37.4354173","127.4857869,36.6500248","126.8006426,35.1626769"
"126.9173644,37.5156247","126.7342822,37.4356765","127.4856873,36.6499328","126.8003339,35.1625597"
"126.917315,37.515729","126.7342759,37.4360748","127.4855866,36.6498408","126.8000182,35.1625038"
"126.9170733,37.5162479","126.7340656,37.4360762","127.4854681,36.6497218","126.7999853,35.1624982"
"126.9167888,37.5168883","126.7339017,37.4360769","127.4847242,36.6489744","126.799495,35.162434"
"126.9165483,37.5174045","126.7335196,37.4360771","127.4846471,36.6488951","126.7989467,35.1623569"
"126.9167132,37.5174431","126.7327295,37.4360774","127.4843741,36.6486165","126.7986911,35.1623211"
"126.9168353,37.5174591","126.7324209,37.4360772","127.4842869,36.6485326","126.7978624,35.1621613"
"126.9169145,37.5174567","126.7323339,37.4360766","127.4839983,36.6482441","126.7977341,35.1621416"
"126.9169995,37.5174482","126.73217,37.4360729","127.4839659,36.6482107","126.7959941,35.161851"
"126.9170504,37.5174403","126.732172,37.4359909","127.4832366,36.6474813","126.7954678,35.1617632"
"126.9171162,37.5174244","126.732174,37.4357917","127.4830744,36.6473416","126.7943554,35.1615196"
"126.9171843,37.5174004","126.7321795,37.4357016","127.4828999,36.6472415","126.7941362,35.1614714"
"126.9172127,37.5173897","126.7321872,37.4348327","127.4803875,36.6460908","126.7923806,35.161087"
"126.9172886,37.5173694","126.7321914,37.4335384","127.4786738,36.6452818","126.7914894,35.1609132"
"126.9179405,37.5172112","126.7321922,37.4333482","127.4785619,36.6452331","126.7908403,35.1608039"
"126.9182115,37.517145","126.7321958,37.4332175","127.4784993,36.6451998","126.7899015,35.1606848"
"126.9186504,37.5170236","126.7322039,37.4329787","127.4784635,36.645179","126.7899004,35.1606848"
"126.9187071,37.5170077","126.7322061,37.4328778","127.4784355,36.6451628","126.7896083,35.1606921"
"126.9188249,37.5169875","126.7322064,37.4328409","127.4781648,36.6450302","126.7893186,35.160666"
"126.9189732,37.5169739","126.7322147,37.4326976","127.4780116,36.6449581","126.7889741,35.1606351"
"126.9193311,37.5169378","126.7322184,37.4325579","127.4774501,36.644692","126.7886988,35.1606083"
"126.9195754,37.5169498","126.7322358,37.4322885","127.4773561,36.6446469","126.7885035,35.1605882"
"126.9196969,37.5168972","126.7322359,37.4322831","127.4765373,36.6442582","126.787955,35.1605282"
"126.919832,37.5168438","126.7322383,37.4322723","127.4763998,36.6441915","126.7847402,35.1601431"
"126.9203188,37.5166704","126.7322599,37.4321472","127.4758808,36.6439462","126.7830939,35.1599422"
"126.9206773,37.5165496","126.7323098,37.4320141","127.4755139,36.6437793","126.7827374,35.1598987"
"126.9227025,37.5158645","126.7324261,37.4316958","127.4753372,36.64369","126.7827231,35.1598968"
"126.9235809,37.515529","126.7324652,37.4316329","127.4751112,36.6435872","126.7824896,35.1598638"
"126.9241824,37.5152985","126.7326813,37.4312819","127.474798,36.643442","126.7822996,35.1598609"
"126.9242584,37.5152763","126.7327617,37.431158","127.4742376,36.6431832","126.7820317,35.1598602"
