0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"127.0394691,37.2866723","127.1228178,35.8333327","127.1379893,37.43459","127.1228178,35.8333327","127.42282,36.3554908","129.1367996,35.1676916","126.8029605,35.1666658","128.7544345,35.8315637","128.6098547,35.8901341","127.4204162,36.3551935","127.8717186,36.9677283","126.7969211,37.4999996","129.1367996,35.1676916","128.5656696,35.8569339","129.1367996,35.1676916"
"127.039511,37.2866472","127.1228787,35.8337882","127.1379261,37.4345781","127.1228787,35.8337882","127.4235276,36.3556193","129.1360773,35.1673146","126.8023439,35.1667371","128.7543344,35.8315359","128.6097499,35.8902496","127.42021,36.3551655","127.8717325,36.9675759","126.7969165,37.4998923","129.1360773,35.1673146","128.5656818,35.8569383","129.1360773,35.1673146"
"127.0395914,37.2865998","127.1229256,35.8339498","127.1379238,37.4345771","127.1229256,35.8339498","127.4235476,36.3556608","129.1367996,35.1676916","126.8022339,35.1667599","128.7541893,35.8315284","128.6098978,35.8906828","127.4201287,36.3551492","127.8717161,36.9674452","126.7968994,37.4994253","129.1367996,35.1676916","128.5657375,35.8569577","129.1367996,35.1676916"
"127.0397544,37.2865048","127.1229649,35.8340698","127.1375477,37.4345075","127.1229649,35.8340698","127.4235554,36.3557032","129.1374633,35.168046","126.8021909,35.1667705","128.7540729,35.8315224","128.6100191,35.8910387","127.4200306,36.3551167","127.8716783,36.9672885","126.7968855,37.4992116","129.1374633,35.168046","128.5656755,35.857043","129.1374633,35.168046"
"127.03997,37.2866724","127.1230734,35.8342911","127.1374009,37.4344746","127.1230734,35.8342911","127.4235493,36.356181","129.1378051,35.1682289","126.8020401,35.1668156","128.7536908,35.8315137","128.6100491,35.8911249","127.4199315,36.3550571","127.8716313,36.9670912","126.7968707,37.4989808","129.1378051,35.1682289","128.5655743,35.8571827","129.1378051,35.1682289"
"127.0400902,37.286754","127.1231008,35.8343579","127.1367121,37.4343328","127.1231008,35.8343579","127.4235162,36.3570176","129.1379587,35.1683296","126.8019997,35.1666666","128.7532731,35.8314892","128.6100742,35.8912581","127.4199292,36.3550535","127.871545,36.966675","126.7968646,37.4989095","129.1379587,35.1683296","128.565474,35.8573829","129.1379587,35.1683296"
"127.0404664,37.2870322","127.1231534,35.8344698","127.136676,37.4343254","127.1231534,35.8344698","127.4235116,36.3571231","129.1380748,35.1684245","126.8019954,35.1666476","128.7531767,35.8314848","128.6100069,35.8914337","127.4198833,36.3552563","127.8715233,36.9665904","126.7968379,37.4987453","129.1380748,35.1684245","128.5654624,35.8574253","129.1380748,35.1684245"
"127.0415994,37.2879056","127.1232291,35.8346306","127.1365224,37.4342961","127.1232291,35.8346306","127.4235093,36.3572024","129.1381294,35.1684679","126.8019158,35.1663352","128.7529673,35.831478","128.609724,35.8919664","127.4203213,36.3553332","127.8713159,36.9655399","126.7967508,37.4985014","129.1381294,35.1684679","128.5654539,35.8574543","129.1381294,35.1684679"
"127.0418083,37.2880731","127.1233235,35.8347976","127.1363869,37.434266","127.1233235,35.8347976","127.4235001,36.3575513","129.1386777,35.1689257","126.8018369,35.1660516","128.7525076,35.8314621","128.6096357,35.8920664","127.4203536,36.3553378","127.8712987,36.9654616","126.7967398,37.4984716","129.1386777,35.1689257","128.5654307,35.8575401","129.1386777,35.1689257"
"127.0419688,37.2882017","127.1236102,35.8352836","127.1360109,37.4341846","127.1236102,35.8352836","127.4235001,36.3575585","129.1387916,35.1690188","126.8018148,35.1659451","128.7520011,35.8314259","128.6091999,35.8924409","127.4203859,36.3553161","127.8712745,36.9653291","126.7967122,37.4983993","129.1387916,35.1690188","128.565399,35.8576495","129.1387916,35.1690188"
"127.0421327,37.2883358","127.1237114,35.8354174","127.1357478,37.4341288","127.1237114,35.8354174","127.4234977,36.3576423","129.1389194,35.1690424","126.8018095,35.1659162","128.7499991,35.8312574","128.6089653,35.8922998","127.4204162,36.3551935","127.8712583,36.9652444","126.7966664,37.4983351","129.1389194,35.1690424","128.5653564,35.8577806","129.1389194,35.1690424"
"127.0429096,37.2889698","127.1239272,35.8356741","127.1355276,37.4340821","127.1239272,35.8356741","127.4234773,36.3580597","129.1389945,35.1690612","126.8017955,35.1657646","128.7493846,35.8311844","128.6088189,35.8922119","127.4207683,36.3552425","127.8711789,36.9650851","126.7965838,37.4982147","129.1389945,35.1690612","128.5652614,35.8580492","129.1389945,35.1690612"
"127.043014,37.289054","127.1239449,35.8356886","127.1352396,37.4340227","127.1239449,35.8356886","127.4234727,36.3581481","129.1390817,35.1690843","126.8017845,35.165375","128.7493583,35.831274","128.6082162,35.891892","127.4210436,36.3552841","127.8711248,36.9648176","126.7963116,37.4978075","129.1390817,35.1690843","128.5652123,35.8581831","129.1390817,35.1690843"
"127.0434518,37.2894081","127.1240927,35.8358036","127.1352114,37.4340163","127.1240927,35.8358036","127.4234511,36.3586592","129.139085,35.1690852","126.8017828,35.1653155","128.7493425,35.8313246","128.6076495,35.8916159","127.4211305,36.3552842","127.8711133,36.9647554","126.7958887,37.4971785","129.139085,35.1690852","128.5650999,35.8585582","129.139085,35.1690852"
"127.0438201,37.289698","127.1245479,35.8360096","127.1351369,37.4339998","127.1245479,35.8360096","127.4234499,36.3587413","129.1391502,35.1691069","126.8017779,35.1651234","128.749259,35.8315788","128.6076127,35.8915973","127.4212063,36.3552734","127.8710937,36.9646554","126.7958742,37.4971577","129.1391502,35.1691069","128.5650583,35.8586749","129.1391502,35.1691069"
"127.0439594,37.2898058","127.1245998,35.8360477","127.1350861,37.4339888","127.1245998,35.8360477","127.4239492,36.3587578","129.139277,35.1691863","126.8018151,35.1643644","128.7491281,35.8320571","128.6072669,35.8914292","127.4213524,36.3552329","127.8710868,36.9646221","126.7958442,37.4970998","129.139277,35.1691863","128.5649623,35.8589498","129.139277,35.1691863"
"127.0443894,37.290141","127.1247719,35.8361708","127.1349867,37.433966","127.1247719,35.8361708","127.4248297,36.3587782","129.1393438,35.1692359","126.8018075,35.1642228","128.7490779,35.8322415","128.6071363,35.8913637","127.4213524,36.3551689","127.8710764,36.964568","126.7957498,37.4969163","129.1393438,35.1692359","128.5648525,35.859269","129.1393438,35.1692359"
"127.0444545,37.2901953","127.1248503,35.8362297","127.1349122,37.4339495","127.1248503,35.8362297","127.425222,36.3587875","129.1394299,35.1693131","126.8018057,35.1641831","128.749014,35.8324748","128.6067068,35.8911495","127.4213214,36.3550247","127.8710166,36.9642662","126.7957088,37.4968223","129.1394299,35.1693131","128.5647866,35.8594743","129.1394299,35.1693131"
"127.0445522,37.2902759","127.1249992,35.8363437","127.134876,37.4339449","127.1249992,35.8363437","127.4253625,36.3587912","129.1395307,35.1694082","126.8017996,35.1641281","128.7489431,35.8326865","128.6065172,35.8910593","127.4213592,36.3539537","127.8709509,36.9639374","126.7956766,37.4967545","129.1395307,35.1694082","128.5646618,35.8599208","129.1395307,35.1694082"
"127.0445904,37.2903076","127.1254826,35.8366797","127.1348478,37.4339412","127.1254826,35.8366797","127.4256991,36.3588013","129.1395598,35.1694349","126.801774,35.1639079","128.7489399,35.8326937","128.6064469,35.8910257","127.4214107,36.3537761","127.8709279,36.9638257","126.7956248,37.4966163","129.1395598,35.1694349","128.5646249,35.8600581","129.1395598,35.1694349"
"127.0446488,37.2903547","127.1259229,35.836994","127.1337489,37.4337494","127.1259229,35.836994","127.4269619,36.3588409","129.1395812,35.1694662","126.8015772,35.1629122","128.7489241,35.8327408","128.6063688,35.8909867","127.4214174,36.3537112","127.8709233,36.9638005","126.7955614,37.4963744","129.1395812,35.1694662","128.5645993,35.8602161","129.1395812,35.1694662"
"127.044669,37.290371","127.1264007,35.8373372","127.1336416,37.4337284","127.1264007,35.8373372","127.4270633,36.3588445","129.1396186,35.1695198","126.8015635,35.1628373","128.748896,35.8327898","128.6058871,35.8907667","127.4214332,36.3535363","127.8708625,36.9635374","126.7954989,37.4960414","129.1396186,35.1695198","128.5642992,35.8601358","129.1396186,35.1695198"
"127.0447464,37.2904389","127.1265684,35.8374684","127.133173,37.4336368","127.1265684,35.8374684","127.4272561,36.358851","129.1396289,35.1695413","126.8015175,35.1625746","128.7488508,35.8328696","128.6058101,35.8907304","127.4213641,36.3535191","127.8708418,36.963451","126.7955368,37.4951412","129.1396289,35.1695413","128.563542,35.859909","129.1396289,35.1695413"
