0,1,2,3,4,5
"128.9767421,35.168127","127.2641751,37.0097911","128.9767421,35.168127","127.6475374,34.777958","128.872871,35.2546625","127.0111892,37.5054828"
"128.9767229,35.1679775","127.264165,37.0097676","128.9767229,35.1679775","127.6479994,34.7784246","128.8727191,35.2546507","127.0111688,37.5054818"
"128.9767089,35.1678713","127.2643653,37.0097122","128.9767089,35.1678713","127.6483498,34.7787831","128.8725408,35.2546356","127.0110614,37.5054777"
"128.9766949,35.1677633","127.2644046,37.0097077","128.9766949,35.1677633","127.6486224,34.779056","128.87191,35.2545787","127.0109596,37.5054737"
"128.976651,35.16746","127.2644653,37.0097087","128.976651,35.16746","127.6486585,34.7790938","128.871561,35.2545475","127.0109007,37.505478"
"128.9765246,35.1666663","127.264526,37.0097269","128.9765246,35.1666663","127.6486958,34.7791334","128.8713662,35.254529","127.0107839,37.5055199"
"128.9761246,35.1644","127.2645911,37.0097532","128.9761246,35.1644","127.6487899,34.7792307","128.8712274,35.2545161","127.0107305,37.5055521"
"128.9759642,35.1637248","127.2648369,37.0098717","128.9759642,35.1637248","127.6486808,34.7793102","128.8711437,35.2545053","127.0106826,37.5056069"
"128.9759368,35.163608","127.2649384,37.0097502","128.9759368,35.163608","127.6486426,34.7793337","128.8712152,35.2543089","127.0106346,37.5056941"
"128.9759287,35.1635819","127.2646623,37.0096145","128.9759287,35.1635819","127.6484756,34.7794566","128.8713149,35.2540328","127.0106128,37.5057346"
"128.9759098,35.1635091","127.2644996,37.0095231","128.9759098,35.1635091","127.6483893,34.7795126","128.8713265,35.254002","127.0105635,37.5058263"
"128.9758921,35.1634417","127.2642629,37.0093649","128.9758921,35.1634417","127.6481821,34.7797229","128.8713549,35.2539241","127.0104445,37.5060439"
"128.9758614,35.1633249","127.2640981,37.0092546","128.9758614,35.1633249","127.6481493,34.7797464","128.8713748,35.253868","127.0103471,37.506222"
"128.9758416,35.1632593","127.2640835,37.0092455","128.9758416,35.1632593","127.6480762,34.7797961","128.8714744,35.2535828","127.0103448,37.5062274"
