0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"127.1193209,37.4112606","128.5808702,35.2226942","128.5808702,35.2226942","128.5653347,35.8568188","128.8452774,35.9008864","127.6467622,34.777169","128.4849663,35.854359","127.3655693,36.3211878","128.5808702,35.2226942","126.7640813,37.5133441","128.5596122,35.8550573","128.5596122,35.8550573","128.5653347,35.8568188","126.4086372,34.8242079","126.736087,37.3372909","126.7331287,37.4339546","128.5596122,35.8550573"
"127.1193636,37.4113022","128.5809036,35.2227255","128.5809036,35.2227255","128.5656696,35.8569339","128.8451278,35.9008854","127.6471443,34.7775626","128.4849761,35.8540731","127.3655533,36.3214159","128.5809036,35.2227255","126.7639611,37.5133632","128.5594769,35.8552135","128.5594769,35.8552135","128.5656696,35.8569339","126.4085874,34.8243328","126.7361756,37.3372365","126.7331933,37.4339442","128.5594769,35.8552135"
"127.1194199,37.411342","128.5809219,35.2227767","128.5809219,35.2227767","128.5656818,35.8569383","128.8448119,35.9008826","127.6472374,34.7776581","128.4849642,35.8540101","127.3655498,36.3215331","128.5809219,35.2227767","126.7639549,37.5135389","128.5592489,35.8554707","128.5592489,35.8554707","128.5656818,35.8569383","126.4082997,34.8247577","126.7382714,37.3359457","126.7333329,37.433882","128.5592489,35.8554707"
"127.1194773,37.4113837","128.5809264,35.2227902","128.5809264,35.2227902","128.5657375,35.8569577","128.8447997,35.9006826","127.6473863,34.7778067","128.4849581,35.8539651","127.3655517,36.3217116","128.5809264,35.2227902","126.7639177,37.5136405","128.5590077,35.8557388","128.5590077,35.8557388","128.5657375,35.8569577","126.4082489,34.8248744","126.7388928,37.3355576","126.7333828,37.4338697","128.5590077,35.8557388"
"127.1193526,37.411696","128.5810318,35.2231129","128.5810318,35.2231129","128.5656755,35.857043","128.8447644,35.9006271","127.6475374,34.777958","128.4848447,35.8537496","127.3655547,36.3219054","128.5810318,35.2231129","126.7638841,37.5137178","128.5588866,35.8558742","128.5588866,35.8558742","128.5656755,35.857043","126.4082689,34.8250153","126.7394222,37.3352293","126.7335255,37.4338418","128.5588866,35.8558742"
"127.1193103,37.411786","128.581191,35.2235993","128.581191,35.2235993","128.5655743,35.8571827","128.8447371,35.9005832","127.6479994,34.7784246","128.4847843,35.8536969","127.3655568,36.3219731","128.581191,35.2235993","126.7638759,37.5137475","128.5588246,35.8559577","128.5588246,35.8559577","128.5655743,35.8571827","126.4083113,34.825123","126.7401038,37.3348055","126.7335708,37.4338358","128.5588246,35.8559577"
"127.1193753,37.4118863","128.5811956,35.2236164","128.5811956,35.2236164","128.565474,35.8573829","128.8446996,35.9005296","127.6483498,34.7787831","128.4844358,35.8535465","127.3655599,36.3221101","128.5811956,35.2236164","126.7638595,37.5138015","128.5585191,35.8563102","128.5585191,35.8563102","128.565474,35.8573829","126.4083397,34.8252008","126.7415237,37.3339205","126.7336126,37.4338334","128.5585191,35.8563102"
"127.1198183,37.4125656","128.5812667,35.2238412","128.5812667,35.2238412","128.5654624,35.8574253","128.8443454,35.9000278","127.6486224,34.779056","128.4843924,35.853527","127.3655665,36.3221813","128.5812667,35.2238412","126.7638437,37.5139132","128.5584624,35.8563729","128.5584624,35.8563729","128.5654624,35.8574253","126.4084393,34.8251124","126.7416146,37.3338634","126.733798,37.4338337","128.5584624,35.8563729"
"127.119852,37.4126062","128.581495,35.223904","128.581495,35.223904","128.5654539,35.8574543","128.8440066,35.8995177","127.6486585,34.7790938","128.4839236,35.853319","127.3655865,36.32224","128.581495,35.223904","126.7643318,37.5138702","128.5584046,35.8564401","128.5584046,35.8564401","128.5654539,35.8574543","126.4085209,34.8250653","126.7416884,37.3338179","126.7338579,37.4338367","128.5584046,35.8564401"
"127.1198722,37.4126225","128.5828021,35.2237066","128.5828021,35.2237066","128.5654307,35.8575401","128.8438322,35.8992997","127.6486958,34.7791334","128.4837911,35.8532687","127.3656142,36.3222968","128.5828021,35.2237066","126.7643612,37.5136469","128.5581551,35.8567497","128.5581551,35.8567497","128.5654307,35.8575401","126.4086121,34.8250319","126.7419066,37.3336805","126.7339425,37.4338463","128.5581551,35.8567497"
"127.1198947,37.4126424","128.583054,35.2236404","128.583054,35.2236404","128.565399,35.8576495","128.8437575,35.8992049","127.6487899,34.7792307","128.4837928,35.853046","127.3656698,36.3223699","128.583054,35.2236404","126.7644293,37.5133985","128.5580614,35.8568641","128.5580614,35.8568641","128.565399,35.8576495","126.408724,34.8249995","126.741977,37.3336376","126.7340959,37.4338825","128.5580614,35.8568641"
"127.1199398,37.4126687","128.5834373,35.2234611","128.5834373,35.2234611","128.5653564,35.8577806","128.8434747,35.8989954","127.6486808,34.7793102","128.483782,35.8527089","127.365759,36.3223492","128.5834373,35.2234611","126.7644659,37.513241","128.5579993,35.8569413","128.5579993,35.8569413","128.5653564,35.8577806","126.4090242,34.824958","126.7420905,37.3335699","126.7341916,37.4339218","128.5579993,35.8569413"
"127.120648,37.4129585","128.5841073,35.223025","128.5841073,35.223025","128.5652614,35.8580492","128.8433904,35.8989197","127.6486426,34.7793337","128.4837603,35.8524783","127.365847,36.322352","128.5841073,35.223025","126.7646128,37.5127931","128.5579373,35.8570248","128.5579373,35.8570248","128.5652614,35.8580492","126.4091947,34.8249614","126.742379,37.3333977","126.7343232,37.4339858","128.5579373,35.8570248"
"127.1207044,37.4129803","128.5841867,35.2229666","128.5841867,35.2229666","128.5652123,35.8581831","128.8432872,35.8987793","127.6484756,34.7794566","128.4835191,35.852492","127.3660352,36.3223892","128.5841867,35.2229666","126.7646988,37.5125656","128.5576245,35.857491","128.5576245,35.857491","128.5652123,35.8581831","126.4094119,34.8249913","126.7424869,37.3333326","126.7343949,37.4340448","128.5576245,35.857491"
"127.1207438,37.4130021","128.5843306,35.2228833","128.5843306,35.2228833","128.5650999,35.8585582","128.8432215,35.8986971","127.6483893,34.7795126","128.4834737,35.8524959","127.3660931,36.3224001","128.5843306,35.2228833","126.7647303,37.5124711","128.5574621,35.8577728","128.5574621,35.8577728","128.5650999,35.8585582","126.409425,34.8249968","126.7425107,37.3333175","126.734405,37.4340557","128.5574621,35.8577728"
