0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
"127.1449484,37.5580076","126.8637797,37.5003434","128.6186073,34.8826092","129.3481367,35.5607155","127.5189865,34.9358161","126.9260824,37.5191178","126.8749992,35.1361711","126.9006147,37.449823","127.0118081,37.5054745","126.7972835,37.5034692","127.6868188,34.9398473","126.7972835,37.5034692","127.0394646,37.286675","127.1302122,37.5195745","126.8094867,37.327305","126.8749992,35.1361711","127.0118081,37.5054745","127.0483321,37.5570069","128.6636192,35.2355085","126.7331287,37.4339546","127.1676352,37.2501461","126.7969323,37.500261","127.2083791,37.5442581","127.074003,37.5097479","126.9691836,37.5568228","127.0480889,37.5766347","127.1491706,37.5562797","126.7972835,37.5034692","127.1491706,37.5562797","127.074003,37.5097479","127.0974689,37.487416","127.1491706,37.5562797","127.1369665,37.5964331","127.0483321,37.5570069","126.7331287,37.4339546","128.582015,35.8476496","126.9260824,37.5191178","127.0774228,37.6311341","127.0774228,37.6311341","126.9475284,37.4059333","127.074003,37.5097479","127.102999,37.6146526","127.0493116,37.6784331","127.0125132,37.5670065","127.1491706,37.5562797","128.5847451,35.8463087","127.074003,37.5097479","127.0522024,37.5853024","127.074003,37.5097479","127.0493116,37.6784331","127.102999,37.6146526","128.5847451,35.8463087"
"127.1447738,37.5580486","126.863975,37.4999993","128.6185197,34.8826028","129.3481345,35.5607155","127.5190017,34.9355177","126.9262187,37.5192014","126.874845,35.1360945","126.9010616,37.4499244","127.0116814,37.5054803","126.797249,37.5042442","127.6876967,34.9396908","126.797249,37.5042442","127.0394691,37.2866723","127.1304948,37.5182468","126.8094907,37.3273709","126.874845,35.1360945","127.0116814,37.5054803","127.0487741,37.5571159","128.6639763,35.2359649","126.7331933,37.4339442","127.1676454,37.2501335","126.7969211,37.4999996","127.2084298,37.5443123","127.0737724,37.510698","126.9691846,37.5568354","127.0480563,37.5765976","127.1491411,37.5562814","126.797249,37.5042442","127.1491411,37.5562814","127.0737724,37.510698","127.0974274,37.4873483","127.1491411,37.5562814","127.1369537,37.596498","127.0487741,37.5571159","126.7331933,37.4339442","128.5815402,35.8476728","126.9262187,37.5192014","127.0774253,37.6310827","127.0774253,37.6310827","126.9476234,37.4057697","127.0737724,37.510698","127.1027491,37.6145472","127.0495098,37.679036","127.0125813,37.567324","127.1491411,37.5562814","128.5848196,35.8462503","127.0737724,37.510698","127.0523787,37.5851778","127.0737724,37.510698","127.0495098,37.679036","127.1027491,37.6145472","128.5848196,35.8462503"
"127.1445477,37.5579821","126.8641566,37.4996604","128.61829,34.8826103","129.3480274,35.5607145","127.5190181,34.9352047","126.9262277,37.5192068","126.8745924,35.1359706","126.9011337,37.4499473","127.0116769,37.5054803","126.7972819,37.5048438","127.6880426,34.9396281","126.7972819,37.5048438","127.039511,37.2866472","127.1305365,37.5180496","126.8094944,37.3274556","126.8745924,35.1359706","127.0116769,37.5054803","127.0489086,37.5571543","128.6638169,35.2360431","126.7333329,37.433882","127.1677137,37.2499993","126.7969165,37.4998923","127.2088854,37.5447641","127.0737183,37.5108627","126.9691866,37.5568741","127.0479348,37.5764719","127.1491287,37.5562814","126.7972819,37.5048438","127.1491287,37.5562814","127.0737183,37.5108627","127.0973905,37.487276","127.1491287,37.5562814","127.1368755,37.5967519","127.0489086,37.5571543","126.7333329,37.433882","128.5813289,35.8476828","126.9262277,37.5192068","127.0774539,37.6310423","127.0774539,37.6310423","126.9476818,37.4056582","127.0737183,37.5108627","127.1023613,37.6143828","127.0495644,37.6791993","127.0126029,37.5674846","127.1491287,37.5562814","128.5849352,35.8462006","127.0737183,37.5108627","127.0524483,37.5850888","127.0737183,37.5108627","127.0495644,37.6791993","127.1023613,37.6143828","128.5849352,35.8462006"
"127.1444311,37.5582125","126.864275,37.4994412","128.618231,34.8826145","129.3471624,35.5607124","127.5190224,34.9348558","126.9264913,37.519364","126.8744283,35.1359012","126.9012951,37.4499896","127.0115456,37.5054806","126.7972953,37.5049845","127.6882374,34.9395908","126.7972953,37.5049845","127.0395914,37.2865998","127.1306117,37.5179497","126.8094972,37.3275133","126.8744283,35.1359012","127.0115456,37.5054806","127.0492658,37.5572548","128.6634116,35.2355159","126.7333828,37.4338697","127.167733,37.2499606","126.7968994,37.4994253","127.2092451,37.5451291","127.074487,37.5110016","126.9691865,37.5568832","127.047765,37.5762648","127.1490868,37.556284","126.7972953,37.5049845","127.1490868,37.556284","127.074487,37.5110016","127.0973637,37.4872129","127.1490868,37.556284","127.136864,37.5967907","127.0492658,37.5572548","126.7333828,37.4338697","128.581009,35.8476983","126.9264913,37.519364","127.0774983,37.6310064","127.0774983,37.6310064","126.9477258,37.4055223","127.074487,37.5110016","127.1033846,37.6141465","127.0495891,37.6792445","127.0125998,37.5676062","127.1490868,37.556284","128.5850266,35.846161","127.074487,37.5110016","127.0525122,37.5850106","127.074487,37.5110016","127.0495891,37.6792445","127.1033846,37.6141465","128.5850266,35.846161"
"127.1443159,37.5583924","126.8643232,37.4993576","128.6180911,34.8826257","129.346998,35.5607095","127.5190235,34.9347809","126.9265986,37.519251","126.8742642,35.1358201","126.9014248,37.4500245","127.0111892,37.5054828","126.797321,37.5052604","127.6885373,34.9395191","126.797321,37.5052604","127.0397544,37.2865048","127.1306992,37.5178743","126.8091138,37.3276066","126.8742642,35.1358201","127.0111892,37.5054828","127.049433,37.5573041","128.6626742,35.2345159","126.7335255,37.4338418","127.1676703,37.2498523","126.7968855,37.4992116","127.2092846,37.5451671","127.0750442,37.5111037","126.9691886,37.5569102","127.0477032,37.5761943","127.1490448,37.5562911","126.797321,37.5052604","127.1490448,37.5562911","127.0750442,37.5111037","127.0973426,37.4871335","127.1490448,37.5562911","127.1368513,37.5968384","127.049433,37.5573041","126.7335255,37.4338418","128.5804978,35.8477227","126.9265986,37.519251","127.0774814,37.6309838","127.0775856,37.631004","126.9477524,37.4054377","127.0750442,37.5111037","127.1035366,37.6141118","127.0496126,37.6792869","127.0125938,37.5676666","127.1490448,37.5562911","128.585097,35.8461297","127.0750442,37.5111037","127.0527109,37.5847401","127.0750442,37.5111037","127.0496126,37.6792869","127.1035366,37.6141118","128.585097,35.8461297"
"127.1443033,37.558414","126.8643381,37.4993333","128.6178357,34.8826749","129.3467045,35.5607095","127.5189994,34.9346493","126.9269065,37.5189343","126.8741221,35.13575","126.9015207,37.4500475","127.0111688,37.5054818","126.7973263,37.5053001","127.6890572,34.9394263","126.7973263,37.5053001","127.03997,37.2866724","127.1308342,37.5178152","126.8090154,37.3276232","126.8741221,35.13575","127.0111688,37.5054818","127.0494466,37.5573078","128.6617163,35.2331537","126.7335708,37.4338358","127.1676043,37.2497403","126.7968707,37.4989808","127.2096285,37.5455186","127.0752876,37.5112776","126.9691955,37.5570499","127.0475671,37.576036","127.1489644,37.5563125","126.7973263,37.5053001","127.1489644,37.5563125","127.0752876,37.5112776","127.0973149,37.4870306","127.1489644,37.5563125","127.1368489,37.5968492","127.0494466,37.5573078","126.7335708,37.4338358","128.5801282,35.8477405","126.9269065,37.5189343","127.0774252,37.6309151","127.0776456,37.6310177","126.9497124,37.4056443","127.0752876,37.5112776","127.1044794,37.6138942","127.0496508,37.6793429","127.0125822,37.5677125","127.1489644,37.5563125","128.5852196,35.8461051","127.0752876,37.5112776","127.0527748,37.5846583","127.0752876,37.5112776","127.0496508,37.6793429","127.1044794,37.6138942","128.5852196,35.8461051"
"127.144097,37.5587027","126.8645783,37.4988912","128.6177495,34.8826911","129.346509,35.5606999","127.5189906,34.9346141","126.9270868,37.5187414","126.8739657,35.1356698","126.902138,37.4501949","127.0110614,37.5054777","126.7973368,37.5053786","127.689112,34.9394163","126.7973368,37.5053786","127.0400902,37.286754","127.1311835,37.5176631","126.8089169,37.3276614","126.8739657,35.1356698","127.0110614,37.5054777","127.0497145,37.5573836","128.6616434,35.2330498","126.7336126,37.4338334","127.1675606,37.249669","126.7968646,37.4989095","127.2102159,37.5461401","127.0776821,37.5116548","126.9692172,37.5573493","127.0477467,37.5759321","127.1488544,37.5563446","126.7973368,37.5053786","127.1488544,37.5563446","127.0776821,37.5116548","127.0972996,37.4869206","127.1488544,37.5563446","127.1367841,37.5971302","127.0497145,37.5573836","126.7336126,37.4338334","128.5802123,35.8479831","126.9270868,37.5187414","127.0772283,37.630662","127.0776885,37.6310395","126.9498614,37.4056603","127.0776821,37.5116548","127.1043801,37.6135964","127.0498111,37.6792796","127.0125569,37.5677638","127.1488544,37.5563446","128.5853592,35.8461111","127.0776821,37.5116548","127.053008,37.5843068","127.0776821,37.5116548","127.0498111,37.6792796","127.1043801,37.6135964","128.5853592,35.8461111"
"127.1439865,37.5588502","126.8647745,37.4985749","128.6172663,34.8828046","129.3463962,35.5606863","127.5189621,34.9344996","126.9274266,37.5184086","126.8736989,35.1355332","126.9022745,37.4502244","127.0109596,37.5054737","126.7973919,37.505661","127.6891103,34.940108","126.7973919,37.505661","127.0404664,37.2870322","127.1314726,37.5175378","126.8087401,37.3277369","126.8736989,35.1355332","127.0109596,37.5054737","127.0498083,37.5572109","128.6615717,35.232954","126.733798,37.4338337","127.1674889,37.2495642","126.7968379,37.4987453","127.2105665,37.5465115","127.0779986,37.5117037","126.9693097,37.5578743","127.048074,37.5757414","127.1488317,37.5563499","126.7973919,37.505661","127.1488317,37.5563499","127.0779986,37.5117037","127.0972933,37.486844","127.1488317,37.5563499","127.1367368,37.5973167","127.0498083,37.5572109","126.733798,37.4338337","128.580249,35.8480757","126.9274266,37.5184086","127.0770999,37.6305182","127.0777223,37.6310838","126.9498069,37.4053905","127.0779986,37.5117037","127.1043143,37.613397","127.0498703,37.6792536","127.0125043,37.5678474","127.1488317,37.5563499","128.5855565,35.8461201","127.0779986,37.5117037","127.0530937,37.5841773","127.0779986,37.5117037","127.0498703,37.6792536","127.1043143,37.613397","128.5855565,35.8461201"
"127.143713,37.5592099","126.8648617,37.4984249","128.6171308,34.8828185","129.3462583,35.5606415","127.5189336,34.9344563","126.9275121,37.5183243","126.8734749,35.1354076","126.9023473,37.4500373","127.0109007,37.505478","126.7969434,37.5055908","127.6891115,34.9401828","126.7969434,37.5055908","127.0415994,37.2879056","127.1315384,37.5175092","126.8084667,37.3278814","126.8734749,35.1354076","127.0109007,37.505478","127.0505715,37.557385","128.6614706,35.2328026","126.7338579,37.4338367","127.1674329,37.2494884","126.7967508,37.4985014","127.2107086,37.5466605","127.0782236,37.5117397","126.9693373,37.5581331","127.0481376,37.5757065","127.1488034,37.5563517","126.7969434,37.5055908","127.1488034,37.5563517","127.0782236,37.5117397","127.0972901,37.4867989","127.1488034,37.5563517","127.1367148,37.5974049","127.0505715,37.557385","126.7338579,37.4338367","128.5805081,35.8487279","126.9275121,37.5183243","127.076869,37.6302587","127.07773,37.6311235","126.9497371,37.4050414","127.0782236,37.5117397","127.1042351,37.6131606","127.0500908,37.6791671","127.0124468,37.5679715","127.1488034,37.5563517","128.5856983,35.8461279","127.0782236,37.5117397","127.053184,37.5840397","127.0782236,37.5117397","127.0500908,37.6791671","127.1042351,37.6131606","128.5856983,35.8461279"
"127.1436675,37.5592539","126.864989,37.4982255","128.6170302,34.8828293","129.3460245,35.5605486","127.5189095,34.9344211","126.9276786,37.518153","126.8729624,35.1350992","126.902375,37.4499572","127.0107839,37.5055199","126.7969084,37.5055852","127.6891097,34.9403226","126.7969084,37.5055852","127.0418083,37.2880731","127.1317573,37.5174134","126.8083102,37.3279652","126.8729624,35.1350992","127.0107839,37.5055199","127.0506371,37.5573979","128.6612311,35.2324208","126.7339425,37.4338463","127.1673229,37.2493664","126.7967398,37.4984716","127.2108145,37.5467762","127.0783066,37.5120582","126.9693373,37.5582999","127.048266,37.5756349","127.1487977,37.5563516","126.7969084,37.5055852","127.1487977,37.5563516","127.0783066,37.5120582","127.0972965,37.4866637","127.1487977,37.5563516","127.1367056,37.5974373","127.0506371,37.5573979","126.7339425,37.4338463","128.5805998,35.8489579","126.9276786,37.518153","127.0767945,37.6302179","127.0778592,37.6311275","126.9495621,37.4042546","127.0783066,37.5120582","127.1040729,37.6131952","127.0502885,37.6790966","127.0124307,37.5680138","127.1487977,37.5563516","128.5858679,35.846138","127.0783066,37.5120582","127.0532719,37.5839175","127.0783066,37.5120582","127.0502885,37.6790966","127.1040729,37.6131952","128.5858679,35.846138"
