0,1,2
"127.1289643,37.4215804","126.7477187,37.505749","126.9354063,37.5150129"
"127.128964,37.4216426","126.7477123,37.5057111","126.9394779,37.5157362"
"127.1289649,37.4216949","126.7475148,37.5045381","126.9396722,37.5157696"
"127.1289625,37.4219392","126.7474849,37.5043595","126.941242,37.5160375"
"127.1289613,37.422187","126.7472234,37.5030247","126.9420524,37.5161603"
"127.1289599,37.4222393","126.747173,37.5027414","126.9422209,37.5161846"
"127.1289432,37.4231172","126.7468397,37.5008969","126.9440554,37.5164501"
"127.1288837,37.4239409","126.7466881,37.5","126.9449224,37.516575"
"127.1288296,37.4243797","126.7466249,37.4996472","126.9449405,37.5165778"
"127.1288466,37.4245951","126.7464651,37.4986583","126.9454413,37.516645"
"127.1290263,37.4250428","126.7463415,37.4979012","126.9458846,37.5166849"
"127.1291746,37.4256967","126.7462708,37.4975087","126.9462013,37.5167"
"127.1291965,37.4258311","126.7460534,37.4961733","126.9465623,37.5167034"
"127.1292317,37.4260322","126.7459822,37.4953788","126.9468747,37.5166923"
"127.1292997,37.4264426","126.7460254,37.4950185","126.947116,37.5166601"
"127.1293491,37.4267375","126.746025,37.4949491","126.9474015,37.5166037"
"127.1293799,37.4269169","126.7459746,37.4939916","126.947736,37.5165197"
"127.1294413,37.4273011","126.7459741,37.4933741","126.9478891,37.5164717"
"127.1294885,37.4275753","126.7459993,37.4926658","126.9481931,37.516365"
"127.1295311,37.4278837","126.7460401,37.4922091","126.9488196,37.5161101"
"127.1295758,37.4279857","126.7461154,37.4914678","126.9490124,37.5160605"
"127.1296421,37.4280562","126.7461617,37.4910246","126.9491359,37.5160359"
"127.129731,37.4281376","126.7462989,37.4903161","126.9495989,37.5158577"
"127.1298416,37.4281848","126.7466498,37.4888329","126.9510049,37.5153136"
"127.1299421,37.428205","126.7468415,37.4882185","126.9519656,37.5150025"
"127.1300517,37.4282071","126.7478336,37.4850449","126.9520348,37.5149803"
"127.1301637,37.4281867","126.7478781,37.4848965","126.9524375,37.5148497"
"127.1302735,37.4281537","126.7481244,37.4841337","126.9529364,37.5147105"
"127.1303404,37.4281116","126.748324,37.4835166","126.9545499,37.5142493"
"127.1303948,37.4280712","126.7492243,37.4808075","126.955024,37.5140991"
"127.1304244,37.4280334","126.7493991,37.4802912","126.9554245,37.5139577"
"127.1304666,37.427956","126.7496367,37.4796077","126.9585758,37.5123903"
"127.1304873,37.4278912","126.7499703,37.4789266","126.9588073,37.5122967"
"127.1304853,37.4278209","126.7499992,37.4788664","126.959126,37.512199"
"127.1304619,37.4277658","126.750075,37.4787551","126.9596304,37.5120724"
"127.1304036,37.4276737","126.7503114,37.4784078","126.9601315,37.5119359"
"127.1303394,37.4276194","126.7506395,37.4779511","126.9603993,37.5118389"
"127.1302605,37.4275795","126.7507058,37.4778803","126.9604764,37.5118113"
"127.1301499,37.4275494","126.7508304,37.4777477","126.9605377,37.511789"
"127.1295874,37.4274665","126.7515292,37.4770779","126.9608317,37.5116633"
"127.1295648,37.4274656","126.7521319,37.476522","126.9608771,37.5116409"
"127.1289286,37.42745","126.7536039,37.4750982","126.9608828,37.5116383"
"127.1288992,37.4274499","126.753878,37.4748277","126.9610621,37.5115526"
"127.1277329,37.4274228","126.7541377,37.4745274","126.9611712,37.5114882"
"127.1266638,37.4273978","126.754264,37.4743335","126.961194,37.5114747"
"127.125701,37.4273632","126.7545152,37.4738655","126.9612496,37.5114425"
"127.1249996,37.4274827","126.7545963,37.4736722","126.9613088,37.5114005"
"127.1247133,37.4275638","126.7547226,37.4732511","126.9614749,37.5112687"
"127.1243181,37.427714","126.754725,37.4732412","126.9615285,37.5112176"
"127.1240809,37.4279097","126.7547499,37.4731242","126.9617061,37.5110561"
"127.1239263,37.4280769","126.7547865,37.4729658","126.9617768,37.5109826"
"127.1237871,37.4283415","126.7547993,37.4728163","126.9619273,37.5108291"
"127.1237133,37.4286297","126.7547996,37.4723332","126.9624496,37.5102582"
"127.1236845,37.4296535","126.7547562,37.471692","126.9628431,37.5098274"
"127.123703,37.431606","126.7546546,37.4706467","126.9630027,37.5096523"
"127.1235501,37.4321157","126.7545989,37.4698829","126.9630449,37.5096057"
"127.1235552,37.4324411","126.7545498,37.4690164","126.9630735,37.5095706"
"127.1235546,37.4325646","126.7544374,37.467816","126.9631704,37.5094602"
"127.1235522,37.4330378","126.754437,37.4677412","126.9636632,37.5088991"
"127.1235456,37.4334614","126.7544371,37.467158","126.9638104,37.5087339"
"127.1234353,37.4340334","126.7545367,37.4665827","126.963872,37.5086648"
"127.1231352,37.4355035","126.7545992,37.4663244","126.9642742,37.50827"
"127.1231235,37.4355837","126.7547495,37.4658747","126.9645371,37.5080576"
"127.1231082,37.4357008","126.7549366,37.4654828","126.964736,37.5079359"
"127.1228217,37.4378407","126.7552624,37.4650162","126.9651496,37.5076827"
"127.1227059,37.4388426","126.7555624,37.4646413","126.9653746,37.5075494"
"127.1226846,37.4390309","126.7556892,37.4645096","126.9653916,37.5075405"
"127.1226826,37.4394284","126.7559095,37.4643037","126.965612,37.5074243"
"127.1226868,37.4394879","126.7560122,37.4642079","126.9656869,37.5073913"
"127.1226962,37.4396331","126.7563368,37.4639747","126.9657243,37.5073743"
"127.1227069,37.4397719","126.7566499,37.4637576","126.9659364,37.5073059"
"127.1227132,37.4398504","126.7571366,37.463475","126.9660476,37.5072649"
"127.1228203,37.4403663","126.7576999,37.4632324","126.966085,37.5072516"
"127.1228559,37.440489","126.7584875,37.4629498","126.9662722,37.5071857"
"127.1229992,37.4409825","126.7609747,37.4621912","126.9664673,37.5071073"
"127.1249997,37.4458148","126.7611936,37.462124","126.9665592,37.5070698"
"127.1250456,37.4459096","126.7634675,37.4614334","126.9667952,37.5069781"
"127.1254582,37.4468294","126.7638656,37.4613124","126.966945,37.5069211"
"127.1257404,37.4475874","126.7672396,37.460286","126.966979,37.5069077"
"127.1259623,37.4484354","126.7686924,37.4598398","126.9673046,37.5067839"
"127.1259767,37.4484923","126.7714231,37.4590193","126.9673818,37.5067554"
"127.1260146,37.4488394","126.772512,37.4587808","126.967747,37.5066227"
"127.1260254,37.4489377","126.7731191,37.4586755","126.9685899,37.5063128"
"127.1260663,37.4493597","126.773881,37.4585756","126.9686523,37.5062897"
"127.1260828,37.4501187","126.7743426,37.4585478","126.9686943,37.5062736"
"127.1260477,37.4519483","126.7743483,37.4585479","126.9687555,37.5062496"
"127.126026,37.4531399","126.775328,37.458489","126.968802,37.5062318"
"127.1259384,37.4539184","126.7760249,37.4584554","126.9691027,37.5061159"
"127.1258236,37.4549456","126.7777001,37.4583827","126.9692558,37.5060644"
"127.1255965,37.4565006","126.7801224,37.458228","126.9695507,37.505962"
"127.1254878,37.4574377","126.7818105,37.4581184","126.9696653,37.5059202"
"127.1254077,37.4594592","126.7824694,37.4580305","126.9698059,37.5058685"
"127.1254123,37.4598847","126.7830976,37.4579649","126.9700338,37.5058037"
"127.1254146,37.4601118","126.7842961,37.4578397","126.9701245,37.5057825"
"127.125417,37.4603128","126.7844693,37.4578218","126.9703749,37.5057332"
"127.1254488,37.4607321","126.7852739,37.4577491","126.9705413,37.5057096"
"127.1256279,37.4629139","126.79009,37.4573455","126.9706116,37.5057"
"127.1257437,37.4644124","126.7903129,37.4573261","126.970787,37.5056909"
"127.1257755,37.4655049","126.7904883,37.4573137","126.9711898,37.5056909"
"127.1257432,37.4661015","126.792424,37.4570693","126.9713165,37.5056932"
"127.1256982,37.4665025","126.7938161,37.4568072","126.971934,37.5057266"
"127.1256244,37.4670224","126.7940619,37.4567582","126.9721558,37.5057231"
"127.1255799,37.4673287","126.7949052,37.4565379","126.972449,37.5056992"
