0,1,2,3,4,5,6,7,8,9
"128.5809219,35.2227767","128.5592489,35.8554707","127.0081979,35.9694727","128.5656818,35.8569383","128.5656818,35.8569383","128.8448119,35.9008826","127.3655498,36.3215331","128.4849642,35.8540101","128.5809219,35.2227767","128.5592489,35.8554707"
"128.5809264,35.2227902","128.5590077,35.8557388","127.0081364,35.9699179","128.5657375,35.8569577","128.5657375,35.8569577","128.8447997,35.9006826","127.3655517,36.3217116","128.4849581,35.8539651","128.5809264,35.2227902","128.5590077,35.8557388"
"128.5810318,35.2231129","128.5588866,35.8558742","127.0082742,35.9702331","128.5656755,35.857043","128.5656755,35.857043","128.8447644,35.9006271","127.3655547,36.3219054","128.4848447,35.8537496","128.5810318,35.2231129","128.5588866,35.8558742"
"128.581191,35.2235993","128.5588246,35.8559577","127.0082774,35.9702493","128.5655743,35.8571827","128.5655743,35.8571827","128.8447371,35.9005832","127.3655568,36.3219731","128.4847843,35.8536969","128.581191,35.2235993","128.5588246,35.8559577"
"128.5811956,35.2236164","128.5585191,35.8563102","127.0082739,35.9702745","128.565474,35.8573829","128.565474,35.8573829","128.8446996,35.9005296","127.3655599,36.3221101","128.4844358,35.8535465","128.5811956,35.2236164","128.5585191,35.8563102"
"128.5812667,35.2238412","128.5584624,35.8563729","127.0082604,35.970306","128.5654624,35.8574253","128.5654624,35.8574253","128.8443454,35.9000278","127.3655665,36.3221813","128.4843924,35.853527","128.5812667,35.2238412","128.5584624,35.8563729"
"128.581495,35.223904","128.5584046,35.8564401","127.0082358,35.9703339","128.5654539,35.8574543","128.5654539,35.8574543","128.8440066,35.8995177","127.3655865,36.32224","128.4839236,35.853319","128.581495,35.223904","128.5584046,35.8564401"
"128.5828021,35.2237066","128.5581551,35.8567497","127.0082136,35.9703455","128.5654307,35.8575401","128.5654307,35.8575401","128.8438322,35.8992997","127.3656142,36.3222968","128.4837911,35.8532687","128.5828021,35.2237066","128.5581551,35.8567497"
"128.583054,35.2236404","128.5580614,35.8568641","127.0078746,35.9704577","128.565399,35.8576495","128.565399,35.8576495","128.8437575,35.8992049","127.3656698,36.3223699","128.4837928,35.853046","128.583054,35.2236404","128.5580614,35.8568641"
"128.5834373,35.2234611","128.5579993,35.8569413","127.007849,35.9704666","128.5653564,35.8577806","128.5653564,35.8577806","128.8434747,35.8989954","127.365759,36.3223492","128.483782,35.8527089","128.5834373,35.2234611","128.5579993,35.8569413"
"128.5841073,35.223025","128.5579373,35.8570248","127.0078368,35.9704747","128.5652614,35.8580492","128.5652614,35.8580492","128.8433904,35.8989197","127.365847,36.322352","128.4837603,35.8524783","128.5841073,35.223025","128.5579373,35.8570248"
"128.5841867,35.2229666","128.5576245,35.857491","127.0078245,35.9704828","128.5652123,35.8581831","128.5652123,35.8581831","128.8432872,35.8987793","127.3660352,36.3223892","128.4835191,35.852492","128.5841867,35.2229666","128.5576245,35.857491"
"128.5843306,35.2228833","128.5574621,35.8577728","127.0078123,35.9704908","128.5650999,35.8585582","128.5650999,35.8585582","128.8432215,35.8986971","127.3660931,36.3224001","128.4834737,35.8524959","128.5843306,35.2228833","128.5574621,35.8577728"
"128.584464,35.2229966","128.5574372,35.8578163","127.0077989,35.9704998","128.5650583,35.8586749","128.5650583,35.8586749","128.8429699,35.898891","127.3661143,36.3224037","128.482841,35.8526409","128.584464,35.2229966","128.5574372,35.8578163"
"128.5844211,35.2230799","128.5573823,35.857934","127.0077867,35.9705079","128.5649623,35.8589498","128.5649623,35.8589498","128.8423521,35.8993126","127.366347,36.3224788","128.4820992,35.8527497","128.5844211,35.2230799","128.5573823,35.857934"
"128.5843438,35.2232158","128.5573748,35.8579494","127.0077744,35.9705249","128.5648525,35.859269","128.5648525,35.859269","128.8421593,35.8994446","127.3664438,36.3225339","128.4813299,35.8528669","128.5843438,35.2232158","128.5573748,35.8579494"
"128.5841882,35.2234084","128.5572045,35.8578905","127.007762,35.9705583","128.5647866,35.8594743","128.5647866,35.8594743","128.8417746,35.8996247","127.3665339,36.3226161","128.4812127,35.852885","128.5841882,35.2234084","128.5572045,35.8578905"
"128.5840787,35.223523","128.5571878,35.8578852","127.0077495,35.9705997","128.5646618,35.8599208","128.5646618,35.8599208","128.8412868,35.8998078","127.3666498,36.3226162","128.4810624,35.8529078","128.5840787,35.223523","128.5571878,35.8578852"
"128.5839398,35.2236505","128.5570299,35.8578307","127.0077494,35.9706159","128.5646249,35.8600581","128.5646249,35.8600581","128.841194,35.899825","127.3667312,36.3225667","128.4809386,35.8529251","128.5839398,35.2236505","128.5570299,35.8578307"
"128.5836325,35.2238444","128.5565879,35.8576606","127.0077991,35.9708325","128.5645993,35.8602161","128.5645993,35.8602161","128.8406263,35.8999341","127.367471,36.3225396","128.4797325,35.853099","128.5836325,35.2238444","128.5565879,35.8576606"
"128.5834787,35.2239278","128.5564321,35.8576033","127.007968,35.9707791","128.5642992,35.8601358","128.5642992,35.8601358","128.8403656,35.8999785","127.3675489,36.3225748","128.4792967,35.8531449","128.5834787,35.2239278","128.5564321,35.8576033"
