0,1,2,3,4,5,6,7,8,9,10,11,12,13
"127.1449484,37.5580076","127.1649945,36.7856034","127.0081607,35.9688487","127.1302122,37.5195745","127.2644683,37.0105714","127.0118081,37.5054745","128.3231754,36.1214558","128.5653347,35.8568188","128.5891443,35.8802082","126.7331287,37.4339546","126.7331287,37.4339546","127.3777955,36.3765736","126.7331287,37.4339546","127.0522024,37.5853024"
"127.1447738,37.5580486","127.1650071,36.7852879","127.0079766,35.9686721","127.1304948,37.5182468","127.264396,37.0103342","127.0116814,37.5054803","128.3234119,36.1215416","128.5656696,35.8569339","128.5890529,35.8799251","126.7331933,37.4339442","126.7331933,37.4339442","127.3774175,36.3766399","126.7331933,37.4339442","127.0523787,37.5851778"
"127.1445477,37.5579821","127.165031,36.7846858","127.0078863,35.9685699","127.1305365,37.5180496","127.264271,37.0100176","127.0116769,37.5054803","128.3234028,36.12163","128.5656818,35.8569383","128.5890285,35.8798414","126.7333329,37.433882","126.7333329,37.433882","127.3772602,36.376684","126.7333329,37.433882","127.0524483,37.5850888"
"127.1444311,37.5582125","127.1650614,36.7843884","127.0078247,35.9684849","127.1306117,37.5179497","127.2641929,37.0098344","127.0115456,37.5054806","128.3233372,36.1222579","128.5657375,35.8569577","128.5889995,35.8797416","126.7333828,37.4338697","126.7333828,37.4338697","127.37732,36.3769382","126.7333828,37.4338697","127.0525122,37.5850106"
"127.1443159,37.5583924","127.1650913,36.784228","127.0077499,35.9680329","127.1306992,37.5178743","127.2641751,37.0097911","127.0111892,37.5054828","128.3233009,36.122507","128.5656755,35.857043","128.5890285,35.8798414","126.7335255,37.4338418","126.7335255,37.4338418","127.377351,36.3770879","126.7335255,37.4338418","127.0527109,37.5847401"
"127.1443033,37.558414","127.1651267,36.7840812","127.0078119,35.9676995","127.1308342,37.5178152","127.264165,37.0097676","127.0111688,37.5054818","128.3233007,36.1225954","128.5655743,35.8571827","128.5890529,35.8799251","126.7335708,37.4338358","126.7335708,37.4338358","127.377371,36.3771249","126.7335708,37.4338358","127.0527748,37.5846583"
"127.144097,37.5587027","127.1651529,36.7839704","127.0079367,35.9674241","127.1311835,37.5176631","127.2643653,37.0097122","127.0110614,37.5054777","128.3233024,36.1226585","128.565474,35.8573829","128.5891443,35.8802082","126.7336126,37.4338334","126.7336126,37.4338334","127.3774099,36.3771971","126.7336126,37.4338334","127.053008,37.5843068"
"127.1439865,37.5588502","127.1651654,36.7839263","127.0082213,35.9671323","127.1314726,37.5175378","127.2644046,37.0097077","127.0109596,37.5054737","128.3233439,36.1228024","128.5654624,35.8574253","128.5892232,35.8804654","126.733798,37.4338337","126.733798,37.4338337","127.3774577,36.3773224","126.733798,37.4338337","127.0530937,37.5841773"
"127.143713,37.5592099","127.165326,36.7833489","127.0085096,35.9669577","127.1315384,37.5175092","127.2644653,37.0097087","127.0109007,37.505478","128.3233884,36.1229067","128.5654539,35.8574543","128.5892567,35.8805651","126.7338579,37.4338367","126.7338579,37.4338367","127.3774854,36.3773964","126.7338579,37.4338367","127.053184,37.5840397"
"127.1436675,37.5592539","127.1653318,36.7832858","127.0088175,35.9668471","127.1317573,37.5174134","127.264526,37.0097269","127.0107839,37.5055199","128.3234909,36.1230367","128.5654307,35.8575401","128.5893853,35.8809814","126.7339425,37.4338463","126.7339425,37.4338463","127.3775177,36.3774262","126.7339425,37.4338463","127.0532719,37.5839175"
"127.1435379,37.5593788","127.1653658,36.7829478","127.0091248,35.9668394","127.1318629,37.5175616","127.2645911,37.0097532","127.0107305,37.5055521","128.3235726,36.1231011","128.565399,35.8576495","128.5894143,35.8810722","126.7340959,37.4338825","126.7340959,37.4338825","127.3775634,36.3774461","126.7340959,37.4338825","127.0534706,37.5836424"
"127.1433662,37.5595216","127.1653813,36.7827486","127.0093276,35.9663263","127.1325244,37.5185948","127.2648369,37.0098717","127.0106826,37.5056069","128.3237721,36.1232584","128.5653564,35.8577806","128.5896169,35.8817086","126.7341916,37.4339218","126.7341916,37.4339218","127.3777729,36.3774932","126.7341916,37.4339218","127.0534718,37.5836397"
