smiles,FP,xtb_homo_ev,xtb_lumo_ev,xtb_gap_ev,xtb_mol_c6_au,xtb_mol_c8_au,xtb_charge_mean,xtb_charge_std,xtb_charge_min,xtb_charge_max,xtb_charge_range,xtb_charge_abs_mean,xtb_charge_abs_max,xtb_charge_median,xtb_charge_q25,xtb_charge_q75,xtb_radius_gyration,xtb_max_distance,xtb_mean_dist_from_com,xtb_charge_iqr,xtb_charge_skew_proxy,xtb_charge_tail_ratio,xtb_softness_inv_gap,xtb_electronegativity,xtb_geom_compactness_rg_over_maxdist,xtb_geom_com_ratio,xtb_hardness_gap_half,xtb_dispersion_balance_c8_c6,xtb_size_density_proxy,xtb_charge_extreme_balance,xtb_total_energy,xtb_dipole_debye,xtb_inertia_1,xtb_inertia_2
C(CN)CN,297.15,0.05440853,0.05440853,0.05440853,3031.290897,62210.25532,-6.67E-10,0.22566784,-0.42322303,0.2731119,0.69633493,0.208111578,0.42322303,0.14793681,-0.21374863,0.18082148,1.989340946,6.577495892,2.082016405,0.39457011,-0.655551144,2.033635197,18.37947101,-0.05440853,0.302446551,0.316536329,0.027204265,20.52269394,460.8578928,0.645314363,-17.33180154,-0.443,39.58688573,216.2904856
CCCCCCCC=O,325.15,0.17137877,0.17137877,0.17137877,10105.37964,221735.7873,-4.00E-10,0.251511767,-0.5482701,0.34228079,0.89055089,0.236717096,0.5482701,-0.09006629,-0.22892057,0.25262907,2.118288201,7.087095838,2.337068948,0.48154964,0.358099705,2.316140702,5.835028458,-0.17137877,0.298893686,0.329763982,0.085689385,21.94235102,1425.884435,0.624292279,-29.34012484,-0.631,137.4640296,1017.95893
COC1=CC=CC=C1O,347.15,0.09152305,0.09152305,0.09152305,5397.191904,133889.9882,-5.88E-10,0.280986442,-0.45127631,0.40250483,0.85378114,0.267351604,0.45127631,-0.18266105,-0.1957139,0.26208799,2.131200167,5.575619328,2.061378387,0.45780189,0.650070687,1.687950635,10.9262093,-0.09152305,0.382235594,0.369712899,0.045761525,24.80734253,967.998636,0.891925459,-27.18515167,-0.016,193.2268898,325.719899
CCC=O,264.15,0.07597222,0.07597222,0.07597222,1536.807419,34036.41018,1.00E-09,0.249169578,-0.44444945,0.29012686,0.73457631,0.221551461,0.44444945,-0.033125485,-0.19382245,0.269737515,1.763102491,4.311508616,1.747791431,0.463559965,0.132943541,2.006077721,13.16270605,-0.07597222,0.408929367,0.40537816,0.03798611,22.14747909,356.4430819,0.652778083,-13.51878339,-0.219,30.58818581,85.15878908
CC(C(=O)O)O,386.15,0.20709377,0.20709377,0.20709377,1858.247511,43288.80103,-1.67E-09,0.404627855,-0.60603519,0.39698121,1.0030164,0.382072498,0.60603519,0.08440044,-0.281829815,0.386104588,1.729801632,4.344174147,1.677844734,0.667934403,-0.208587819,1.58617852,4.828730483,-0.20709377,0.398188832,0.3862287,0.103546885,23.29549792,427.7562197,0.655046467,-21.68087015,-0.022,96.33751668,162.5988818
CC(=O)C(=O)C,300.15,0.22128901,0.22128901,0.22128901,2306.416779,55162.72347,-8.33E-10,0.328038325,-0.52067239,0.40198409,0.92265648,0.309283681,0.52067239,-0.00070049,-0.22156191,0.327012793,1.850256773,4.564192563,1.739520166,0.548574703,0.002135388,1.68347838,4.518977242,-0.22128901,0.405385344,0.381123308,0.110644505,23.9170665,505.3285433,0.772048024,-19.71734703,0.007,95.91290375,148.2252981
CNC,266.15,0.01240452,0.01240452,0.01240452,1332.941921,26575.14084,-1.00E-09,0.192433795,-0.34455108,0.25811939,0.60267047,0.162572181,0.34455108,-0.01818821,-0.156331605,0.16734755,1.697079076,5.111744352,1.848106951,0.323679155,0.094516709,2.119372933,80.61577553,-0.01240452,0.331996078,0.361541349,0.00620226,19.93720838,260.7606776,0.749146948,-10.75318058,-0.128,14.85565675,53.40501762
CS(=O)C,368.15,0.07322418,0.07322418,0.07322418,1857.112994,51043.68339,1.00E-09,0.267283469,-0.48485599,0.30438003,0.78923602,0.239099547,0.48485599,-0.007421125,-0.192765455,0.279686375,1.890744372,4.774152363,1.962672507,0.47245183,0.027765002,2.027841525,13.656691,-0.07322418,0.396037711,0.411103869,0.03661209,27.48550226,388.9932396,0.627774094,-14.61839268,0.293,72.93982481,73.79302943
C(CO)N,366.15,0.01054644,0.01054644,0.01054644,1537.309898,31308.04932,0,0.257819803,-0.47606093,0.29000158,0.76606251,0.226565718,0.47606093,-0.01937683,-0.184793165,0.26156074,1.806566613,4.775396662,1.828931817,0.446353905,0.075156484,2.101204603,94.81872555,-0.01054644,0.378307131,0.382990555,0.00527322,20.36547697,321.9229745,0.609169041,-14.81159442,0.026,35.64826967,91.09030102
CCO,286.15,0.118538,0.118538,0.118538,1111.789231,22253.41563,1.23E-17,0.277753234,-0.44326278,0.35758789,0.80085067,0.257599827,0.44326278,-0.0709087,-0.23190563,0.30873477,1.32286623,5.258489946,1.652539023,0.5406404,0.255293877,1.720741763,8.436113314,-0.118538,0.251567702,0.314261136,0.059269,20.01585823,211.4274711,0.806717609,-11.39335156,0.038,15.18117175,52.99442358
