index,count,geometry
157,37,"LINESTRING (127.5116359 37.2442165, 127.5146622 37.2440151)"
158,37,"LINESTRING (128.902437 37.7518413, 128.9032366 37.752533)"
159,37,"LINESTRING (127.1875812 37.2673684, 127.1884142 37.2669361)"
160,37,"LINESTRING (128.6979793 37.6788959, 128.6993653 37.6789828)"
161,37,"LINESTRING (127.4682543 37.242894, 127.4685575 37.2430104)"
162,37,"LINESTRING (128.4971869 37.637658, 128.4975582 37.6380478)"
163,37,"LINESTRING (128.0161615 37.4383412, 128.0172499 37.4384825)"
164,37,"LINESTRING (127.1771712 37.2831889, 127.1773177 37.2829747)"
165,37,"LINESTRING (128.4564548 37.6060616, 128.4567938 37.6060841)"
166,37,"LINESTRING (128.824772 37.7719018, 128.8264093 37.7718401)"
167,37,"LINESTRING (127.1880056 37.2869695, 127.187799 37.2870077)"
168,37,"LINESTRING (128.0443968 37.4492725, 128.0451615 37.4493248)"
169,37,"LINESTRING (128.1461936 37.4662758, 128.1475361 37.4669472)"
170,37,"LINESTRING (127.2892103 37.238941, 127.2896997 37.2389139)"
171,37,"LINESTRING (128.8188285 37.7710889, 128.819487 37.7713411)"
172,37,"LINESTRING (128.10082 37.4434611, 128.1008516 37.4437386)"
173,37,"LINESTRING (127.1768126 37.2844895, 127.1768208 37.2841461)"
174,37,"LINESTRING (128.3673866 37.5610166, 128.3674262 37.5610109)"
175,37,"LINESTRING (127.9967205 37.4138433, 127.9972622 37.4142583)"
176,37,"LINESTRING (128.3756735 37.560438, 128.376158 37.5605282)"
177,37,"LINESTRING (128.7826003 37.7402526, 128.7829766 37.740618)"
178,37,"LINESTRING (128.8067308 37.7588916, 128.8068902 37.7589809)"
179,37,"LINESTRING (127.8486381 37.3259074, 127.848851 37.32607)"
180,37,"LINESTRING (127.9219802 37.3702357, 127.9223485 37.3704624)"
181,37,"LINESTRING (127.8293411 37.3142014, 127.8302144 37.314948)"
182,37,"LINESTRING (128.7737741 37.7177993, 128.7740114 37.7186746)"
183,37,"LINESTRING (128.1495091 37.4682271, 128.15001 37.4686083)"
184,37,"LINESTRING (127.936337 37.3983165, 127.9366489 37.3987165)"
185,37,"LINESTRING (128.0821362 37.4426848, 128.0823132 37.4426235)"
186,37,"LINESTRING (127.8849247 37.3500666, 127.8852336 37.3502026)"
187,37,"LINESTRING (128.4988215 37.6392854, 128.4992409 37.6396244)"
188,37,"LINESTRING (127.5934771 37.2318561, 127.5941749 37.2318898)"
189,37,"LINESTRING (127.9452005 37.4015807, 127.9459873 37.4014578)"
190,37,"LINESTRING (128.1032426 37.453023, 128.103577 37.4534224)"
191,37,"LINESTRING (127.9020061 37.3647915, 127.9021908 37.3649)"
192,37,"LINESTRING (127.183102 37.2715129, 127.1829609 37.2709996)"
193,37,"LINESTRING (127.3263205 37.2494386, 127.3264309 37.2494784)"
194,37,"LINESTRING (127.803937 37.2754211, 127.8044066 37.2755208)"
195,37,"LINESTRING (128.2637265 37.5213896, 128.2639409 37.5214387)"
196,37,"LINESTRING (127.9034869 37.3654661, 127.9040865 37.365666)"
197,37,"LINESTRING (128.1085322 37.4723427, 128.1089996 37.4725242)"
198,37,"LINESTRING (128.4726213 37.6234429, 128.472913 37.6236587)"
199,37,"LINESTRING (128.7697543 37.70158, 128.7699743 37.7020409)"
200,37,"LINESTRING (127.1772997 37.2853273, 127.1771147 37.2850681)"
201,37,"LINESTRING (127.9961152 37.4133906, 127.9967205 37.4138433)"
202,37,"LINESTRING (128.2301519 37.4988763, 128.231511 37.4995043)"
203,37,"LINESTRING (127.1990707 37.295401, 127.1989673 37.2953115)"
204,37,"LINESTRING (128.4332866 37.6086825, 128.4337497 37.6087491)"
205,37,"LINESTRING (128.9038462 37.7530737, 128.9039129 37.7531215)"
206,37,"LINESTRING (128.4348741 37.6087916, 128.4354116 37.6087414)"
207,37,"LINESTRING (128.7702144 37.6953076, 128.7698065 37.6960636)"
208,37,"LINESTRING (128.465937 37.6128749, 128.4661865 37.6140329)"
209,37,"LINESTRING (127.5097553 37.244314, 127.5100101 37.2442995)"
210,37,"LINESTRING (128.4735813 37.6240723, 128.4738132 37.6242154)"
211,37,"LINESTRING (128.8861226 37.7482067, 128.8866542 37.7482266)"
212,37,"LINESTRING (127.7869849 37.2650856, 127.7871828 37.2652113)"
213,37,"LINESTRING (128.3078713 37.544308, 128.3088366 37.5450162)"
214,37,"LINESTRING (128.1790116 37.4889411, 128.1794739 37.4891575)"
215,37,"LINESTRING (128.4855166 37.6289187, 128.4860213 37.6290361)"
